age,age_noage,workclass,workclass_noage,fnlwgt,fnlwgt_noage,education,education_noage,education_num,education_num_noage,marital_status,marital_status_noage,occupation,occupation_noage,relationship,relationship_noage,race,race_noage,sex,sex_noage,capital_gain,capital_gain_noage,capital_loss,capital_loss_noage,hours_per_week,hours_per_week_noage,native_country,native_country_noage,income_per_year,income_per_year_noage
25,age,Private,workclass,226802,fnlwgt,11th,education,7,education-num,Never-married,marital-status,Machine-op-inspct,occupation,Own-child,relationship,Black,race,Male,sex,0,capital-gain,0,capital-loss,40,hours-per-week,United-States,native-country,<=50K,income-per-year
38,28,Private,State-gov,89814,114774,HS-grad,Bachelors,9,12,Married-civ-spouse,Never-married,Farming-fishing,Adm-clerical,Husband,Not-in-family,White,White,Male,Male,0,3818,0,1741,50,18,United-States,United-States,<=50K,<=50K
28,28,Local-gov,Self-emp-not-inc,336951,114774,Assoc-acdm,Bachelors,12,12,Married-civ-spouse,Married-civ-spouse,Protective-serv,Exec-managerial,Husband,Husband,White,White,Male,Male,0,3818,0,1741,40,18,United-States,United-States,>50K,<=50K
44,28,Private,Private,160323,233149,Some-college,HS-grad,10,4,Married-civ-spouse,Divorced,Machine-op-inspct,Handlers-cleaners,Husband,Not-in-family,Black,White,Male,Male,7688,3818,0,1741,40,18,United-States,United-States,>50K,<=50K
18,28,?,Private,103497,233149,Some-college,11th,10,4,Never-married,Married-civ-spouse,?,Handlers-cleaners,Own-child,Husband,White,Black,Female,Male,0,3818,0,1741,30,18,United-States,United-States,<=50K,<=50K
34,28,Private,Private,198693,233149,10th,Bachelors,6,12,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Husband,White,Black,Male,Female,0,3818,0,1741,30,52,United-States,Cuba,<=50K,<=50K
29,28,?,Private,227026,233149,HS-grad,Masters,9,12,Never-married,Married-civ-spouse,?,Exec-managerial,Unmarried,Not-in-family,Black,White,Male,Female,0,3818,0,1741,40,18,United-States,United-States,<=50K,<=50K
63,28,Self-emp-not-inc,Private,104626,114774,Prof-school,9th,15,4,Married-civ-spouse,Married-spouse-absent,Prof-specialty,Other-service,Husband,Not-in-family,White,Black,Male,Female,3103,3818,0,1741,32,18,United-States,United-States,>50K,<=50K
24,28,Private,Self-emp-not-inc,369667,233149,Some-college,HS-grad,10,12,Never-married,Married-civ-spouse,Other-service,Exec-managerial,Unmarried,Husband,White,White,Female,Male,0,3818,0,1741,40,52,United-States,United-States,<=50K,>50K
55,28,Private,Private,104996,114774,7th-8th,Masters,4,12,Married-civ-spouse,Widowed,Craft-repair,Prof-specialty,Husband,Not-in-family,White,White,Male,Female,0,3818,0,1741,10,52,United-States,United-States,<=50K,>50K
65,28,Private,Private,184454,114774,HS-grad,Bachelors,9,12,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Exec-managerial,Husband,Husband,White,White,Male,Male,6418,3818,0,1741,40,18,United-States,United-States,>50K,>50K
36,28,Federal-gov,Private,212465,233149,Bachelors,Some-college,13,12,Married-civ-spouse,Married-civ-spouse,Adm-clerical,Exec-managerial,Husband,Husband,White,Black,Male,Female,0,3818,0,1741,40,52,United-States,United-States,<=50K,>50K
26,28,Private,State-gov,82091,114774,HS-grad,Bachelors,9,12,Never-married,Married-civ-spouse,Adm-clerical,Prof-specialty,Not-in-family,Husband,White,Asian-Pac-Islander,Female,Male,0,3818,0,1741,39,18,United-States,United-States,<=50K,>50K
