age,age_nocapital_gain,workclass,workclass_nocapital_gain,fnlwgt,fnlwgt_nocapital_gain,education,education_nocapital_gain,education_num,education_num_nocapital_gain,marital_status,marital_status_nocapital_gain,occupation,occupation_nocapital_gain,relationship,relationship_nocapital_gain,race,race_nocapital_gain,sex,sex_nocapital_gain,capital_gain,capital_gain_nocapital_gain,capital_loss,capital_loss_nocapital_gain,hours_per_week,hours_per_week_nocapital_gain,native_country,native_country_nocapital_gain,income_per_year,income_per_year_nocapital_gain
25,age,Private,workclass,226802,fnlwgt,11th,education,7,education-num,Never-married,marital-status,Machine-op-inspct,occupation,Own-child,relationship,Black,race,Male,sex,0,capital-gain,0,capital-loss,40,hours-per-week,United-States,native-country,<=50K,income-per-year
38,44,Private,Private,89814,172354,HS-grad,HS-grad,9,10,Married-civ-spouse,Divorced,Farming-fishing,Sales,Husband,Own-child,White,White,Male,Male,0,0,0,0,50,40,United-States,United-States,<=50K,<=50K
28,44,Local-gov,Self-emp-not-inc,336951,172354,Assoc-acdm,Bachelors,12,10,Married-civ-spouse,Divorced,Protective-serv,Exec-managerial,Husband,Own-child,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,>50K,<=50K
44,44,Private,Private,160323,172354,Some-college,HS-grad,10,10,Married-civ-spouse,Divorced,Machine-op-inspct,Prof-specialty,Husband,Husband,Black,White,Male,Male,7688,0,0,0,40,40,United-States,United-States,>50K,<=50K
18,44,?,Private,103497,172354,Some-college,HS-grad,10,10,Never-married,Divorced,?,Sales,Own-child,Unmarried,White,Black,Female,Male,0,0,0,0,30,40,United-States,United-States,<=50K,<=50K
34,44,Private,Private,198693,172354,10th,Bachelors,6,10,Never-married,Divorced,Other-service,Prof-specialty,Not-in-family,Own-child,White,Black,Male,Female,0,0,0,0,30,40,United-States,United-States,<=50K,<=50K
29,44,?,Private,227026,172354,HS-grad,HS-grad,9,10,Never-married,Divorced,?,Exec-managerial,Unmarried,Husband,Black,White,Male,Female,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
63,44,Self-emp-not-inc,Private,104626,172354,Prof-school,HS-grad,15,10,Married-civ-spouse,Divorced,Prof-specialty,Adm-clerical,Husband,Not-in-family,White,White,Male,Female,3103,0,0,0,32,40,United-States,United-States,>50K,<=50K
24,44,Private,Self-emp-not-inc,369667,172354,Some-college,HS-grad,10,10,Never-married,Divorced,Other-service,Exec-managerial,Unmarried,Husband,White,White,Female,Male,0,0,0,0,40,40,United-States,United-States,<=50K,>50K
55,44,Private,Private,104996,172354,7th-8th,HS-grad,4,10,Married-civ-spouse,Divorced,Craft-repair,Prof-specialty,Husband,Not-in-family,White,White,Male,Female,0,0,0,0,10,40,United-States,United-States,<=50K,>50K
65,44,Private,Private,184454,172354,HS-grad,Bachelors,9,10,Married-civ-spouse,Divorced,Machine-op-inspct,Craft-repair,Husband,Husband,White,White,Male,Male,6418,0,0,0,40,40,United-States,United-States,>50K,>50K
36,44,Federal-gov,Private,212465,172354,Bachelors,HS-grad,13,10,Married-civ-spouse,Divorced,Adm-clerical,Machine-op-inspct,Husband,Own-child,White,Black,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,>50K
