age,age_nocapital_loss,workclass,workclass_nocapital_loss,fnlwgt,fnlwgt_nocapital_loss,education,education_nocapital_loss,education_num,education_num_nocapital_loss,marital_status,marital_status_nocapital_loss,occupation,occupation_nocapital_loss,relationship,relationship_nocapital_loss,race,race_nocapital_loss,sex,sex_nocapital_loss,capital_gain,capital_gain_nocapital_loss,capital_loss,capital_loss_nocapital_loss,hours_per_week,hours_per_week_nocapital_loss,native_country,native_country_nocapital_loss,income_per_year,income_per_year_nocapital_loss
25,age,Private,workclass,226802,fnlwgt,11th,education,7,education-num,Never-married,marital-status,Machine-op-inspct,occupation,Own-child,relationship,Black,race,Male,sex,0,capital-gain,0,capital-loss,40,hours-per-week,United-States,native-country,<=50K,income-per-year
38,42,Private,Private,89814,167793,HS-grad,Bachelors,9,10,Married-civ-spouse,Divorced,Farming-fishing,Exec-managerial,Husband,Husband,White,White,Male,Male,0,0,0,0,50,40,United-States,United-States,<=50K,<=50K
28,42,Local-gov,Self-emp-not-inc,336951,167793,Assoc-acdm,Bachelors,12,10,Married-civ-spouse,Divorced,Protective-serv,Prof-specialty,Husband,Husband,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,>50K,<=50K
44,42,Private,Private,160323,167793,Some-college,HS-grad,10,10,Married-civ-spouse,Divorced,Machine-op-inspct,Exec-managerial,Husband,Not-in-family,Black,White,Male,Male,7688,0,0,0,40,40,United-States,United-States,>50K,<=50K
18,42,?,Private,103497,167793,Some-college,HS-grad,10,10,Never-married,Divorced,?,Adm-clerical,Own-child,Own-child,White,Black,Female,Male,0,0,0,0,30,40,United-States,United-States,<=50K,<=50K
34,42,Private,Private,198693,167793,10th,Bachelors,6,10,Never-married,Divorced,Other-service,Prof-specialty,Not-in-family,Not-in-family,White,Black,Male,Female,0,0,0,0,30,40,United-States,United-States,<=50K,<=50K
29,42,?,Private,227026,167793,HS-grad,HS-grad,9,10,Never-married,Divorced,?,Exec-managerial,Unmarried,Husband,Black,White,Male,Female,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
63,42,Self-emp-not-inc,Private,104626,167793,Prof-school,HS-grad,15,10,Married-civ-spouse,Divorced,Prof-specialty,Sales,Husband,Husband,White,Black,Male,Female,3103,0,0,0,32,40,United-States,United-States,>50K,<=50K
24,42,Private,Self-emp-not-inc,369667,167793,Some-college,HS-grad,10,10,Never-married,Divorced,Other-service,Exec-managerial,Unmarried,Other-relative,White,White,Female,Male,0,0,0,0,40,40,United-States,United-States,<=50K,>50K
55,42,Private,Private,104996,167793,7th-8th,HS-grad,4,10,Married-civ-spouse,Divorced,Craft-repair,Adm-clerical,Husband,Not-in-family,White,White,Male,Female,0,0,0,0,10,40,United-States,United-States,<=50K,>50K
65,42,Private,Private,184454,167793,HS-grad,Bachelors,9,10,Married-civ-spouse,Divorced,Machine-op-inspct,Exec-managerial,Husband,Husband,White,White,Male,Male,6418,0,0,0,40,40,United-States,United-States,>50K,>50K
36,42,Federal-gov,Private,212465,167793,Bachelors,HS-grad,13,10,Married-civ-spouse,Divorced,Adm-clerical,Exec-managerial,Husband,Unmarried,White,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,>50K
26,42,Private,Private,82091,167793,HS-grad,HS-grad,9,10,Never-married,Divorced,Adm-clerical,Exec-managerial,Not-in-family,Own-child,White,White,Female,Male,0,0,0,0,39,40,United-States,United-States,<=50K,>50K
58,42,?,Private,299831,167793,HS-grad,Some-college,9,10,Married-civ-spouse,Divorced,?,Adm-clerical,Husband,Husband,White,White,Male,Female,0,0,0,0,35,40,United-States,United-States,<=50K,<=50K
48,42,Private,Private,279724,167793,HS-grad,Some-college,9,10,Married-civ-spouse,Divorced,Machine-op-inspct,Sales,Husband,Own-child,White,Black,Male,Male,3103,0,0,0,48,40,United-States,United-States,>50K,<=50K
43,42,Private,Private,346189,167793,Masters,HS-grad,14,10,Married-civ-spouse,Divorced,Exec-managerial,Prof-specialty,Husband,Not-in-family,White,White,Male,Male,0,0,0,0,50,40,United-States,United-States,>50K,>50K
20,42,State-gov,Private,444554,167793,Some-college,Bachelors,10,10,Never-married,Divorced,Other-service,Prof-specialty,Own-child,Husband,White,White,Male,Male,0,0,0,0,25,40,United-States,United-States,<=50K,<=50K
43,42,Private,Self-emp-not-inc,128354,167793,HS-grad,HS-grad,9,10,Married-civ-spouse,Divorced,Adm-clerical,Sales,Wife,Own-child,White,White,Female,Male,0,0,0,0,30,40,United-States,United-States,<=50K,<=50K
37,42,Private,Private,60548,167793,HS-grad,HS-grad,9,10,Widowed,Divorced,Machine-op-inspct,Exec-managerial,Unmarried,Husband,White,White,Female,Male,0,0,0,0,20,40,United-States,United-States,<=50K,<=50K
40,42,Private,Private,85019,167793,Doctorate,HS-grad,16,10,Married-civ-spouse,Divorced,Prof-specialty,Sales,Husband,Not-in-family,Asian-Pac-Islander,White,Male,Male,0,0,0,0,45,40,?,United-States,>50K,<=50K
34,42,Private,Self-emp-not-inc,107914,167793,Bachelors,HS-grad,13,10,Married-civ-spouse,Divorced,Tech-support,Exec-managerial,Husband,Not-in-family,White,White,Male,Female,0,0,0,0,47,40,United-States,United-States,>50K,>50K
34,42,Private,Private,238588,167793,Some-college,HS-grad,10,10,Never-married,Divorced,Other-service,Prof-specialty,Own-child,Not-in-family,Black,White,Female,Male,0,0,0,0,35,40,United-States,United-States,<=50K,>50K
72,42,?,Private,132015,167793,7th-8th,HS-grad,4,10,Divorced,Divorced,?,Exec-managerial,Not-in-family,Not-in-family,White,White,Female,Female,0,0,0,0,6,40,United-States,United-States,<=50K,<=50K
