age,age_noeducation,workclass,workclass_noeducation,fnlwgt,fnlwgt_noeducation,education,education_noeducation,education_num,education_num_noeducation,marital_status,marital_status_noeducation,occupation,occupation_noeducation,relationship,relationship_noeducation,race,race_noeducation,sex,sex_noeducation,capital_gain,capital_gain_noeducation,capital_loss,capital_loss_noeducation,hours_per_week,hours_per_week_noeducation,native_country,native_country_noeducation,income_per_year,income_per_year_noeducation
25,age,Private,workclass,226802,fnlwgt,11th,education,7,education-num,Never-married,marital-status,Machine-op-inspct,occupation,Own-child,relationship,Black,race,Male,sex,0,capital-gain,0,capital-loss,40,hours-per-week,United-States,native-country,<=50K,income-per-year
38,36,Private,Private,89814,79627,HS-grad,HS-grad,9,8,Married-civ-spouse,Never-married,Farming-fishing,Adm-clerical,Husband,Not-in-family,White,White,Male,Male,0,1173,0,1411,50,38,United-States,United-States,<=50K,<=50K
28,47,Local-gov,Self-emp-not-inc,336951,84673,Assoc-acdm,HS-grad,12,8,Married-civ-spouse,Married-civ-spouse,Protective-serv,Machine-op-inspct,Husband,Husband,White,White,Male,Male,0,1173,0,1411,40,10,United-States,United-States,>50K,<=50K
44,36,Private,Private,160323,215419,Some-college,HS-grad,10,8,Married-civ-spouse,Divorced,Machine-op-inspct,Handlers-cleaners,Husband,Not-in-family,Black,White,Male,Male,7688,1173,0,1411,40,35,United-States,United-States,>50K,<=50K
18,54,?,Private,103497,227823,Some-college,HS-grad,10,8,Never-married,Married-civ-spouse,?,Handlers-cleaners,Own-child,Husband,White,White,Female,Male,0,1173,0,1411,30,42,United-States,United-States,<=50K,<=50K
34,26,Private,Private,198693,340110,10th,HS-grad,6,8,Never-married,Married-civ-spouse,Other-service,Machine-op-inspct,Not-in-family,Wife,White,Black,Male,Female,0,1173,0,1411,30,38,United-States,Cuba,<=50K,<=50K
29,35,?,Private,227026,309196,HS-grad,HS-grad,9,8,Never-married,Married-civ-spouse,?,Priv-house-serv,Unmarried,Wife,Black,White,Male,Female,0,1173,0,1411,40,42,United-States,United-States,<=50K,<=50K
63,50,Self-emp-not-inc,Private,104626,159021,Prof-school,HS-grad,15,8,Married-civ-spouse,Married-spouse-absent,Prof-specialty,Other-service,Husband,Not-in-family,White,Black,Male,Female,3103,1173,0,1411,32,20,United-States,United-States,>50K,<=50K
24,50,Private,Self-emp-not-inc,369667,211242,Some-college,HS-grad,10,8,Never-married,Married-civ-spouse,Other-service,Adm-clerical,Unmarried,Husband,White,White,Female,Male,0,1173,0,1411,40,38,United-States,United-States,<=50K,>50K
55,29,Private,Private,104996,46322,7th-8th,HS-grad,4,8,Married-civ-spouse,Never-married,Craft-repair,Machine-op-inspct,Husband,Not-in-family,White,White,Male,Female,0,13550,0,1411,10,50,United-States,United-States,<=50K,>50K
65,39,Private,Private,184454,159021,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Machine-op-inspct,Husband,Husband,White,White,Male,Male,6418,5455,0,1411,40,38,United-States,United-States,>50K,>50K
36,36,Federal-gov,Private,212465,272896,Bachelors,HS-grad,13,8,Married-civ-spouse,Married-civ-spouse,Adm-clerical,Sales,Husband,Husband,White,Black,Male,Male,0,1173,0,1411,40,68,United-States,United-States,<=50K,>50K
26,28,Private,Private,82091,141824,HS-grad,HS-grad,9,8,Never-married,Married-civ-spouse,Adm-clerical,Prof-specialty,Not-in-family,Husband,White,Asian-Pac-Islander,Female,Male,0,1173,0,1411,39,38,United-States,India,<=50K,>50K
58,20,?,Private,299831,125089,HS-grad,HS-grad,9,8,Married-civ-spouse,Widowed,?,Adm-clerical,Husband,Own-child,White,White,Male,Female,0,1173,0,1411,35,27,United-States,United-States,<=50K,<=50K
48,32,Private,Private,279724,205019,HS-grad,HS-grad,9,8,Married-civ-spouse,Never-married,Machine-op-inspct,?,Husband,Not-in-family,White,Black,Male,Male,3103,1173,0,1411,48,50,United-States,United-States,>50K,<=50K
43,39,Private,Private,346189,133420,Masters,HS-grad,14,8,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Other-service,Husband,Husband,White,Asian-Pac-Islander,Male,Male,0,1173,0,1411,50,38,United-States,?,>50K,>50K
20,34,State-gov,Private,444554,247337,Some-college,HS-grad,10,8,Never-married,Married-civ-spouse,Other-service,Handlers-cleaners,Own-child,Not-in-family,White,Amer-Indian-Eskimo,Male,Male,0,1173,0,1411,25,45,United-States,United-States,<=50K,<=50K
43,25,Private,Self-emp-not-inc,128354,175856,HS-grad,HS-grad,9,8,Married-civ-spouse,Never-married,Adm-clerical,Farming-fishing,Wife,Own-child,White,White,Female,Male,0,1173,0,1411,30,30,United-States,United-States,<=50K,<=50K
37,31,Private,Private,60548,189238,HS-grad,HS-grad,9,8,Widowed,Never-married,Machine-op-inspct,Machine-op-inspct,Unmarried,Unmarried,White,White,Female,Male,0,1173,0,1411,20,35,United-States,United-States,<=50K,<=50K
40,38,Private,Private,85019,25610,Doctorate,HS-grad,16,8,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Sales,Husband,Husband,Asian-Pac-Islander,White,Male,Male,0,1173,0,1411,45,53,?,United-States,>50K,<=50K
34,41,Private,Self-emp-not-inc,107914,319422,Bachelors,HS-grad,13,8,Married-civ-spouse,Divorced,Tech-support,Exec-managerial,Husband,Unmarried,White,White,Male,Female,0,1173,0,1411,47,45,United-States,United-States,>50K,>50K
34,35,Private,Private,238588,202466,Some-college,HS-grad,10,8,Never-married,Married-civ-spouse,Other-service,Other-service,Own-child,Husband,Black,White,Female,Male,0,1173,0,1411,35,57,United-States,United-States,<=50K,>50K
72,51,?,Private,132015,309196,7th-8th,HS-grad,4,8,Divorced,Separated,?,Other-service,Not-in-family,Unmarried,White,Asian-Pac-Islander,Female,Female,0,1173,0,1411,6,20,United-States,United-States,<=50K,<=50K
25,36,Private,Federal-gov,220931,67187,Bachelors,HS-grad,13,8,Never-married,Married-civ-spouse,Prof-specialty,Prof-specialty,Not-in-family,Husband,White,Black,Male,Male,0,1173,0,1411,43,42,Peru,United-States,<=50K,<=50K
25,44,Private,Private,205947,114942,Bachelors,HS-grad,13,8,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Other-service,Husband,Husband,White,White,Male,Male,0,1173,0,2179,40,42,United-States,United-States,<=50K,<=50K
45,55,Self-emp-not-inc,Private,432824,105138,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Craft-repair,Sales,Husband,Not-in-family,White,White,Male,Female,7298,1173,0,1411,90,35,United-States,United-States,>50K,<=50K
22,53,Private,?,236427,218782,HS-grad,HS-grad,9,8,Never-married,Married-civ-spouse,Adm-clerical,Craft-repair,Own-child,Husband,White,White,Male,Male,0,1173,0,1411,20,38,United-States,United-States,<=50K,>50K
23,19,Private,Private,134446,167670,HS-grad,HS-grad,9,8,Separated,Never-married,Machine-op-inspct,Handlers-cleaners,Unmarried,Own-child,Black,White,Male,Male,0,1173,0,1411,54,35,United-States,United-States,<=50K,<=50K
54,53,Private,?,99516,177824,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Craft-repair,?,Husband,Husband,White,Asian-Pac-Islander,Male,Male,0,1173,0,1411,35,53,United-States,South,<=50K,>50K
32,38,Self-emp-not-inc,Private,109282,360491,Some-college,HS-grad,10,8,Never-married,Divorced,Prof-specialty,?,Not-in-family,Not-in-family,White,White,Male,Male,0,1173,0,1411,60,62,United-States,United-States,<=50K,<=50K
46,47,State-gov,Private,106444,195554,Some-college,HS-grad,10,8,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Craft-repair,Husband,Husband,Black,White,Male,Male,7688,1173,0,1411,38,35,United-States,United-States,>50K,<=50K
56,22,Self-emp-not-inc,Local-gov,186651,189238,11th,HS-grad,7,8,Widowed,Never-married,Other-service,Protective-serv,Unmarried,Other-relative,White,White,Female,Male,0,1173,0,1411,50,50,United-States,United-States,<=50K,<=50K
24,20,Self-emp-not-inc,Private,188274,259688,Bachelors,HS-grad,13,8,Never-married,Divorced,Sales,?,Not-in-family,Husband,White,Black,Male,Male,0,1173,0,1411,50,38,United-States,United-States,<=50K,<=50K
23,42,Local-gov,Private,258120,399008,Some-college,HS-grad,10,8,Married-civ-spouse,Divorced,Protective-serv,Other-service,Husband,Own-child,White,White,Male,Male,0,1173,0,1411,40,38,United-States,United-States,<=50K,<=50K
26,29,Private,Federal-gov,43311,67187,HS-grad,HS-grad,9,8,Divorced,Married-civ-spouse,Exec-managerial,Handlers-cleaners,Unmarried,Own-child,White,White,Female,Male,0,1173,0,1411,40,35,United-States,United-States,<=50K,<=50K
65,22,?,Private,191846,309196,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,?,Other-service,Husband,Husband,White,Black,Male,Male,0,1173,0,1411,40,15,United-States,United-States,<=50K,<=50K
36,48,Local-gov,Private,403681,236379,Bachelors,HS-grad,13,8,Married-civ-spouse,Never-married,Prof-specialty,Machine-op-inspct,Husband,Unmarried,White,White,Male,Male,0,1173,0,1411,40,42,United-States,Puerto-Rico,>50K,<=50K
22,20,Private,Private,248446,195554,5th-6th,HS-grad,3,8,Never-married,Never-married,Priv-house-serv,Machine-op-inspct,Not-in-family,Own-child,White,White,Male,Male,0,1173,0,1411,50,35,Guatemala,United-States,<=50K,<=50K
17,19,Private,Private,269430,572751,10th,HS-grad,6,8,Never-married,Married-civ-spouse,Machine-op-inspct,?,Not-in-family,Wife,White,White,Male,Female,0,1173,0,1411,40,23,United-States,United-States,<=50K,<=50K
20,31,Private,Private,257509,91608,HS-grad,HS-grad,9,8,Never-married,Married-civ-spouse,Craft-repair,Sales,Own-child,Husband,White,White,Male,Male,0,1173,0,1411,40,35,United-States,?,<=50K,>50K
65,50,Private,Self-emp-not-inc,136384,259688,Masters,HS-grad,14,8,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Machine-op-inspct,Husband,Husband,White,White,Male,Male,0,1173,0,1411,50,38,United-States,United-States,>50K,<=50K
44,32,Self-emp-inc,Private,120277,460356,Assoc-voc,HS-grad,11,8,Married-civ-spouse,Married-civ-spouse,Sales,Craft-repair,Husband,Husband,White,White,Male,Male,0,1173,0,1411,45,45,United-States,United-States,>50K,<=50K
36,50,Private,Self-emp-not-inc,465326,91608,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Farming-fishing,?,Husband,Husband,White,White,Male,Male,0,1173,0,1411,40,38,United-States,United-States,<=50K,<=50K
29,22,Private,Private,103634,172716,11th,HS-grad,7,8,Married-civ-spouse,Married-civ-spouse,Other-service,Tech-support,Husband,Husband,White,White,Male,Male,0,1173,0,1411,40,45,United-States,United-States,<=50K,<=50K
20,47,State-gov,Private,138371,91608,Some-college,HS-grad,10,8,Never-married,Separated,Farming-fishing,Farming-fishing,Own-child,Unmarried,White,White,Male,Female,0,1173,0,1411,32,35,United-States,United-States,<=50K,<=50K
28,25,Private,Private,242832,290661,Assoc-voc,HS-grad,11,8,Married-civ-spouse,Never-married,Prof-specialty,Handlers-cleaners,Wife,Not-in-family,White,White,Female,Male,0,1173,0,1411,36,30,United-States,United-States,>50K,<=50K
39,54,Private,Private,290208,340110,7th-8th,HS-grad,4,8,Married-civ-spouse,Married-civ-spouse,Craft-repair,?,Husband,Husband,White,Black,Male,Male,0,1173,0,1411,40,38,Mexico,United-States,<=50K,>50K
54,51,Private,Private,186272,141824,Some-college,HS-grad,10,8,Married-civ-spouse,Married-civ-spouse,Transport-moving,Machine-op-inspct,Husband,Husband,White,White,Male,Male,3908,1173,0,1411,50,30,United-States,United-States,<=50K,<=50K
52,42,Private,Private,201062,137862,11th,HS-grad,7,8,Separated,Never-married,Priv-house-serv,Craft-repair,Not-in-family,Unmarried,Black,White,Female,Female,0,1173,0,1411,18,42,United-States,United-States,<=50K,<=50K
56,41,Self-emp-inc,?,131916,108468,HS-grad,HS-grad,9,8,Widowed,Married-civ-spouse,Exec-managerial,Craft-repair,Not-in-family,Husband,White,White,Female,Male,0,1173,0,1411,50,38,United-States,United-States,<=50K,<=50K
18,28,Private,Private,54440,290661,Some-college,HS-grad,10,8,Never-married,Never-married,Other-service,Prof-specialty,Own-child,Not-in-family,White,White,Male,Male,0,1173,0,1411,20,42,United-States,United-States,<=50K,<=50K
39,25,Private,Private,280215,34845,HS-grad,HS-grad,9,8,Divorced,Married-civ-spouse,Handlers-cleaners,?,Own-child,Wife,Black,Other,Male,Female,0,1173,0,1411,40,35,United-States,United-States,<=50K,<=50K
21,17,Private,Private,214399,227823,Some-college,HS-grad,10,8,Never-married,Never-married,Other-service,Other-service,Own-child,Own-child,White,White,Female,Female,0,1173,1721,1411,24,27,United-States,?,<=50K,<=50K
22,42,Private,Private,54164,46322,HS-grad,HS-grad,9,8,Never-married,Never-married,Other-service,Handlers-cleaners,Not-in-family,Wife,White,White,Male,Female,14084,1173,0,1762,60,57,United-States,United-States,>50K,>50K
38,47,Private,Private,219446,253856,9th,HS-grad,5,8,Married-spouse-absent,Divorced,Exec-managerial,Sales,Not-in-family,Not-in-family,White,White,Male,Male,0,1173,0,1411,54,53,Mexico,United-States,<=50K,>50K
21,45,Private,Self-emp-inc,110677,108468,Some-college,HS-grad,10,8,Never-married,Divorced,Adm-clerical,Transport-moving,Own-child,Not-in-family,White,White,Female,Male,0,1173,0,1411,40,50,United-States,United-States,<=50K,<=50K
63,42,Private,Private,145985,231822,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Craft-repair,Priv-house-serv,Husband,Husband,White,White,Male,Male,0,1173,0,1411,40,35,United-States,United-States,<=50K,>50K
34,47,Local-gov,Private,382078,180096,Bachelors,HS-grad,13,8,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Transport-moving,Husband,Husband,White,White,Male,Male,3103,1173,0,1411,50,38,United-States,United-States,>50K,<=50K
