age,age_nofnlwgt,workclass,workclass_nofnlwgt,fnlwgt,fnlwgt_nofnlwgt,education,education_nofnlwgt,education_num,education_num_nofnlwgt,marital_status,marital_status_nofnlwgt,occupation,occupation_nofnlwgt,relationship,relationship_nofnlwgt,race,race_nofnlwgt,sex,sex_nofnlwgt,capital_gain,capital_gain_nofnlwgt,capital_loss,capital_loss_nofnlwgt,hours_per_week,hours_per_week_nofnlwgt,native_country,native_country_nofnlwgt,income_per_year,income_per_year_nofnlwgt
25,age,Private,workclass,226802,fnlwgt,11th,education,7,education-num,Never-married,marital-status,Machine-op-inspct,occupation,Own-child,relationship,Black,race,Male,sex,0,capital-gain,0,capital-loss,40,hours-per-week,United-States,native-country,<=50K,income-per-year
38,39,Private,State-gov,89814,192779,HS-grad,Bachelors,9,9,Married-civ-spouse,Never-married,Farming-fishing,Adm-clerical,Husband,Not-in-family,White,White,Male,Male,0,3325,0,0,50,39,United-States,United-States,<=50K,<=50K
28,39,Local-gov,Self-emp-not-inc,336951,192779,Assoc-acdm,Bachelors,12,9,Married-civ-spouse,Married-civ-spouse,Protective-serv,Exec-managerial,Husband,Husband,White,White,Male,Male,0,3325,0,0,40,39,United-States,United-States,>50K,<=50K
44,39,Private,Private,160323,192779,Some-college,HS-grad,10,9,Married-civ-spouse,Divorced,Machine-op-inspct,Handlers-cleaners,Husband,Not-in-family,Black,White,Male,Male,7688,3325,0,0,40,39,United-States,United-States,>50K,<=50K
18,39,?,Private,103497,192779,Some-college,11th,10,9,Never-married,Married-civ-spouse,?,Handlers-cleaners,Own-child,Husband,White,Black,Female,Male,0,3325,0,0,30,39,United-States,United-States,<=50K,<=50K
34,39,Private,Private,198693,192779,10th,Bachelors,6,9,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Husband,White,Black,Male,Female,0,3325,0,0,30,39,United-States,United-States,<=50K,<=50K
29,39,?,Private,227026,192779,HS-grad,Bachelors,9,9,Never-married,Married-civ-spouse,?,Exec-managerial,Unmarried,Wife,Black,White,Male,Female,0,3325,0,0,40,39,United-States,United-States,<=50K,<=50K
63,39,Self-emp-not-inc,Private,104626,192779,Prof-school,Bachelors,15,9,Married-civ-spouse,Never-married,Prof-specialty,Other-service,Husband,Not-in-family,White,Black,Male,Female,3103,3325,0,0,32,39,United-States,United-States,>50K,<=50K
24,39,Private,Self-emp-not-inc,369667,192779,Some-college,HS-grad,10,9,Never-married,Married-civ-spouse,Other-service,Exec-managerial,Unmarried,Husband,White,White,Female,Male,0,3325,0,0,40,39,United-States,United-States,<=50K,>50K
55,39,Private,Private,104996,192779,7th-8th,Masters,4,9,Married-civ-spouse,Never-married,Craft-repair,Prof-specialty,Husband,Not-in-family,White,White,Male,Female,0,3325,0,0,10,39,United-States,United-States,<=50K,>50K
