age,age_nohours_per_week,workclass,workclass_nohours_per_week,fnlwgt,fnlwgt_nohours_per_week,education,education_nohours_per_week,education_num,education_num_nohours_per_week,marital_status,marital_status_nohours_per_week,occupation,occupation_nohours_per_week,relationship,relationship_nohours_per_week,race,race_nohours_per_week,sex,sex_nohours_per_week,capital_gain,capital_gain_nohours_per_week,capital_loss,capital_loss_nohours_per_week,hours_per_week,hours_per_week_nohours_per_week,native_country,native_country_nohours_per_week,income_per_year,income_per_year_nohours_per_week
25,age,Private,workclass,226802,fnlwgt,11th,education,7,education-num,Never-married,marital-status,Machine-op-inspct,occupation,Own-child,relationship,Black,race,Male,sex,0,capital-gain,0,capital-loss,40,hours-per-week,United-States,native-country,<=50K,income-per-year
38,42,Private,Private,89814,173740,HS-grad,Bachelors,9,9,Married-civ-spouse,Never-married,Farming-fishing,Farming-fishing,Husband,Not-in-family,White,White,Male,Male,0,2414,0,1564,50,40,United-States,United-States,<=50K,<=50K
28,42,Local-gov,Self-emp-not-inc,336951,173740,Assoc-acdm,9th,12,9,Married-civ-spouse,Married-civ-spouse,Protective-serv,Adm-clerical,Husband,Husband,White,White,Male,Male,0,2414,0,1564,40,40,United-States,United-States,>50K,<=50K
44,42,Private,Private,160323,173740,Some-college,HS-grad,10,9,Married-civ-spouse,Divorced,Machine-op-inspct,Handlers-cleaners,Husband,Not-in-family,Black,White,Male,Male,7688,2414,0,1564,40,40,United-States,United-States,>50K,<=50K
18,42,?,Private,103497,173740,Some-college,Bachelors,10,9,Never-married,Married-civ-spouse,?,Farming-fishing,Own-child,Husband,White,White,Female,Male,0,2414,0,1564,30,40,United-States,United-States,<=50K,<=50K
34,42,Private,Private,198693,173740,10th,Bachelors,6,9,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Wife,White,White,Male,Female,0,2414,0,1564,30,40,United-States,United-States,<=50K,<=50K
29,42,?,Private,227026,173740,HS-grad,Some-college,9,9,Never-married,Married-civ-spouse,?,Transport-moving,Unmarried,Wife,Black,White,Male,Female,0,2414,0,1564,40,40,United-States,United-States,<=50K,<=50K
63,42,Self-emp-not-inc,Private,104626,173740,Prof-school,HS-grad,15,9,Married-civ-spouse,Married-spouse-absent,Prof-specialty,Exec-managerial,Husband,Not-in-family,White,White,Male,Male,3103,2414,0,1564,32,40,United-States,United-States,>50K,<=50K
24,42,Private,Self-emp-not-inc,369667,173740,Some-college,HS-grad,10,9,Never-married,Married-civ-spouse,Other-service,Other-service,Unmarried,Husband,White,White,Female,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,>50K
55,42,Private,Private,104996,173740,7th-8th,Some-college,4,9,Married-civ-spouse,Never-married,Craft-repair,Prof-specialty,Husband,Not-in-family,White,White,Male,Female,0,2414,0,1564,10,40,United-States,United-States,<=50K,>50K
65,42,Private,Private,184454,173740,HS-grad,Bachelors,9,9,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Exec-managerial,Husband,Husband,White,White,Male,Male,6418,2414,0,1564,40,40,United-States,United-States,>50K,>50K
36,42,Federal-gov,Private,212465,173740,Bachelors,Some-college,13,9,Married-civ-spouse,Married-civ-spouse,Adm-clerical,Exec-managerial,Husband,Husband,White,White,Male,Male,0,2414,0,1564,40,40,United-States,United-States,<=50K,>50K
26,42,Private,State-gov,82091,173740,HS-grad,10th,9,9,Never-married,Married-civ-spouse,Adm-clerical,Prof-specialty,Not-in-family,Husband,White,Asian-Pac-Islander,Female,Male,0,2414,0,1564,39,40,United-States,United-States,<=50K,>50K
58,42,?,Private,299831,173740,HS-grad,Bachelors,9,9,Married-civ-spouse,Never-married,?,Protective-serv,Husband,Husband,White,White,Male,Female,0,2414,0,1564,35,40,United-States,United-States,<=50K,<=50K
48,42,Private,Private,279724,173740,HS-grad,Bachelors,9,9,Married-civ-spouse,Never-married,Machine-op-inspct,Sales,Husband,Not-in-family,White,Black,Male,Male,3103,2414,0,1564,48,40,United-States,United-States,>50K,<=50K
43,42,Private,Private,346189,173740,Masters,HS-grad,14,9,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Prof-specialty,Husband,Husband,White,White,Male,Male,0,2414,0,1564,50,40,United-States,?,>50K,>50K
20,42,State-gov,Self-emp-not-inc,444554,173740,Some-college,7th-8th,10,9,Never-married,Never-married,Other-service,Prof-specialty,Own-child,Husband,White,Black,Male,Female,0,2414,0,1564,25,40,United-States,United-States,<=50K,<=50K
43,42,Private,Self-emp-not-inc,128354,173740,HS-grad,HS-grad,9,9,Married-civ-spouse,Never-married,Adm-clerical,Farming-fishing,Wife,Own-child,White,White,Female,Male,0,2414,0,1564,30,40,United-States,United-States,<=50K,<=50K
37,42,Private,Self-emp-not-inc,60548,173740,HS-grad,HS-grad,9,9,Widowed,Never-married,Machine-op-inspct,Exec-managerial,Unmarried,Unmarried,White,White,Female,Male,0,2414,0,1564,20,40,United-States,United-States,<=50K,<=50K
40,42,Private,Private,85019,173740,Doctorate,11th,16,9,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Protective-serv,Husband,Not-in-family,Asian-Pac-Islander,White,Male,Male,0,2414,0,1564,45,40,?,United-States,>50K,<=50K
