age,age_nomarital_status,workclass,workclass_nomarital_status,fnlwgt,fnlwgt_nomarital_status,education,education_nomarital_status,education_num,education_num_nomarital_status,marital_status,marital_status_nomarital_status,occupation,occupation_nomarital_status,relationship,relationship_nomarital_status,race,race_nomarital_status,sex,sex_nomarital_status,capital_gain,capital_gain_nomarital_status,capital_loss,capital_loss_nomarital_status,hours_per_week,hours_per_week_nomarital_status,native_country,native_country_nomarital_status,income_per_year,income_per_year_nomarital_status
25,age,Private,workclass,226802,fnlwgt,11th,education,7,education-num,Never-married,marital-status,Machine-op-inspct,occupation,Own-child,relationship,Black,race,Male,sex,0,capital-gain,0,capital-loss,40,hours-per-week,United-States,native-country,<=50K,income-per-year
38,39,Private,State-gov,89814,76612,HS-grad,Bachelors,9,13,Married-civ-spouse,Married-civ-spouse,Farming-fishing,Adm-clerical,Husband,Not-in-family,White,White,Male,Male,0,2653,0,1340,50,40,United-States,United-States,<=50K,<=50K
28,49,Local-gov,Self-emp-not-inc,336951,89667,Assoc-acdm,Bachelors,12,13,Married-civ-spouse,Married-civ-spouse,Protective-serv,Adm-clerical,Husband,Not-in-family,White,Black,Male,Female,0,1151,0,1340,40,14,United-States,United-States,>50K,<=50K
44,39,Private,Private,160323,224421,Some-college,HS-grad,10,9,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Handlers-cleaners,Husband,Not-in-family,Black,White,Male,Male,7688,1151,0,1340,40,36,United-States,United-States,>50K,<=50K
18,52,?,Private,103497,231793,Some-college,11th,10,7,Never-married,Married-civ-spouse,?,Handlers-cleaners,Own-child,Not-in-family,White,Black,Female,Male,0,1151,0,1340,30,36,United-States,United-States,<=50K,<=50K
34,29,Private,Private,198693,344073,10th,Bachelors,6,13,Never-married,Married-civ-spouse,Other-service,Transport-moving,Not-in-family,Not-in-family,White,Black,Male,Female,0,1151,0,1340,30,36,United-States,Cuba,<=50K,<=50K
29,36,?,Private,227026,286146,HS-grad,Masters,9,13,Never-married,Married-civ-spouse,?,Adm-clerical,Unmarried,Not-in-family,Black,White,Male,Female,0,1151,0,1340,40,36,United-States,United-States,<=50K,<=50K
63,52,Self-emp-not-inc,Private,104626,156953,Prof-school,9th,15,5,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Other-service,Husband,Not-in-family,White,Black,Male,Female,3103,1151,0,1340,32,14,United-States,United-States,>50K,<=50K
24,49,Private,Self-emp-not-inc,369667,210844,Some-college,HS-grad,10,9,Never-married,Married-civ-spouse,Other-service,Exec-managerial,Unmarried,Not-in-family,White,Black,Female,Male,0,1151,0,1340,40,40,United-States,United-States,<=50K,>50K
55,32,Private,Private,104996,47022,7th-8th,Masters,4,13,Married-civ-spouse,Married-civ-spouse,Craft-repair,Prof-specialty,Husband,Not-in-family,White,White,Male,Female,0,14084,0,1340,10,46,United-States,United-States,<=50K,>50K
65,42,Private,Private,184454,156953,HS-grad,HS-grad,9,13,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Exec-managerial,Husband,Not-in-family,White,White,Male,Male,6418,4934,0,1340,40,36,United-States,United-States,>50K,>50K
36,36,Federal-gov,Private,212465,286146,Bachelors,Some-college,13,9,Married-civ-spouse,Married-civ-spouse,Adm-clerical,Adm-clerical,Husband,Own-child,White,Black,Male,Female,0,1151,0,1340,40,70,United-States,United-States,<=50K,>50K
26,29,Private,State-gov,82091,141580,HS-grad,Bachelors,9,13,Never-married,Married-civ-spouse,Adm-clerical,Adm-clerical,Not-in-family,Unmarried,White,Asian-Pac-Islander,Female,Female,0,1151,0,1340,39,36,United-States,India,<=50K,>50K
58,22,?,Private,299831,117503,HS-grad,Bachelors,9,13,Married-civ-spouse,Married-civ-spouse,?,Adm-clerical,Husband,Own-child,White,White,Male,Female,0,1151,0,1340,35,31,United-States,United-States,<=50K,<=50K
