age,age_nonative_country,workclass,workclass_nonative_country,fnlwgt,fnlwgt_nonative_country,education,education_nonative_country,education_num,education_num_nonative_country,marital_status,marital_status_nonative_country,occupation,occupation_nonative_country,relationship,relationship_nonative_country,race,race_nonative_country,sex,sex_nonative_country,capital_gain,capital_gain_nonative_country,capital_loss,capital_loss_nonative_country,hours_per_week,hours_per_week_nonative_country,native_country,native_country_nonative_country,income_per_year,income_per_year_nonative_country
25,age,Private,workclass,226802,fnlwgt,11th,education,7,education-num,Never-married,marital-status,Machine-op-inspct,occupation,Own-child,relationship,Black,race,Male,sex,0,capital-gain,0,capital-loss,40,hours-per-week,United-States,native-country,<=50K,income-per-year
38,40,Private,Private,89814,179481,HS-grad,Bachelors,9,9,Married-civ-spouse,Never-married,Farming-fishing,Adm-clerical,Husband,Not-in-family,White,White,Male,Male,0,3411,0,1602,50,37,United-States,United-States,<=50K,<=50K
28,40,Local-gov,Self-emp-not-inc,336951,179481,Assoc-acdm,Bachelors,12,9,Married-civ-spouse,Married-civ-spouse,Protective-serv,Exec-managerial,Husband,Husband,White,White,Male,Male,0,3411,0,1602,40,37,United-States,United-States,>50K,<=50K
44,40,Private,Private,160323,179481,Some-college,HS-grad,10,9,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Handlers-cleaners,Husband,Husband,Black,White,Male,Male,7688,3411,0,1602,40,37,United-States,United-States,>50K,<=50K
18,40,?,Private,103497,179481,Some-college,11th,10,9,Never-married,Married-civ-spouse,?,Handlers-cleaners,Own-child,Husband,White,White,Female,Male,0,3411,0,1602,30,37,United-States,United-States,<=50K,<=50K
34,40,Private,Private,198693,179481,10th,Bachelors,6,9,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Wife,White,White,Male,Female,0,3411,0,1602,30,37,United-States,United-States,<=50K,<=50K
29,40,?,Private,227026,179481,HS-grad,Masters,9,9,Never-married,Married-civ-spouse,?,Machine-op-inspct,Unmarried,Wife,Black,White,Male,Female,0,3411,0,1602,40,37,United-States,United-States,<=50K,<=50K
63,40,Self-emp-not-inc,Private,104626,179481,Prof-school,7th-8th,15,9,Married-civ-spouse,Married-spouse-absent,Prof-specialty,Sales,Husband,Not-in-family,White,White,Male,Female,3103,3411,0,1602,32,37,United-States,United-States,>50K,<=50K
24,40,Private,Private,369667,179481,Some-college,HS-grad,10,9,Never-married,Married-civ-spouse,Other-service,Exec-managerial,Unmarried,Husband,White,White,Female,Male,0,3411,0,1602,40,37,United-States,United-States,<=50K,>50K
55,40,Private,Private,104996,179481,7th-8th,Masters,4,9,Married-civ-spouse,Never-married,Craft-repair,Prof-specialty,Husband,Not-in-family,White,White,Male,Female,0,3411,0,1602,10,37,United-States,United-States,<=50K,>50K
65,40,Private,Private,184454,179481,HS-grad,Bachelors,9,9,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Exec-managerial,Husband,Husband,White,White,Male,Male,6418,3411,0,1602,40,37,United-States,United-States,>50K,>50K
36,40,Federal-gov,Private,212465,179481,Bachelors,Bachelors,13,9,Married-civ-spouse,Married-civ-spouse,Adm-clerical,Exec-managerial,Husband,Husband,White,White,Male,Male,0,3411,0,1602,40,37,United-States,United-States,<=50K,>50K
26,40,Private,Private,82091,179481,HS-grad,Bachelors,9,9,Never-married,Married-civ-spouse,Adm-clerical,Transport-moving,Not-in-family,Husband,White,White,Female,Male,0,3411,0,1602,39,37,United-States,United-States,<=50K,>50K
58,40,?,Private,299831,179481,HS-grad,Bachelors,9,9,Married-civ-spouse,Never-married,?,Adm-clerical,Husband,Own-child,White,White,Male,Female,0,3411,0,1602,35,37,United-States,United-States,<=50K,<=50K
48,40,Private,Private,279724,179481,HS-grad,Assoc-acdm,9,9,Married-civ-spouse,Never-married,Machine-op-inspct,?,Husband,Not-in-family,White,White,Male,Male,3103,3411,0,1602,48,37,United-States,United-States,>50K,<=50K
43,40,Private,Private,346189,179481,Masters,Assoc-voc,14,9,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Craft-repair,Husband,Husband,White,White,Male,Male,0,3411,0,1602,50,37,United-States,United-States,>50K,>50K
20,40,State-gov,Private,444554,179481,Some-college,Assoc-acdm,10,9,Never-married,Married-civ-spouse,Other-service,Transport-moving,Own-child,Husband,White,White,Male,Male,0,3411,0,1602,25,37,United-States,United-States,<=50K,<=50K
43,40,Private,Self-emp-not-inc,128354,179481,HS-grad,HS-grad,9,9,Married-civ-spouse,Never-married,Adm-clerical,Farming-fishing,Wife,Not-in-family,White,White,Female,Male,0,3411,0,1602,30,37,United-States,United-States,<=50K,<=50K
37,40,Private,Private,60548,179481,HS-grad,HS-grad,9,9,Widowed,Never-married,Machine-op-inspct,Machine-op-inspct,Unmarried,Unmarried,White,White,Female,Male,0,3411,0,1602,20,37,United-States,United-States,<=50K,<=50K
40,40,Private,Private,85019,179481,Doctorate,11th,16,9,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Sales,Husband,Husband,Asian-Pac-Islander,White,Male,Male,0,3411,0,1602,45,37,?,United-States,>50K,<=50K
34,40,Private,Self-emp-not-inc,107914,179481,Bachelors,Masters,13,9,Married-civ-spouse,Married-civ-spouse,Tech-support,Exec-managerial,Husband,Unmarried,White,White,Male,Female,0,3411,0,1602,47,37,United-States,United-States,>50K,>50K
34,40,Private,Private,238588,179481,Some-college,Some-college,10,9,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Own-child,Husband,Black,White,Female,Male,0,3411,0,1602,35,37,United-States,United-States,<=50K,>50K
72,40,?,Private,132015,179481,7th-8th,HS-grad,4,9,Divorced,Separated,?,Other-service,Not-in-family,Unmarried,White,White,Female,Female,0,3411,0,1602,6,37,United-States,United-States,<=50K,<=50K
25,40,Private,Federal-gov,220931,179481,Bachelors,9th,13,9,Never-married,Married-civ-spouse,Prof-specialty,Farming-fishing,Not-in-family,Husband,White,White,Male,Male,0,3411,0,1602,43,37,Peru,United-States,<=50K,<=50K
25,40,Private,Private,205947,179481,Bachelors,11th,13,9,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Other-service,Husband,Husband,White,White,Male,Male,0,3411,0,1602,40,37,United-States,United-States,<=50K,<=50K
45,40,Self-emp-not-inc,Private,432824,179481,HS-grad,HS-grad,9,9,Married-civ-spouse,Divorced,Craft-repair,Tech-support,Husband,Unmarried,White,White,Male,Female,7298,3411,0,1602,90,37,United-States,United-States,>50K,<=50K
22,40,Private,Local-gov,236427,179481,HS-grad,Bachelors,9,9,Never-married,Married-civ-spouse,Adm-clerical,Tech-support,Own-child,Husband,White,White,Male,Male,0,3411,0,1602,20,37,United-States,United-States,<=50K,>50K
23,40,Private,Private,134446,179481,HS-grad,HS-grad,9,9,Separated,Never-married,Machine-op-inspct,Craft-repair,Unmarried,Other-relative,Black,White,Male,Female,0,3411,0,1602,54,37,United-States,United-States,<=50K,<=50K
54,40,Private,Private,99516,179481,HS-grad,Some-college,9,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,Craft-repair,Husband,Husband,White,White,Male,Male,0,3411,0,1602,35,37,United-States,United-States,<=50K,>50K
32,40,Self-emp-not-inc,Private,109282,179481,Some-college,HS-grad,10,9,Never-married,Divorced,Prof-specialty,Exec-managerial,Not-in-family,Not-in-family,White,White,Male,Male,0,3411,0,1602,60,37,United-States,United-States,<=50K,<=50K
46,40,State-gov,Private,106444,179481,Some-college,Masters,10,9,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Craft-repair,Husband,Husband,Black,White,Male,Male,7688,3411,0,1602,38,37,United-States,United-States,>50K,<=50K
56,40,Self-emp-not-inc,Self-emp-not-inc,186651,179481,11th,Assoc-acdm,7,9,Widowed,Never-married,Other-service,Protective-serv,Unmarried,Not-in-family,White,White,Female,Male,0,3411,0,1602,50,37,United-States,United-States,<=50K,<=50K
24,40,Self-emp-not-inc,Private,188274,179481,Bachelors,Bachelors,13,9,Never-married,Never-married,Sales,Sales,Not-in-family,Own-child,White,White,Male,Male,0,3411,0,1602,50,37,United-States,United-States,<=50K,<=50K
23,40,Local-gov,Private,258120,179481,Some-college,Bachelors,10,9,Married-civ-spouse,Divorced,Protective-serv,Exec-managerial,Husband,Own-child,White,White,Male,Male,0,3411,0,1602,40,37,United-States,United-States,<=50K,<=50K
26,40,Private,Federal-gov,43311,179481,HS-grad,Some-college,9,9,Divorced,Married-civ-spouse,Exec-managerial,Sales,Unmarried,Other-relative,White,White,Female,Male,0,3411,0,1602,40,37,United-States,United-States,<=50K,<=50K
65,40,?,State-gov,191846,179481,HS-grad,Some-college,9,9,Married-civ-spouse,Married-civ-spouse,?,Other-service,Husband,Husband,White,White,Male,Male,0,3411,0,1602,40,37,United-States,United-States,<=50K,<=50K
36,40,Local-gov,Private,403681,179481,Bachelors,HS-grad,13,9,Married-civ-spouse,Never-married,Prof-specialty,Machine-op-inspct,Husband,Husband,White,White,Male,Male,0,3411,0,1602,40,37,United-States,United-States,>50K,<=50K
22,40,Private,Private,248446,179481,5th-6th,Some-college,3,9,Never-married,Never-married,Priv-house-serv,Machine-op-inspct,Not-in-family,Husband,White,White,Male,Male,0,3411,0,1602,50,37,Guatemala,United-States,<=50K,<=50K
17,40,Private,Private,269430,179481,10th,HS-grad,6,9,Never-married,Married-civ-spouse,Machine-op-inspct,Adm-clerical,Not-in-family,Wife,White,White,Male,Female,0,3411,0,1602,40,37,United-States,United-States,<=50K,<=50K
20,40,Private,Private,257509,179481,HS-grad,Some-college,9,9,Never-married,Married-civ-spouse,Craft-repair,Other-service,Own-child,Husband,White,White,Male,Male,0,3411,0,1602,40,37,United-States,United-States,<=50K,>50K
65,40,Private,Private,136384,179481,Masters,Assoc-acdm,14,9,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Prof-specialty,Husband,Husband,White,White,Male,Male,0,3411,0,1602,50,37,United-States,United-States,>50K,<=50K
44,40,Self-emp-inc,Private,120277,179481,Assoc-voc,9th,11,9,Married-civ-spouse,Married-civ-spouse,Sales,Machine-op-inspct,Husband,Husband,White,White,Male,Male,0,3411,0,1602,45,37,United-States,United-States,>50K,<=50K
36,40,Private,Private,465326,179481,HS-grad,Bachelors,9,9,Married-civ-spouse,Married-civ-spouse,Farming-fishing,Prof-specialty,Husband,Husband,White,White,Male,Male,0,3411,0,1602,40,37,United-States,United-States,<=50K,<=50K
29,40,Private,Private,103634,179481,11th,Bachelors,7,9,Married-civ-spouse,Married-civ-spouse,Other-service,Machine-op-inspct,Husband,Husband,White,White,Male,Male,0,3411,0,1602,40,37,United-States,United-States,<=50K,<=50K
20,40,State-gov,Private,138371,179481,Some-college,HS-grad,10,9,Never-married,Separated,Farming-fishing,Adm-clerical,Own-child,Unmarried,White,White,Male,Female,0,3411,0,1602,32,37,United-States,United-States,<=50K,<=50K
28,40,Private,Private,242832,179481,Assoc-voc,HS-grad,11,9,Married-civ-spouse,Never-married,Prof-specialty,Handlers-cleaners,Wife,Not-in-family,White,White,Female,Male,0,3411,0,1602,36,37,United-States,United-States,>50K,<=50K
39,40,Private,Federal-gov,290208,179481,7th-8th,Bachelors,4,9,Married-civ-spouse,Married-civ-spouse,Craft-repair,Prof-specialty,Husband,Husband,White,White,Male,Male,0,3411,0,1602,40,37,Mexico,United-States,<=50K,>50K
54,40,Private,Private,186272,179481,Some-college,Assoc-voc,10,9,Married-civ-spouse,Married-civ-spouse,Transport-moving,Machine-op-inspct,Husband,Husband,White,White,Male,Male,3908,3411,0,1602,50,37,United-States,United-States,<=50K,<=50K
52,40,Private,Private,201062,179481,11th,Masters,7,9,Separated,Married-spouse-absent,Priv-house-serv,Exec-managerial,Not-in-family,Unmarried,Black,White,Female,Female,0,3411,0,1602,18,37,United-States,United-States,<=50K,<=50K
56,40,Self-emp-inc,Private,131916,179481,HS-grad,5th-6th,9,9,Widowed,Married-civ-spouse,Exec-managerial,Craft-repair,Not-in-family,Husband,White,White,Female,Male,0,3411,0,1602,50,37,United-States,United-States,<=50K,<=50K
18,40,Private,Private,54440,179481,Some-college,Assoc-voc,10,9,Never-married,Never-married,Other-service,Prof-specialty,Own-child,Not-in-family,White,White,Male,Male,0,3411,0,1602,20,37,United-States,United-States,<=50K,<=50K
39,40,Private,Private,280215,179481,HS-grad,Some-college,9,9,Divorced,Married-civ-spouse,Handlers-cleaners,Exec-managerial,Own-child,Wife,Black,Other,Male,Female,0,3411,0,1602,40,37,United-States,United-States,<=50K,<=50K
21,40,Private,Private,214399,179481,Some-college,HS-grad,10,9,Never-married,Never-married,Other-service,Other-service,Own-child,Own-child,White,White,Female,Female,0,3411,1721,1602,24,37,United-States,United-States,<=50K,<=50K
