age,age_nooccupation,workclass,workclass_nooccupation,fnlwgt,fnlwgt_nooccupation,education,education_nooccupation,education_num,education_num_nooccupation,marital_status,marital_status_nooccupation,occupation,occupation_nooccupation,relationship,relationship_nooccupation,race,race_nooccupation,sex,sex_nooccupation,capital_gain,capital_gain_nooccupation,capital_loss,capital_loss_nooccupation,hours_per_week,hours_per_week_nooccupation,native_country,native_country_nooccupation,income_per_year,income_per_year_nooccupation
25,age,Private,workclass,226802,fnlwgt,11th,education,7,education-num,Never-married,marital-status,Machine-op-inspct,occupation,Own-child,relationship,Black,race,Male,sex,0,capital-gain,0,capital-loss,40,hours-per-week,United-States,native-country,<=50K,income-per-year
38,39,Private,Private,89814,68326,HS-grad,Bachelors,9,13,Married-civ-spouse,Never-married,Farming-fishing,Prof-specialty,Husband,Husband,White,White,Male,Male,0,2407,0,1590,50,40,United-States,United-States,<=50K,<=50K
28,46,Local-gov,Private,336951,98746,Assoc-acdm,9th,12,13,Married-civ-spouse,Married-civ-spouse,Protective-serv,Prof-specialty,Husband,Husband,White,White,Male,Male,0,2407,0,1590,40,8,United-States,United-States,>50K,<=50K
44,39,Private,Private,160323,205195,Some-college,HS-grad,10,10,Married-civ-spouse,Divorced,Machine-op-inspct,Prof-specialty,Husband,Not-in-family,Black,White,Male,Male,7688,2407,0,1590,40,40,United-States,United-States,>50K,<=50K
18,52,?,Private,103497,222848,Some-college,11th,10,8,Never-married,Married-civ-spouse,?,Prof-specialty,Own-child,Husband,White,Black,Female,Male,0,2407,0,1590,30,40,United-States,United-States,<=50K,<=50K
34,26,Private,Private,198693,331649,10th,Bachelors,6,13,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Husband,White,Black,Male,Female,0,2407,0,1590,30,40,United-States,Cuba,<=50K,<=50K
29,33,?,Private,227026,282948,HS-grad,10th,9,13,Never-married,Never-married,?,Prof-specialty,Unmarried,Wife,Black,White,Male,Female,0,2407,0,1590,40,40,United-States,United-States,<=50K,<=50K
63,46,Self-emp-not-inc,Private,104626,168212,Prof-school,9th,15,4,Married-civ-spouse,Married-spouse-absent,Prof-specialty,Prof-specialty,Husband,Not-in-family,White,White,Male,Female,3103,2407,0,1590,32,25,United-States,Jamaica,>50K,<=50K
24,46,Private,Private,369667,222848,Some-college,HS-grad,10,8,Never-married,Never-married,Other-service,Prof-specialty,Unmarried,Husband,White,White,Female,Male,0,2407,0,1590,40,40,United-States,United-States,<=50K,>50K
55,33,Private,Private,104996,34918,7th-8th,10th,4,13,Married-civ-spouse,Never-married,Craft-repair,Prof-specialty,Husband,Not-in-family,White,White,Male,Female,0,6514,0,1590,10,55,United-States,United-States,<=50K,>50K
65,39,Private,Private,184454,168212,HS-grad,HS-grad,9,13,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Prof-specialty,Husband,Husband,White,White,Male,Male,6418,6514,0,1590,40,40,United-States,United-States,>50K,>50K
36,33,Federal-gov,Private,212465,282948,Bachelors,Some-college,13,10,Married-civ-spouse,Married-civ-spouse,Adm-clerical,Prof-specialty,Husband,Husband,White,Black,Male,Male,0,2407,0,1590,40,77,United-States,United-States,<=50K,>50K
26,26,Private,Private,82091,152652,HS-grad,HS-grad,9,13,Never-married,Never-married,Adm-clerical,Prof-specialty,Not-in-family,Husband,White,Black,Female,Male,0,2407,0,1590,39,40,United-States,Mexico,<=50K,>50K
58,20,?,Private,299831,115358,HS-grad,Bachelors,9,13,Married-civ-spouse,Never-married,?,Prof-specialty,Husband,Own-child,White,White,Male,Male,0,2407,0,1590,35,25,United-States,United-States,<=50K,<=50K
48,33,Private,Private,279724,205195,HS-grad,Assoc-acdm,9,13,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Prof-specialty,Husband,Not-in-family,White,Black,Male,Male,3103,2407,0,1590,48,55,United-States,United-States,>50K,<=50K
43,39,Private,Private,346189,115358,Masters,Masters,14,10,Married-civ-spouse,Never-married,Exec-managerial,Prof-specialty,Husband,Husband,White,Asian-Pac-Islander,Male,Male,0,2407,0,1590,50,40,United-States,?,>50K,>50K
20,33,State-gov,Private,444554,248446,Some-college,Assoc-acdm,10,4,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Own-child,Other-relative,White,Amer-Indian-Eskimo,Male,Male,0,2407,0,1590,25,40,United-States,Mexico,<=50K,<=50K
43,26,Private,Local-gov,128354,192894,HS-grad,HS-grad,9,8,Married-civ-spouse,Never-married,Adm-clerical,Prof-specialty,Wife,Own-child,White,White,Female,Male,0,2407,0,1590,30,25,United-States,United-States,<=50K,<=50K
37,33,Private,Private,60548,180955,HS-grad,HS-grad,9,8,Widowed,Never-married,Machine-op-inspct,Prof-specialty,Unmarried,Not-in-family,White,White,Female,Male,0,2407,0,1590,20,40,United-States,United-States,<=50K,<=50K
40,39,Private,Private,85019,34918,Doctorate,11th,16,6,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Prof-specialty,Husband,Husband,Asian-Pac-Islander,White,Male,Male,0,2407,0,1590,45,55,?,United-States,>50K,<=50K
34,39,Private,Private,107914,282948,Bachelors,10th,13,13,Married-civ-spouse,Divorced,Tech-support,Prof-specialty,Husband,Unmarried,White,White,Male,Female,0,2407,0,1590,47,40,United-States,United-States,>50K,>50K
34,39,Private,Private,238588,192894,Some-college,HS-grad,10,15,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Own-child,Husband,Black,White,Female,Male,0,2407,0,1590,35,55,United-States,United-States,<=50K,>50K
72,52,?,Private,132015,282948,7th-8th,HS-grad,4,8,Divorced,Separated,?,Prof-specialty,Not-in-family,Husband,White,Black,Female,Female,0,2407,0,1590,6,25,United-States,United-States,<=50K,<=50K
25,33,Private,Federal-gov,220931,115358,Bachelors,Some-college,13,4,Never-married,Married-civ-spouse,Prof-specialty,Prof-specialty,Not-in-family,Not-in-family,White,Black,Male,Female,0,2407,0,1590,43,40,Peru,United-States,<=50K,<=50K
25,46,Private,Private,205947,115358,Bachelors,11th,13,6,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Prof-specialty,Husband,Husband,White,White,Male,Male,0,2407,0,2051,40,40,United-States,United-States,<=50K,<=50K
45,65,Self-emp-not-inc,Private,432824,115358,HS-grad,HS-grad,9,8,Married-civ-spouse,Married-civ-spouse,Craft-repair,Prof-specialty,Husband,Unmarried,White,White,Male,Female,7298,2407,0,1590,90,40,United-States,United-States,>50K,<=50K
22,59,Private,Local-gov,236427,222848,HS-grad,12th,9,13,Never-married,Married-civ-spouse,Adm-clerical,Prof-specialty,Own-child,Husband,White,White,Male,Male,0,2407,0,1590,20,40,United-States,United-States,<=50K,>50K
