age,age_norace,workclass,workclass_norace,fnlwgt,fnlwgt_norace,education,education_norace,education_num,education_num_norace,marital_status,marital_status_norace,occupation,occupation_norace,relationship,relationship_norace,race,race_norace,sex,sex_norace,capital_gain,capital_gain_norace,capital_loss,capital_loss_norace,hours_per_week,hours_per_week_norace,native_country,native_country_norace,income_per_year,income_per_year_norace
25,age,Private,workclass,226802,fnlwgt,11th,education,7,education-num,Never-married,marital-status,Machine-op-inspct,occupation,Own-child,relationship,Black,race,Male,sex,0,capital-gain,0,capital-loss,40,hours-per-week,United-States,native-country,<=50K,income-per-year
38,35,Private,State-gov,89814,77462,HS-grad,Bachelors,9,13,Married-civ-spouse,Never-married,Farming-fishing,Adm-clerical,Husband,Not-in-family,White,White,Male,Male,0,2174,0,213,50,33,United-States,United-States,<=50K,<=50K
28,45,Local-gov,Self-emp-not-inc,336951,83064,Assoc-acdm,Bachelors,12,13,Married-civ-spouse,Married-civ-spouse,Protective-serv,Exec-managerial,Husband,Husband,White,White,Male,Male,0,594,0,213,40,12,United-States,United-States,>50K,<=50K
44,34,Private,Private,160323,215247,Some-college,HS-grad,10,9,Married-civ-spouse,Divorced,Machine-op-inspct,Handlers-cleaners,Husband,Not-in-family,Black,White,Male,Male,7688,594,0,213,40,33,United-States,United-States,>50K,<=50K
18,50,?,Private,103497,199741,Some-college,11th,10,7,Never-married,Married-civ-spouse,?,Handlers-cleaners,Own-child,Husband,White,White,Female,Male,0,594,0,213,30,43,United-States,United-States,<=50K,<=50K
34,27,Private,Private,198693,281356,10th,Bachelors,6,13,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Wife,White,White,Male,Female,0,594,0,213,30,43,United-States,Cuba,<=50K,<=50K
29,34,?,Private,227026,269353,HS-grad,11th,9,14,Never-married,Married-civ-spouse,?,Exec-managerial,Unmarried,Wife,Black,White,Male,Female,0,594,0,213,40,33,United-States,United-States,<=50K,<=50K
63,46,Self-emp-not-inc,Private,104626,126954,Prof-school,9th,15,5,Married-civ-spouse,Married-spouse-absent,Prof-specialty,Other-service,Husband,Not-in-family,White,White,Male,Female,3103,594,0,213,32,20,United-States,Mexico,>50K,<=50K
24,46,Private,Self-emp-not-inc,369667,209782,Some-college,HS-grad,10,9,Never-married,Married-civ-spouse,Other-service,Adm-clerical,Unmarried,Husband,White,White,Female,Male,0,594,0,213,40,36,United-States,United-States,<=50K,>50K
55,28,Private,Private,104996,59792,7th-8th,Masters,4,14,Married-civ-spouse,Never-married,Craft-repair,Prof-specialty,Husband,Not-in-family,White,White,Male,Female,0,15020,0,213,10,40,United-States,United-States,<=50K,>50K
