age,age_norelationship,workclass,workclass_norelationship,fnlwgt,fnlwgt_norelationship,education,education_norelationship,education_num,education_num_norelationship,marital_status,marital_status_norelationship,occupation,occupation_norelationship,relationship,relationship_norelationship,race,race_norelationship,sex,sex_norelationship,capital_gain,capital_gain_norelationship,capital_loss,capital_loss_norelationship,hours_per_week,hours_per_week_norelationship,native_country,native_country_norelationship,income_per_year,income_per_year_norelationship
25,age,Private,workclass,226802,fnlwgt,11th,education,7,education-num,Never-married,marital-status,Machine-op-inspct,occupation,Own-child,relationship,Black,race,Male,sex,0,capital-gain,0,capital-loss,40,hours-per-week,United-States,native-country,<=50K,income-per-year
38,37,Private,State-gov,89814,81794,HS-grad,Bachelors,9,13,Married-civ-spouse,Never-married,Farming-fishing,Adm-clerical,Husband,Husband,White,White,Male,Male,0,2176,0,0,50,34,United-States,United-States,<=50K,<=50K
28,46,Local-gov,Private,336951,83253,Assoc-acdm,Some-college,12,13,Married-civ-spouse,Divorced,Protective-serv,Exec-managerial,Husband,Husband,White,White,Male,Female,0,0,0,0,40,10,United-States,United-States,>50K,<=50K
44,37,Private,Private,160323,215647,Some-college,HS-grad,10,9,Married-civ-spouse,Divorced,Machine-op-inspct,Handlers-cleaners,Husband,Husband,Black,White,Male,Male,7688,0,0,0,40,34,United-States,United-States,>50K,<=50K
18,49,?,Private,103497,231793,Some-college,11th,10,7,Never-married,Never-married,?,Handlers-cleaners,Own-child,Husband,White,Black,Female,Female,0,0,0,0,30,32,United-States,United-States,<=50K,<=50K
34,28,Private,Private,198693,350538,10th,Some-college,6,13,Never-married,Divorced,Other-service,Prof-specialty,Not-in-family,Husband,White,Black,Male,Female,0,0,0,0,30,46,United-States,United-States,<=50K,<=50K
29,37,?,Private,227026,302604,HS-grad,HS-grad,9,14,Never-married,Never-married,?,Adm-clerical,Unmarried,Husband,Black,White,Male,Female,0,0,0,0,40,46,United-States,United-States,<=50K,<=50K
63,45,Self-emp-not-inc,Private,104626,160246,Prof-school,9th,15,5,Married-civ-spouse,Separated,Prof-specialty,Other-service,Husband,Husband,White,Black,Male,Female,3103,0,0,0,32,14,United-States,Jamaica,>50K,<=50K
24,49,Private,Private,369667,208415,Some-college,HS-grad,10,9,Never-married,Never-married,Other-service,Exec-managerial,Unmarried,Husband,White,White,Female,Female,0,0,0,0,40,36,United-States,United-States,<=50K,>50K
55,30,Private,Private,104996,49255,7th-8th,Masters,4,14,Married-civ-spouse,Never-married,Craft-repair,Prof-specialty,Husband,Husband,White,White,Male,Female,0,11678,0,0,10,42,United-States,United-States,<=50K,>50K
65,40,Private,Private,184454,158751,HS-grad,HS-grad,9,13,Married-civ-spouse,Never-married,Machine-op-inspct,Other-service,Husband,Husband,White,White,Male,Female,6418,5178,0,0,40,32,United-States,United-States,>50K,>50K
36,35,Federal-gov,Private,212465,279315,Bachelors,Some-college,13,10,Married-civ-spouse,Divorced,Adm-clerical,Exec-managerial,Husband,Husband,White,Black,Male,Male,0,0,0,0,40,65,United-States,United-States,<=50K,>50K
26,29,Private,State-gov,82091,141645,HS-grad,Bachelors,9,13,Never-married,Never-married,Adm-clerical,Prof-specialty,Not-in-family,Husband,White,Asian-Pac-Islander,Female,Male,0,0,0,0,39,32,United-States,United-States,<=50K,>50K
58,25,?,Local-gov,299831,114912,HS-grad,Bachelors,9,13,Married-civ-spouse,Divorced,?,Adm-clerical,Husband,Husband,White,White,Male,Female,0,0,0,0,35,30,United-States,United-States,<=50K,<=50K
48,30,Private,Private,279724,204862,HS-grad,Assoc-acdm,9,12,Married-civ-spouse,Never-married,Machine-op-inspct,Sales,Husband,Husband,White,Black,Male,Male,3103,0,0,0,48,42,United-States,United-States,>50K,<=50K
43,38,Private,Private,346189,122347,Masters,Assoc-voc,14,11,Married-civ-spouse,Separated,Exec-managerial,Adm-clerical,Husband,Husband,White,Asian-Pac-Islander,Male,Female,0,0,0,0,50,32,United-States,?,>50K,>50K
20,33,State-gov,Private,444554,242564,Some-college,7th-8th,10,4,Never-married,Never-married,Other-service,Transport-moving,Own-child,Husband,White,Amer-Indian-Eskimo,Male,Female,0,0,0,0,25,36,United-States,Mexico,<=50K,<=50K
43,28,Private,Self-emp-not-inc,128354,172496,HS-grad,HS-grad,9,9,Married-civ-spouse,Never-married,Adm-clerical,Farming-fishing,Wife,Husband,White,White,Female,Male,0,0,0,0,30,34,United-States,United-States,<=50K,<=50K
37,32,Private,Private,60548,188798,HS-grad,HS-grad,9,9,Widowed,Never-married,Machine-op-inspct,Machine-op-inspct,Unmarried,Husband,White,White,Female,Male,0,0,0,0,20,38,United-States,United-States,<=50K,<=50K
40,37,Private,Private,85019,28791,Doctorate,11th,16,7,Married-civ-spouse,Never-married,Prof-specialty,Sales,Husband,Husband,Asian-Pac-Islander,White,Male,Female,0,0,0,0,45,41,?,United-States,>50K,<=50K
34,41,Private,Self-emp-not-inc,107914,298696,Bachelors,Masters,13,14,Married-civ-spouse,Separated,Tech-support,Exec-managerial,Husband,Husband,White,White,Male,Female,0,0,0,0,47,43,United-States,United-States,>50K,>50K
34,38,Private,Private,238588,192983,Some-college,11th,10,16,Never-married,Never-married,Other-service,Exec-managerial,Own-child,Husband,Black,White,Female,Male,0,0,0,0,35,48,United-States,United-States,<=50K,>50K
72,51,?,Private,132015,308995,7th-8th,HS-grad,4,9,Divorced,Separated,?,Exec-managerial,Not-in-family,Husband,White,Black,Female,Male,0,0,0,0,6,19,United-States,United-States,<=50K,<=50K
25,34,Private,Private,220931,76641,Bachelors,9th,13,5,Never-married,Never-married,Prof-specialty,Other-service,Not-in-family,Husband,White,Black,Male,Male,0,0,0,0,43,32,Peru,United-States,<=50K,<=50K
25,40,Private,Private,205947,117509,Bachelors,11th,13,7,Married-civ-spouse,Never-married,Prof-specialty,Adm-clerical,Husband,Husband,White,White,Male,Male,0,0,0,1974,40,32,United-States,United-States,<=50K,<=50K
45,55,Self-emp-not-inc,Private,432824,107665,HS-grad,HS-grad,9,9,Married-civ-spouse,Never-married,Craft-repair,Tech-support,Husband,Husband,White,White,Male,Female,7298,0,0,0,90,38,United-States,United-States,>50K,<=50K
22,51,Private,Local-gov,236427,215503,HS-grad,Bachelors,9,13,Never-married,Never-married,Adm-clerical,Tech-support,Own-child,Husband,White,Black,Male,Female,0,0,0,0,20,32,United-States,United-States,<=50K,>50K
23,20,Private,Private,134446,162494,HS-grad,HS-grad,9,9,Separated,Divorced,Machine-op-inspct,Craft-repair,Unmarried,Husband,Black,White,Male,Male,0,0,0,0,54,39,United-States,United-States,<=50K,<=50K
54,50,Private,?,99516,180150,HS-grad,Some-college,9,10,Married-civ-spouse,Never-married,Craft-repair,?,Husband,Husband,White,Asian-Pac-Islander,Male,Female,0,0,0,0,35,48,United-States,South,<=50K,>50K
32,37,Self-emp-not-inc,Private,109282,367260,Some-college,HS-grad,10,9,Never-married,Never-married,Prof-specialty,Adm-clerical,Not-in-family,Husband,White,White,Male,Male,0,0,0,0,60,72,United-States,United-States,<=50K,<=50K
46,46,State-gov,Private,106444,192878,Some-college,HS-grad,10,9,Married-civ-spouse,Never-married,Exec-managerial,Adm-clerical,Husband,Husband,Black,White,Male,Female,7688,0,0,0,38,32,United-States,United-States,>50K,<=50K
56,22,Self-emp-not-inc,Local-gov,186651,190650,11th,Assoc-acdm,7,12,Widowed,Never-married,Other-service,Protective-serv,Unmarried,Husband,White,White,Female,Male,0,0,0,0,50,45,United-States,United-States,<=50K,<=50K
24,21,Self-emp-not-inc,Private,188274,264939,Bachelors,Some-college,13,10,Never-married,Never-married,Sales,Sales,Not-in-family,Husband,White,White,Male,Male,0,0,0,0,50,43,United-States,United-States,<=50K,<=50K
23,53,Local-gov,Private,258120,375606,Some-college,Bachelors,10,13,Married-civ-spouse,Divorced,Protective-serv,Exec-managerial,Husband,Husband,White,White,Male,Female,0,0,0,1408,40,39,United-States,United-States,<=50K,<=50K
26,34,Private,Federal-gov,43311,52921,HS-grad,7th-8th,9,10,Divorced,Married-civ-spouse,Exec-managerial,Adm-clerical,Unmarried,Husband,White,White,Female,Male,0,0,0,0,40,39,United-States,United-States,<=50K,<=50K
65,21,?,State-gov,191846,310175,HS-grad,Some-college,9,10,Married-civ-spouse,Divorced,?,Other-service,Husband,Husband,White,Black,Male,Female,0,0,0,0,40,13,United-States,United-States,<=50K,<=50K
36,45,Local-gov,Private,403681,247507,Bachelors,11th,13,7,Married-civ-spouse,Never-married,Prof-specialty,Machine-op-inspct,Husband,Husband,White,White,Male,Male,0,0,0,0,40,38,United-States,United-States,>50K,<=50K
22,22,Private,Private,248446,192755,5th-6th,Some-college,3,10,Never-married,Never-married,Priv-house-serv,Machine-op-inspct,Not-in-family,Husband,White,White,Male,Male,0,0,0,0,50,39,Guatemala,United-States,<=50K,<=50K
17,18,Private,Private,269430,542610,10th,HS-grad,6,9,Never-married,Never-married,Machine-op-inspct,Machine-op-inspct,Not-in-family,Husband,White,White,Male,Male,0,0,0,0,40,29,United-States,United-States,<=50K,<=50K
20,30,Private,Private,257509,84154,HS-grad,Some-college,9,10,Never-married,Never-married,Craft-repair,Sales,Own-child,Husband,White,White,Male,Female,0,0,0,0,40,30,United-States,?,<=50K,>50K
65,45,Private,Self-emp-not-inc,136384,262978,Masters,Assoc-acdm,14,12,Married-civ-spouse,Never-married,Prof-specialty,Prof-specialty,Husband,Husband,White,White,Male,Male,0,0,0,0,50,32,United-States,United-States,>50K,<=50K
44,30,Self-emp-inc,Private,120277,496743,Assoc-voc,9th,11,5,Married-civ-spouse,Never-married,Sales,Machine-op-inspct,Husband,Husband,White,White,Male,Female,0,0,0,0,45,34,United-States,United-States,>50K,<=50K
36,49,Private,Self-emp-not-inc,465326,88506,HS-grad,Bachelors,9,13,Married-civ-spouse,Never-married,Farming-fishing,Prof-specialty,Husband,Husband,White,White,Male,Male,0,0,0,0,40,32,United-States,United-States,<=50K,<=50K
29,24,Private,Private,103634,173020,11th,7th-8th,7,13,Married-civ-spouse,Divorced,Other-service,Tech-support,Husband,Husband,White,White,Male,Male,0,0,0,0,40,41,United-States,United-States,<=50K,<=50K
20,46,State-gov,Private,138371,90273,Some-college,Some-college,10,9,Never-married,Never-married,Farming-fishing,Exec-managerial,Own-child,Husband,White,White,Male,Female,0,0,0,0,32,38,United-States,United-States,<=50K,<=50K
28,24,Private,Private,242832,289984,Assoc-voc,HS-grad,11,9,Married-civ-spouse,Never-married,Prof-specialty,Handlers-cleaners,Wife,Husband,White,White,Female,Male,0,0,0,0,36,29,United-States,United-States,>50K,<=50K
39,53,Private,Federal-gov,290208,336215,7th-8th,Bachelors,4,13,Married-civ-spouse,Divorced,Craft-repair,Prof-specialty,Husband,Husband,White,Black,Male,Male,0,0,0,0,40,32,Mexico,United-States,<=50K,>50K
54,49,Private,Private,186272,144259,Some-college,HS-grad,10,9,Married-civ-spouse,Never-married,Transport-moving,Machine-op-inspct,Husband,Husband,White,Black,Male,Male,3908,0,0,0,50,30,United-States,United-States,<=50K,<=50K
52,43,Private,Private,201062,126349,11th,Masters,7,14,Separated,Never-married,Priv-house-serv,Exec-managerial,Not-in-family,Husband,Black,White,Female,Female,0,0,0,0,18,38,United-States,United-States,<=50K,<=50K
56,39,Self-emp-inc,State-gov,131916,101626,HS-grad,Assoc-voc,9,11,Widowed,Never-married,Exec-managerial,Adm-clerical,Not-in-family,Husband,White,White,Female,Male,0,0,0,0,50,32,United-States,United-States,<=50K,<=50K
18,28,Private,Private,54440,271466,Some-college,Assoc-voc,10,11,Never-married,Never-married,Other-service,Prof-specialty,Own-child,Husband,White,White,Male,Male,0,0,0,0,20,37,United-States,United-States,<=50K,<=50K
39,25,Private,Private,280215,32546,HS-grad,Some-college,9,10,Divorced,Never-married,Handlers-cleaners,Exec-managerial,Own-child,Husband,Black,Other,Male,Male,0,0,0,0,40,46,United-States,United-States,<=50K,<=50K
21,18,Private,Private,214399,223763,Some-college,HS-grad,10,9,Never-married,Never-married,Other-service,Prof-specialty,Own-child,Husband,White,White,Female,Female,0,0,1721,0,24,30,United-States,?,<=50K,<=50K
22,46,Private,Private,54164,54271,HS-grad,Bachelors,9,15,Never-married,Never-married,Other-service,Handlers-cleaners,Not-in-family,Husband,White,White,Male,Female,14084,0,0,1902,60,68,United-States,United-States,>50K,>50K
38,46,Private,Federal-gov,219446,251508,9th,7th-8th,5,13,Married-spouse-absent,Never-married,Exec-managerial,Machine-op-inspct,Not-in-family,Husband,White,White,Male,Male,0,0,0,0,54,47,Mexico,United-States,<=50K,>50K
21,44,Private,Self-emp-inc,110677,110538,Some-college,HS-grad,10,9,Never-married,Never-married,Adm-clerical,Exec-managerial,Own-child,Husband,White,White,Female,Male,0,0,0,0,40,52,United-States,United-States,<=50K,<=50K
63,40,Private,Private,145985,235379,HS-grad,Some-college,9,10,Married-civ-spouse,Never-married,Craft-repair,Tech-support,Husband,Husband,White,White,Male,Female,0,0,0,0,40,32,United-States,United-States,<=50K,>50K
34,43,Local-gov,Private,382078,215245,Bachelors,Some-college,13,3,Married-civ-spouse,Never-married,Exec-managerial,Machine-op-inspct,Husband,Husband,White,White,Male,Female,3103,0,0,0,50,32,United-States,United-States,>50K,<=50K
42,34,Self-emp-inc,Private,170721,56213,HS-grad,Assoc-voc,9,11,Married-civ-spouse,Never-married,Exec-managerial,Other-service,Husband,Husband,White,White,Male,Male,5178,0,0,0,50,32,United-States,Puerto-Rico,>50K,<=50K
33,39,Private,Private,269705,147411,HS-grad,HS-grad,9,9,Married-civ-spouse,Never-married,Handlers-cleaners,Adm-clerical,Husband,Husband,White,White,Male,Female,0,0,0,0,40,38,United-States,United-States,<=50K,<=50K
30,29,Private,Private,101135,187969,Bachelors,Some-college,13,9,Never-married,Married-civ-spouse,Exec-managerial,Machine-op-inspct,Not-in-family,Husband,White,White,Female,Female,0,4931,0,0,50,32,United-States,United-States,<=50K,<=50K
39,29,Private,Private,118429,59496,Some-college,Bachelors,10,13,Divorced,Never-married,Sales,?,Not-in-family,Husband,White,White,Male,Male,0,2174,0,0,40,32,United-States,United-States,<=50K,<=50K
26,30,Private,?,31208,294121,Masters,7th-8th,14,4,Never-married,Never-married,Exec-managerial,?,Not-in-family,Husband,White,White,Female,Male,0,0,0,0,40,34,United-States,?,<=50K,<=50K
33,45,Private,Private,281384,149771,HS-grad,HS-grad,9,9,Never-married,Never-married,Machine-op-inspct,Sales,Own-child,Husband,White,White,Female,Male,0,0,0,0,40,32,United-States,United-States,<=50K,<=50K
47,40,Local-gov,Private,171807,117162,HS-grad,Doctorate,9,16,Divorced,Married-civ-spouse,Adm-clerical,Prof-specialty,Not-in-family,Husband,White,White,Female,Female,0,0,0,0,40,36,United-States,United-States,<=50K,>50K
41,28,Private,Private,109912,106648,Bachelors,Bachelors,13,10,Never-married,Never-married,Other-service,Tech-support,Not-in-family,Husband,White,White,Female,Male,0,0,0,0,40,50,?,United-States,<=50K,<=50K
41,34,Self-emp-inc,Private,445382,155594,Assoc-acdm,HS-grad,12,9,Married-civ-spouse,Never-married,Craft-repair,Craft-repair,Husband,Husband,White,White,Male,Female,15024,0,0,0,60,32,United-States,United-States,>50K,<=50K
19,28,Private,Private,105460,183200,Some-college,Some-college,10,10,Never-married,Divorced,Other-service,Adm-clerical,Own-child,Husband,White,White,Male,Female,0,0,0,0,20,34,United-States,United-States,<=50K,<=50K
46,53,Private,Private,170338,179479,HS-grad,HS-grad,9,9,Separated,Never-married,Transport-moving,Farming-fishing,Not-in-family,Husband,White,White,Male,Female,0,0,0,0,40,46,United-States,United-States,<=50K,>50K
43,46,Private,?,102606,191161,HS-grad,Some-college,9,10,Married-civ-spouse,Never-married,Sales,Prof-specialty,Husband,Husband,White,White,Male,Female,0,0,0,0,48,41,United-States,United-States,<=50K,>50K
55,28,Private,?,323887,197207,Some-college,HS-grad,10,10,Married-civ-spouse,Divorced,Exec-managerial,Exec-managerial,Husband,Husband,White,White,Male,Male,15024,0,0,0,45,39,United-States,United-States,>50K,<=50K
46,20,Private,Private,175622,93272,Assoc-voc,Some-college,11,10,Married-civ-spouse,Never-married,Tech-support,Prof-specialty,Husband,Husband,White,White,Male,Male,0,0,0,0,40,32,United-States,United-States,<=50K,<=50K
30,35,Private,Private,229636,309634,HS-grad,Bachelors,9,13,Married-civ-spouse,Separated,Machine-op-inspct,Exec-managerial,Husband,Husband,White,Black,Male,Female,0,0,0,0,40,39,Mexico,United-States,<=50K,<=50K
21,28,Private,Private,388946,161342,Some-college,Bachelors,10,13,Separated,Never-married,Handlers-cleaners,Sales,Not-in-family,Husband,White,White,Female,Male,0,0,0,0,40,56,United-States,United-States,<=50K,>50K
46,22,Private,Private,269034,211531,Some-college,Some-college,10,10,Married-civ-spouse,Never-married,Craft-repair,Machine-op-inspct,Husband,Husband,Other,White,Male,Male,0,0,0,0,40,34,Dominican-Republic,United-States,<=50K,<=50K
17,79,?,Private,165361,113555,10th,Some-college,6,10,Never-married,Divorced,?,Prof-specialty,Own-child,Husband,White,White,Male,Male,0,0,0,0,40,21,United-States,United-States,<=50K,<=50K
41,30,Private,Private,75012,210802,HS-grad,HS-grad,9,9,Married-civ-spouse,Never-married,Machine-op-inspct,Craft-repair,Husband,Husband,White,White,Male,Male,0,0,0,0,50,39,United-States,Mexico,<=50K,<=50K
69,38,Self-emp-inc,Private,174379,31438,HS-grad,Assoc-acdm,9,12,Married-civ-spouse,Never-married,Sales,Adm-clerical,Husband,Husband,White,White,Male,Female,0,0,0,0,30,32,United-States,United-States,<=50K,<=50K
50,61,Private,?,312477,211392,HS-grad,10th,9,6,Married-civ-spouse,Divorced,Transport-moving,?,Husband,Husband,White,White,Male,Male,0,0,0,0,40,1,United-States,United-States,<=50K,<=50K
20,18,Private,Private,72055,309634,Some-college,Some-college,10,7,Never-married,Never-married,Adm-clerical,Other-service,Not-in-family,Husband,White,White,Female,Female,0,0,0,0,40,21,United-States,United-States,<=50K,<=50K
45,30,Self-emp-inc,Local-gov,67001,126701,Some-college,7th-8th,10,4,Married-civ-spouse,Never-married,Machine-op-inspct,Farming-fishing,Husband,Husband,White,White,Male,Female,0,0,0,0,50,32,United-States,United-States,<=50K,<=50K
23,18,Private,Private,213734,451603,Bachelors,HS-grad,13,9,Never-married,Never-married,Exec-managerial,Sales,Not-in-family,Husband,White,White,Male,Male,0,0,0,0,40,25,United-States,United-States,<=50K,<=50K
24,49,Private,Private,83141,274562,Some-college,Some-college,10,13,Separated,Married-civ-spouse,Other-service,Other-service,Not-in-family,Husband,White,White,Male,Male,0,0,1876,0,40,32,United-States,Cuba,<=50K,<=50K
44,46,Self-emp-inc,Private,223881,53835,HS-grad,HS-grad,9,9,Married-civ-spouse,Separated,Craft-repair,Other-service,Husband,Husband,White,White,Male,Male,99999,0,0,0,50,46,?,United-States,>50K,<=50K
31,55,Self-emp-not-inc,Private,113752,159522,Some-college,HS-grad,10,9,Married-civ-spouse,Never-married,Craft-repair,Sales,Husband,Husband,White,White,Male,Female,0,0,0,0,50,38,United-States,United-States,<=50K,<=50K
43,41,Private,Private,170482,343579,HS-grad,HS-grad,9,9,Separated,Never-married,Machine-op-inspct,Craft-repair,Not-in-family,Husband,White,White,Female,Female,0,14084,0,0,44,34,United-States,United-States,<=50K,>50K
20,62,Federal-gov,Private,244689,341757,11th,HS-grad,7,9,Never-married,Divorced,Other-service,Sales,Own-child,Husband,White,White,Female,Female,0,0,0,0,10,34,United-States,United-States,<=50K,<=50K
55,46,Private,Local-gov,160631,266439,HS-grad,HS-grad,9,9,Married-civ-spouse,Married-spouse-absent,Sales,Protective-serv,Husband,Husband,White,White,Male,Male,0,0,0,0,56,32,United-States,United-States,>50K,>50K
24,32,Federal-gov,Private,228724,201080,Some-college,Masters,10,14,Never-married,Married-civ-spouse,Armed-Forces,Prof-specialty,Not-in-family,Husband,White,White,Male,Male,0,0,0,0,40,41,United-States,United-States,<=50K,<=50K
41,29,?,Private,38434,57674,Masters,9th,14,5,Married-civ-spouse,Never-married,?,Sales,Wife,Husband,White,White,Female,Male,7688,0,0,0,10,34,United-States,United-States,>50K,<=50K
59,40,Private,Federal-gov,292946,410867,Bachelors,Doctorate,13,16,Never-married,Married-civ-spouse,Exec-managerial,?,Not-in-family,Husband,White,White,Female,Female,0,0,0,0,25,42,United-States,United-States,<=50K,>50K
49,53,Federal-gov,Private,77443,247794,7th-8th,Assoc-voc,4,11,Never-married,Never-married,Other-service,Prof-specialty,Not-in-family,Husband,Black,White,Male,Female,0,0,0,0,20,32,United-States,United-States,<=50K,<=50K
33,35,Private,Private,176410,293073,Masters,Some-college,14,10,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Craft-repair,Wife,Husband,White,White,Female,Male,5178,0,0,0,10,38,United-States,United-States,>50K,<=50K
59,28,Federal-gov,Private,98984,214635,Bachelors,Some-college,13,10,Divorced,Separated,Adm-clerical,Machine-op-inspct,Not-in-family,Husband,White,White,Male,Male,0,0,0,0,40,23,United-States,United-States,<=50K,<=50K
34,30,Private,Private,198751,124956,Masters,HS-grad,14,9,Never-married,Never-married,Other-service,Sales,Not-in-family,Husband,Amer-Indian-Eskimo,Asian-Pac-Islander,Male,Male,0,0,0,1408,40,39,United-States,?,<=50K,<=50K
20,33,Private,Local-gov,479296,224207,HS-grad,Assoc-voc,9,13,Never-married,Divorced,Handlers-cleaners,Priv-house-serv,Own-child,Husband,White,White,Male,Female,0,0,0,0,40,32,United-States,United-States,<=50K,>50K
25,28,Private,Local-gov,235218,115585,Bachelors,Some-college,13,10,Never-married,Never-married,Exec-managerial,Handlers-cleaners,Own-child,Husband,White,White,Female,Male,0,0,0,0,40,42,United-States,United-States,<=50K,<=50K
49,45,Private,Private,164877,190895,10th,HS-grad,6,16,Married-civ-spouse,Never-married,Farming-fishing,?,Husband,Husband,White,White,Male,Male,0,0,0,1870,40,48,United-States,United-States,<=50K,>50K
59,35,Private,Private,272087,201481,HS-grad,Some-college,9,10,Married-civ-spouse,Never-married,Transport-moving,Sales,Husband,Husband,White,White,Male,Male,0,0,0,0,40,38,United-States,United-States,>50K,>50K
20,45,Private,Private,169699,171968,HS-grad,Assoc-acdm,9,12,Never-married,Never-married,Adm-clerical,Exec-managerial,Not-in-family,Husband,White,White,Female,Male,0,0,0,0,40,38,United-States,England,<=50K,<=50K
51,37,?,Federal-gov,189762,247794,Some-college,HS-grad,10,9,Married-civ-spouse,Never-married,?,Other-service,Wife,Husband,White,Black,Female,Male,0,0,0,0,18,39,United-States,United-States,<=50K,<=50K
33,70,Private,Private,202191,124956,Some-college,Some-college,10,14,Never-married,Never-married,Adm-clerical,Other-service,Unmarried,Husband,Black,White,Female,Female,0,0,0,0,35,32,United-States,United-States,<=50K,>50K
22,41,Private,Private,212261,197618,Some-college,HS-grad,10,13,Never-married,Never-married,Transport-moving,Exec-managerial,Own-child,Husband,Black,White,Male,Male,0,15024,0,0,39,48,United-States,United-States,<=50K,>50K
58,44,Self-emp-not-inc,Self-emp-not-inc,301568,149116,9th,Bachelors,5,14,Widowed,Never-married,Other-service,Exec-managerial,Not-in-family,Husband,White,White,Female,Female,0,0,0,0,40,42,United-States,United-States,<=50K,<=50K
52,21,Local-gov,Private,155233,183887,HS-grad,Masters,9,10,Widowed,Divorced,Adm-clerical,Tech-support,Unmarried,Husband,White,White,Female,Female,0,0,0,0,28,39,United-States,United-States,<=50K,<=50K
36,28,Private,Private,75826,104719,10th,HS-grad,6,9,Separated,Never-married,Machine-op-inspct,Craft-repair,Not-in-family,Husband,White,White,Female,Male,0,0,0,0,40,34,United-States,United-States,<=50K,<=50K
41,30,Local-gov,Self-emp-inc,201520,316043,HS-grad,HS-grad,9,9,Married-civ-spouse,Never-married,Protective-serv,Craft-repair,Husband,Husband,White,White,Male,Male,0,9562,0,0,40,32,United-States,United-States,<=50K,>50K
28,17,Private,Self-emp-not-inc,154236,304651,HS-grad,Masters,9,6,Never-married,Never-married,Transport-moving,Exec-managerial,Own-child,Husband,White,White,Male,Female,2597,25124,0,0,40,32,United-States,United-States,<=50K,<=50K
