age,age_nosex,workclass,workclass_nosex,fnlwgt,fnlwgt_nosex,education,education_nosex,education_num,education_num_nosex,marital_status,marital_status_nosex,occupation,occupation_nosex,relationship,relationship_nosex,race,race_nosex,sex,sex_nosex,capital_gain,capital_gain_nosex,capital_loss,capital_loss_nosex,hours_per_week,hours_per_week_nosex,native_country,native_country_nosex,income_per_year,income_per_year_nosex
25,age,Private,workclass,226802,fnlwgt,11th,education,7,education-num,Never-married,marital-status,Machine-op-inspct,occupation,Own-child,relationship,Black,race,Male,sex,0,capital-gain,0,capital-loss,40,hours-per-week,United-States,native-country,<=50K,income-per-year
38,39,Private,State-gov,89814,76720,HS-grad,Bachelors,9,13,Married-civ-spouse,Never-married,Farming-fishing,Adm-clerical,Husband,Not-in-family,White,White,Male,Male,0,2105,0,0,50,35,United-States,United-States,<=50K,<=50K
28,50,Local-gov,Self-emp-not-inc,336951,82906,Assoc-acdm,Bachelors,12,13,Married-civ-spouse,Married-civ-spouse,Protective-serv,Exec-managerial,Husband,Not-in-family,White,White,Male,Male,0,0,0,0,40,11,United-States,United-States,>50K,<=50K
44,38,Private,Private,160323,202721,Some-college,HS-grad,10,9,Married-civ-spouse,Divorced,Machine-op-inspct,Handlers-cleaners,Husband,Not-in-family,Black,White,Male,Male,7688,0,0,0,40,35,United-States,United-States,>50K,<=50K
18,53,?,Private,103497,218357,Some-college,11th,10,7,Never-married,Married-civ-spouse,?,Sales,Own-child,Own-child,White,Black,Female,Male,0,0,0,0,30,35,United-States,United-States,<=50K,<=50K
34,28,Private,Private,198693,338409,10th,Bachelors,6,13,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Unmarried,White,White,Male,Male,0,0,0,0,30,40,United-States,Cuba,<=50K,<=50K
29,37,?,Private,227026,284582,HS-grad,Masters,9,14,Never-married,Married-civ-spouse,?,Exec-managerial,Unmarried,Not-in-family,Black,White,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
63,49,Self-emp-not-inc,Private,104626,160187,Prof-school,9th,15,5,Married-civ-spouse,Never-married,Prof-specialty,Other-service,Husband,Not-in-family,White,White,Male,Male,3103,0,0,0,32,16,United-States,United-States,>50K,<=50K
24,52,Private,Self-emp-not-inc,369667,198388,Some-college,HS-grad,10,9,Never-married,Never-married,Other-service,Exec-managerial,Unmarried,Not-in-family,White,White,Female,Male,0,0,0,0,40,39,United-States,United-States,<=50K,>50K
55,31,Private,Private,104996,45781,7th-8th,Masters,4,14,Married-civ-spouse,Never-married,Craft-repair,Other-service,Husband,Not-in-family,White,White,Male,Male,0,14084,0,0,10,50,United-States,United-States,<=50K,>50K
65,42,Private,Private,184454,153167,HS-grad,Bachelors,9,13,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Exec-managerial,Husband,Own-child,White,White,Male,Male,6418,5060,0,0,40,35,United-States,United-States,>50K,>50K
36,37,Federal-gov,Private,212465,261714,Bachelors,Some-college,13,10,Married-civ-spouse,Never-married,Adm-clerical,Exec-managerial,Husband,Own-child,White,Black,Male,Male,0,0,0,0,40,68,United-States,United-States,<=50K,>50K
26,30,Private,State-gov,82091,136823,HS-grad,Bachelors,9,13,Never-married,Never-married,Adm-clerical,Prof-specialty,Not-in-family,Not-in-family,White,Asian-Pac-Islander,Female,Male,0,0,0,0,39,35,United-States,United-States,<=50K,>50K
58,23,?,Private,299831,122272,HS-grad,Bachelors,9,13,Married-civ-spouse,Divorced,?,Adm-clerical,Husband,Own-child,White,White,Male,Male,0,0,0,0,35,30,United-States,United-States,<=50K,<=50K
48,32,Private,Private,279724,195199,HS-grad,Assoc-acdm,9,12,Married-civ-spouse,Never-married,Machine-op-inspct,Sales,Husband,Not-in-family,White,Black,Male,Male,3103,0,0,0,48,43,United-States,United-States,>50K,<=50K
43,40,Private,Private,346189,118909,Masters,Assoc-voc,14,11,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Prof-specialty,Husband,Own-child,White,Asian-Pac-Islander,Male,Male,0,0,0,0,50,35,United-States,?,>50K,>50K
20,34,State-gov,Private,444554,228306,Some-college,7th-8th,10,4,Never-married,Never-married,Other-service,Tech-support,Own-child,Own-child,White,Amer-Indian-Eskimo,Male,Male,0,0,0,0,25,39,United-States,Mexico,<=50K,<=50K
43,25,Private,Private,128354,170183,HS-grad,HS-grad,9,9,Married-civ-spouse,Never-married,Adm-clerical,Machine-op-inspct,Wife,Own-child,White,White,Female,Male,0,0,0,0,30,30,United-States,United-States,<=50K,<=50K
37,32,Private,Private,60548,179358,HS-grad,HS-grad,9,9,Widowed,Never-married,Machine-op-inspct,Prof-specialty,Unmarried,Unmarried,White,White,Female,Male,0,0,0,0,20,35,United-States,United-States,<=50K,<=50K
40,38,Private,Private,85019,27073,Doctorate,11th,16,7,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Sales,Husband,Not-in-family,Asian-Pac-Islander,White,Male,Male,0,0,0,0,45,43,?,United-States,>50K,<=50K
34,43,Private,Self-emp-not-inc,107914,292175,Bachelors,Masters,13,14,Married-civ-spouse,Never-married,Tech-support,Exec-managerial,Husband,Unmarried,White,White,Male,Male,0,0,0,0,47,45,United-States,United-States,>50K,>50K
34,40,Private,Private,238588,185590,Some-college,Doctorate,10,16,Never-married,Never-married,Other-service,Prof-specialty,Own-child,Not-in-family,Black,White,Female,Male,0,0,0,0,35,52,United-States,United-States,<=50K,>50K
72,54,?,Private,132015,302146,7th-8th,HS-grad,4,9,Divorced,Never-married,?,Machine-op-inspct,Not-in-family,Own-child,White,White,Female,Male,0,0,0,0,6,20,United-States,United-States,<=50K,<=50K
25,35,Private,Federal-gov,220931,75885,Bachelors,9th,13,5,Never-married,Married-civ-spouse,Prof-specialty,Transport-moving,Not-in-family,Own-child,White,Black,Male,Male,0,0,0,0,43,35,Peru,United-States,<=50K,<=50K
25,43,Private,Private,205947,114401,Bachelors,11th,13,7,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Exec-managerial,Husband,Not-in-family,White,White,Male,Male,0,0,0,2001,40,35,United-States,United-States,<=50K,<=50K
45,59,Self-emp-not-inc,Private,432824,109015,HS-grad,HS-grad,9,9,Married-civ-spouse,Divorced,Craft-repair,Tech-support,Husband,Not-in-family,White,White,Male,Male,7298,0,0,0,90,40,United-States,United-States,>50K,<=50K
22,56,Private,Local-gov,236427,203777,HS-grad,Bachelors,9,13,Never-married,Married-civ-spouse,Adm-clerical,Tech-support,Own-child,Not-in-family,White,White,Male,Male,0,0,0,0,20,35,United-States,United-States,<=50K,>50K
23,19,Private,Private,134446,162184,HS-grad,HS-grad,9,9,Separated,Never-married,Machine-op-inspct,Craft-repair,Unmarried,Own-child,Black,White,Male,Male,0,0,0,0,54,35,United-States,United-States,<=50K,<=50K
54,54,Private,?,99516,173585,HS-grad,Some-college,9,10,Married-civ-spouse,Never-married,Craft-repair,?,Husband,Unmarried,White,Asian-Pac-Islander,Male,Male,0,0,0,0,35,52,United-States,South,<=50K,>50K
32,39,Self-emp-not-inc,Private,109282,347088,Some-college,HS-grad,10,9,Never-married,Divorced,Prof-specialty,Sales,Not-in-family,Not-in-family,White,White,Male,Male,0,0,0,0,60,68,United-States,United-States,<=50K,<=50K
46,49,State-gov,Private,106444,185537,Some-college,HS-grad,10,9,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Other-service,Husband,Other-relative,Black,White,Male,Male,7688,0,0,0,38,35,United-States,United-States,>50K,<=50K
56,23,Self-emp-not-inc,Local-gov,186651,183125,11th,Assoc-acdm,7,12,Widowed,Never-married,Other-service,Protective-serv,Unmarried,Not-in-family,White,White,Female,Male,0,0,0,0,50,45,United-States,United-States,<=50K,<=50K
24,20,Self-emp-not-inc,Private,188274,247119,Bachelors,Some-college,13,10,Never-married,Never-married,Sales,Sales,Not-in-family,Own-child,White,Black,Male,Male,0,0,0,0,50,38,United-States,United-States,<=50K,<=50K
23,45,Local-gov,Private,258120,363087,Some-college,Bachelors,10,13,Married-civ-spouse,Divorced,Protective-serv,Exec-managerial,Husband,Own-child,White,White,Male,Male,0,0,0,1258,40,35,United-States,United-States,<=50K,<=50K
26,30,Private,Federal-gov,43311,59202,HS-grad,Some-college,9,10,Divorced,Married-civ-spouse,Exec-managerial,Adm-clerical,Unmarried,Own-child,White,White,Female,Male,0,0,0,0,40,35,United-States,United-States,<=50K,<=50K
65,22,?,State-gov,191846,290624,HS-grad,Some-college,9,10,Married-civ-spouse,Married-civ-spouse,?,Other-service,Husband,Own-child,White,Black,Male,Male,0,0,0,0,40,13,United-States,United-States,<=50K,<=50K
36,48,Local-gov,Private,403681,225365,Bachelors,11th,13,7,Married-civ-spouse,Never-married,Prof-specialty,Machine-op-inspct,Husband,Unmarried,White,White,Male,Male,0,0,0,0,40,35,United-States,Puerto-Rico,>50K,<=50K
22,21,Private,Private,248446,188569,5th-6th,Some-college,3,10,Never-married,Never-married,Priv-house-serv,Prof-specialty,Not-in-family,Own-child,White,White,Male,Male,0,0,0,0,50,35,Guatemala,United-States,<=50K,<=50K
17,19,Private,Private,269430,544091,10th,HS-grad,6,9,Never-married,Never-married,Machine-op-inspct,Other-service,Not-in-family,Not-in-family,White,White,Male,Male,0,0,0,0,40,25,United-States,United-States,<=50K,<=50K
20,31,Private,Private,257509,83783,HS-grad,Some-college,9,10,Never-married,Never-married,Craft-repair,Sales,Own-child,Other-relative,White,White,Male,Male,0,0,0,0,40,33,United-States,?,<=50K,>50K
65,48,Private,Private,136384,246367,Masters,Assoc-acdm,14,12,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Prof-specialty,Husband,Not-in-family,White,White,Male,Male,0,0,0,0,50,35,United-States,United-States,>50K,<=50K
44,31,Self-emp-inc,Private,120277,481096,Assoc-voc,9th,11,5,Married-civ-spouse,Married-civ-spouse,Sales,Machine-op-inspct,Husband,Not-in-family,White,White,Male,Male,0,0,0,0,45,37,United-States,United-States,>50K,<=50K
36,53,Private,Private,465326,86805,HS-grad,Bachelors,9,13,Married-civ-spouse,Married-civ-spouse,Farming-fishing,Prof-specialty,Husband,Not-in-family,White,White,Male,Male,0,0,0,0,40,35,United-States,United-States,<=50K,<=50K
29,24,Private,Private,103634,166509,11th,Bachelors,7,13,Married-civ-spouse,Married-civ-spouse,Other-service,Tech-support,Husband,Own-child,White,White,Male,Male,0,0,0,0,40,43,United-States,United-States,<=50K,<=50K
20,49,State-gov,Private,138371,94638,Some-college,HS-grad,10,9,Never-married,Separated,Farming-fishing,Adm-clerical,Own-child,Unmarried,White,White,Male,Male,0,0,0,0,32,40,United-States,United-States,<=50K,<=50K
28,25,Private,Private,242832,270131,Assoc-voc,HS-grad,11,9,Married-civ-spouse,Never-married,Prof-specialty,Craft-repair,Wife,Not-in-family,White,White,Female,Male,0,0,0,0,36,30,United-States,United-States,>50K,<=50K
39,57,Private,Federal-gov,290208,317396,7th-8th,Bachelors,4,13,Married-civ-spouse,Never-married,Craft-repair,Prof-specialty,Husband,Not-in-family,White,Black,Male,Male,0,0,0,0,40,35,Mexico,United-States,<=50K,>50K
54,53,Private,Private,186272,139770,Some-college,HS-grad,10,9,Married-civ-spouse,Widowed,Transport-moving,Machine-op-inspct,Husband,Not-in-family,White,White,Male,Male,3908,0,0,0,50,33,United-States,United-States,<=50K,<=50K
52,44,Private,Local-gov,201062,128354,11th,Masters,7,14,Separated,Divorced,Priv-house-serv,Exec-managerial,Not-in-family,Not-in-family,Black,White,Female,Male,0,0,0,0,18,40,United-States,United-States,<=50K,<=50K
56,41,Self-emp-inc,State-gov,131916,99126,HS-grad,Assoc-voc,9,11,Widowed,Married-spouse-absent,Exec-managerial,Tech-support,Not-in-family,Unmarried,White,White,Female,Male,0,0,0,0,50,35,United-States,United-States,<=50K,<=50K
18,29,Private,Private,54440,252202,Some-college,Assoc-voc,10,11,Never-married,Never-married,Other-service,Prof-specialty,Own-child,Not-in-family,White,White,Male,Male,0,0,0,0,20,37,United-States,United-States,<=50K,<=50K
39,25,Private,Private,280215,32275,HS-grad,Some-college,9,10,Divorced,Married-civ-spouse,Handlers-cleaners,Exec-managerial,Own-child,Own-child,Black,Other,Male,Male,0,0,0,0,40,40,United-States,United-States,<=50K,<=50K
21,18,Private,Private,214399,226956,Some-college,HS-grad,10,9,Never-married,Never-married,Other-service,Machine-op-inspct,Own-child,Own-child,White,White,Female,Male,0,0,1721,0,24,30,United-States,?,<=50K,<=50K
22,47,Private,Private,54164,51835,HS-grad,Prof-school,9,15,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Not-in-family,White,White,Male,Male,14084,0,0,1902,60,60,United-States,Honduras,>50K,>50K
38,50,Private,Federal-gov,219446,233993,9th,HS-grad,5,13,Married-spouse-absent,Divorced,Exec-managerial,Prof-specialty,Not-in-family,Not-in-family,White,White,Male,Male,0,0,0,0,54,47,Mexico,United-States,<=50K,>50K
21,47,Private,Private,110677,106812,Some-college,HS-grad,10,9,Never-married,Divorced,Adm-clerical,Exec-managerial,Own-child,Not-in-family,White,White,Female,Male,0,0,0,0,40,52,United-States,United-States,<=50K,<=50K
63,43,Private,Private,145985,221418,HS-grad,Some-college,9,10,Married-civ-spouse,Divorced,Craft-repair,Tech-support,Husband,Not-in-family,White,White,Male,Male,0,0,0,0,40,35,United-States,United-States,<=50K,>50K
34,46,Local-gov,Private,382078,203451,Bachelors,5th-6th,13,3,Married-civ-spouse,Never-married,Exec-managerial,Machine-op-inspct,Husband,Own-child,White,White,Male,Male,3103,0,0,0,50,35,United-States,Mexico,>50K,<=50K
42,35,Self-emp-inc,Private,170721,55567,HS-grad,Assoc-voc,9,11,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Other-service,Husband,Not-in-family,White,White,Male,Male,5178,0,0,0,50,35,United-States,Puerto-Rico,>50K,<=50K
33,41,Private,Private,269705,142426,HS-grad,HS-grad,9,9,Married-civ-spouse,Married-civ-spouse,Handlers-cleaners,Adm-clerical,Husband,Other-relative,White,White,Male,Male,0,0,0,0,40,41,United-States,United-States,<=50K,<=50K
30,30,Private,Private,101135,180837,Bachelors,HS-grad,13,9,Never-married,Never-married,Exec-managerial,Exec-managerial,Not-in-family,Own-child,White,White,Female,Male,0,5013,0,0,50,35,United-States,United-States,<=50K,<=50K
39,30,Private,Private,118429,58930,Some-college,Bachelors,10,13,Divorced,Married-civ-spouse,Sales,Sales,Not-in-family,Not-in-family,White,White,Male,Male,0,2407,0,0,40,35,United-States,United-States,<=50K,<=50K
26,32,Private,?,31208,272986,Masters,Bachelors,14,4,Never-married,Married-spouse-absent,Exec-managerial,?,Not-in-family,Not-in-family,White,White,Female,Male,0,0,0,0,40,35,United-States,?,<=50K,<=50K
33,48,Private,Private,281384,144084,HS-grad,HS-grad,9,9,Never-married,Married-civ-spouse,Machine-op-inspct,?,Own-child,Own-child,White,White,Female,Male,0,0,0,0,40,35,United-States,United-States,<=50K,<=50K
47,42,Local-gov,Private,171807,113866,HS-grad,Doctorate,9,16,Divorced,Divorced,Adm-clerical,Prof-specialty,Not-in-family,Other-relative,White,White,Female,Male,0,0,0,0,40,39,United-States,United-States,<=50K,>50K
