age,age_noworkclass,workclass,workclass_noworkclass,fnlwgt,fnlwgt_noworkclass,education,education_noworkclass,education_num,education_num_noworkclass,marital_status,marital_status_noworkclass,occupation,occupation_noworkclass,relationship,relationship_noworkclass,race,race_noworkclass,sex,sex_noworkclass,capital_gain,capital_gain_noworkclass,capital_loss,capital_loss_noworkclass,hours_per_week,hours_per_week_noworkclass,native_country,native_country_noworkclass,income_per_year,income_per_year_noworkclass
25,age,Private,workclass,226802,fnlwgt,11th,education,7,education-num,Never-married,marital-status,Machine-op-inspct,occupation,Own-child,relationship,Black,race,Male,sex,0,capital-gain,0,capital-loss,40,hours-per-week,United-States,native-country,<=50K,income-per-year
38,36,Private,Private,89814,84390,HS-grad,Bachelors,9,14,Married-civ-spouse,Never-married,Farming-fishing,Adm-clerical,Husband,Not-in-family,White,White,Male,Male,0,3674,0,1741,50,43,United-States,United-States,<=50K,<=50K
28,51,Local-gov,Private,336951,84390,Assoc-acdm,Bachelors,12,14,Married-civ-spouse,Never-married,Protective-serv,Exec-managerial,Husband,Husband,White,White,Male,Male,0,3674,0,1741,40,7,United-States,United-States,>50K,<=50K
44,36,Private,Private,160323,204817,Some-college,Masters,10,10,Married-civ-spouse,Divorced,Machine-op-inspct,Prof-specialty,Husband,Not-in-family,Black,White,Male,Male,7688,3674,0,1741,40,34,United-States,United-States,>50K,<=50K
18,51,?,Private,103497,235521,Some-college,11th,10,6,Never-married,Married-civ-spouse,?,Craft-repair,Own-child,Husband,White,Black,Female,Male,0,3674,0,1741,30,34,United-States,United-States,<=50K,<=50K
34,23,Private,Private,198693,288825,10th,Bachelors,6,14,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Wife,White,Black,Male,Male,0,3674,0,1741,30,34,United-States,?,<=50K,<=50K
29,36,?,Private,227026,288825,HS-grad,Masters,9,14,Never-married,Married-civ-spouse,?,Exec-managerial,Unmarried,Wife,Black,Black,Male,Female,0,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
63,51,Self-emp-not-inc,Private,104626,137733,Prof-school,9th,15,6,Married-civ-spouse,Married-spouse-absent,Prof-specialty,Prof-specialty,Husband,Not-in-family,White,Black,Male,Female,3103,3674,0,1741,32,7,United-States,United-States,>50K,<=50K
24,51,Private,Private,369667,204817,Some-college,HS-grad,10,10,Never-married,Never-married,Other-service,Exec-managerial,Unmarried,Husband,White,White,Female,Male,0,3674,0,1741,40,34,United-States,United-States,<=50K,>50K
55,23,Private,Private,104996,35603,7th-8th,Masters,4,14,Married-civ-spouse,Never-married,Craft-repair,Prof-specialty,Husband,Not-in-family,White,Asian-Pac-Islander,Male,Female,0,3674,0,1741,10,43,United-States,United-States,<=50K,>50K
65,36,Private,Private,184454,137733,HS-grad,Bachelors,9,14,Married-civ-spouse,Married-civ-spouse,Machine-op-inspct,Exec-managerial,Husband,Husband,White,White,Male,Male,6418,3674,0,1741,40,34,United-States,United-States,>50K,>50K
36,36,Federal-gov,Private,212465,288825,Bachelors,Some-college,13,10,Married-civ-spouse,Married-civ-spouse,Adm-clerical,Exec-managerial,Husband,Husband,White,Black,Male,Male,0,3674,0,1741,40,55,United-States,United-States,<=50K,>50K
26,36,Private,Private,82091,137733,HS-grad,Bachelors,9,14,Never-married,Married-civ-spouse,Adm-clerical,Prof-specialty,Not-in-family,Husband,White,Asian-Pac-Islander,Female,Male,0,3674,0,1741,39,43,United-States,Trinadad&Tobago,<=50K,>50K
58,23,?,Private,299831,116080,HS-grad,Bachelors,9,14,Married-civ-spouse,Never-married,?,Adm-clerical,Husband,Husband,White,White,Male,Female,0,3674,0,1741,35,20,United-States,United-States,<=50K,<=50K
48,36,Private,Private,279724,204817,HS-grad,Assoc-acdm,9,10,Married-civ-spouse,Never-married,Machine-op-inspct,Other-service,Husband,Not-in-family,White,Black,Male,Male,3103,3674,0,1741,48,43,United-States,United-States,>50K,<=50K
43,36,Private,Private,346189,116080,Masters,Assoc-voc,14,10,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Craft-repair,Husband,Husband,White,Asian-Pac-Islander,Male,Male,0,3674,0,1741,50,34,United-States,?,>50K,>50K
20,36,State-gov,Private,444554,235521,Some-college,7th-8th,10,2,Never-married,Married-civ-spouse,Other-service,Transport-moving,Own-child,Husband,White,Amer-Indian-Eskimo,Male,Male,0,3674,0,1741,25,34,United-States,United-States,<=50K,<=50K
43,23,Private,Private,128354,185616,HS-grad,HS-grad,9,10,Married-civ-spouse,Never-married,Adm-clerical,Other-service,Wife,Own-child,White,White,Female,Female,0,3674,0,1741,30,34,United-States,United-States,<=50K,<=50K
37,36,Private,Private,60548,185616,HS-grad,HS-grad,9,10,Widowed,Never-married,Machine-op-inspct,Farming-fishing,Unmarried,Unmarried,White,White,Female,Male,0,3674,0,1741,20,34,United-States,United-States,<=50K,<=50K
40,36,Private,Private,85019,35603,Doctorate,HS-grad,16,6,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Adm-clerical,Husband,Husband,Asian-Pac-Islander,White,Male,Male,0,3674,0,1741,45,43,?,United-States,>50K,<=50K
34,36,Private,Private,107914,288825,Bachelors,Masters,13,14,Married-civ-spouse,Divorced,Tech-support,Exec-managerial,Husband,Unmarried,White,White,Male,Female,0,3674,0,1741,47,34,United-States,United-States,>50K,>50K
34,36,Private,Private,238588,185616,Some-college,Doctorate,10,14,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Own-child,Husband,Black,White,Female,Male,0,3674,0,1741,35,43,United-States,United-States,<=50K,>50K
72,51,?,Private,132015,288825,7th-8th,HS-grad,4,10,Divorced,Separated,?,Prof-specialty,Not-in-family,Unmarried,White,Black,Female,Female,0,3674,0,1741,6,20,United-States,United-States,<=50K,<=50K
25,36,Private,Private,220931,116080,Bachelors,9th,13,2,Never-married,Married-civ-spouse,Prof-specialty,Farming-fishing,Not-in-family,Husband,White,White,Male,Male,0,3674,0,1741,43,43,Peru,United-States,<=50K,<=50K
25,36,Private,Private,205947,116080,Bachelors,Some-college,13,6,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Exec-managerial,Husband,Husband,White,White,Male,Male,0,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
45,51,Self-emp-not-inc,Private,432824,116080,HS-grad,HS-grad,9,10,Married-civ-spouse,Married-civ-spouse,Craft-repair,Farming-fishing,Husband,Unmarried,White,White,Male,Female,7298,3674,0,1741,90,34,United-States,United-States,>50K,<=50K
22,51,Private,Private,236427,204817,HS-grad,Some-college,9,14,Never-married,Married-civ-spouse,Adm-clerical,Tech-support,Own-child,Husband,White,White,Male,Male,0,3674,0,1741,20,34,United-States,United-States,<=50K,>50K
23,23,Private,Private,134446,160703,HS-grad,Prof-school,9,10,Separated,Married-civ-spouse,Machine-op-inspct,Other-service,Unmarried,Own-child,Black,White,Male,Male,0,3674,0,1741,54,34,United-States,United-States,<=50K,<=50K
54,51,Private,Private,99516,185616,HS-grad,Some-college,9,10,Married-civ-spouse,Married-civ-spouse,Craft-repair,Prof-specialty,Husband,Husband,White,Asian-Pac-Islander,Male,Male,0,3674,0,1741,35,75,United-States,United-States,<=50K,>50K
32,36,Self-emp-not-inc,Private,109282,379885,Some-college,HS-grad,10,10,Never-married,Divorced,Prof-specialty,Exec-managerial,Not-in-family,Not-in-family,White,White,Male,Male,0,3674,0,1741,60,55,United-States,United-States,<=50K,<=50K
46,51,State-gov,Private,106444,185616,Some-college,HS-grad,10,10,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Adm-clerical,Husband,Husband,Black,White,Male,Male,7688,3674,0,1741,38,34,United-States,United-States,>50K,<=50K
56,23,Self-emp-not-inc,Private,186651,185616,11th,Assoc-acdm,7,10,Widowed,Never-married,Other-service,Other-service,Unmarried,Not-in-family,White,White,Female,Male,0,3674,0,1741,50,43,United-States,United-States,<=50K,<=50K
24,23,Self-emp-not-inc,Private,188274,235521,Bachelors,HS-grad,13,10,Never-married,Never-married,Sales,Prof-specialty,Not-in-family,Own-child,White,Black,Male,Male,0,3674,0,1741,50,34,United-States,United-States,<=50K,<=50K
23,36,Local-gov,Private,258120,379885,Some-college,Bachelors,10,14,Married-civ-spouse,Divorced,Protective-serv,Exec-managerial,Husband,Husband,White,White,Male,Male,0,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
26,36,Private,Private,43311,84390,HS-grad,12th,9,10,Divorced,Married-civ-spouse,Exec-managerial,Exec-managerial,Unmarried,Own-child,White,White,Female,Male,0,3674,0,1741,40,43,United-States,United-States,<=50K,<=50K
65,23,?,Private,191846,288825,HS-grad,Some-college,9,10,Married-civ-spouse,Married-civ-spouse,?,Craft-repair,Husband,Husband,White,Black,Male,Male,0,3674,0,1741,40,20,United-States,United-States,<=50K,<=50K
36,51,Local-gov,Private,403681,235521,Bachelors,Bachelors,13,6,Married-civ-spouse,Never-married,Prof-specialty,Prof-specialty,Husband,Own-child,White,White,Male,Male,0,3674,0,1741,40,34,United-States,United-States,>50K,<=50K
22,23,Private,Private,248446,185616,5th-6th,Some-college,3,10,Never-married,Married-civ-spouse,Priv-house-serv,Machine-op-inspct,Not-in-family,Own-child,White,White,Male,Male,0,3674,0,1741,50,34,Guatemala,United-States,<=50K,<=50K
17,23,Private,Private,269430,379885,10th,HS-grad,6,10,Never-married,Married-AF-spouse,Machine-op-inspct,Adm-clerical,Not-in-family,Wife,White,White,Male,Female,0,3674,0,1741,40,20,United-States,United-States,<=50K,<=50K
20,23,Private,Private,257509,84390,HS-grad,Some-college,9,10,Never-married,Married-civ-spouse,Craft-repair,Transport-moving,Own-child,Husband,White,White,Male,Male,0,3674,0,1741,40,34,United-States,?,<=50K,>50K
65,51,Private,Private,136384,288825,Masters,Assoc-acdm,14,10,Married-civ-spouse,Married-civ-spouse,Prof-specialty,Prof-specialty,Husband,Husband,White,White,Male,Male,0,3674,0,1741,50,34,United-States,United-States,>50K,<=50K
44,23,Self-emp-inc,Private,120277,379885,Assoc-voc,Prof-school,11,6,Married-civ-spouse,Married-civ-spouse,Sales,Transport-moving,Husband,Husband,White,White,Male,Male,0,3674,0,1741,45,34,United-States,United-States,>50K,<=50K
36,51,Private,Private,465326,84390,HS-grad,Bachelors,9,14,Married-civ-spouse,Married-civ-spouse,Farming-fishing,Prof-specialty,Husband,Husband,White,White,Male,Male,0,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
29,23,Private,Private,103634,160703,11th,Bachelors,7,14,Married-civ-spouse,Married-civ-spouse,Other-service,Prof-specialty,Husband,Husband,White,White,Male,Male,0,3674,0,1741,40,43,United-States,United-States,<=50K,<=50K
20,51,State-gov,Private,138371,84390,Some-college,HS-grad,10,10,Never-married,Separated,Farming-fishing,Adm-clerical,Own-child,Unmarried,White,White,Male,Female,0,3674,0,1741,32,34,United-States,United-States,<=50K,<=50K
28,23,Private,Private,242832,288825,Assoc-voc,HS-grad,11,10,Married-civ-spouse,Never-married,Prof-specialty,Farming-fishing,Wife,Not-in-family,White,White,Female,Male,0,3674,0,1741,36,34,United-States,United-States,>50K,<=50K
39,64,Private,Private,290208,288825,7th-8th,Some-college,4,14,Married-civ-spouse,Married-civ-spouse,Craft-repair,Exec-managerial,Husband,Husband,White,Black,Male,Male,0,3674,0,1741,40,43,Mexico,United-States,<=50K,>50K
54,51,Private,Private,186272,137733,Some-college,HS-grad,10,10,Married-civ-spouse,Married-civ-spouse,Transport-moving,Prof-specialty,Husband,Husband,White,White,Male,Male,3908,3674,0,1741,50,34,United-States,United-States,<=50K,<=50K
52,36,Private,Private,201062,116080,11th,Masters,7,14,Separated,Divorced,Priv-house-serv,Exec-managerial,Not-in-family,Unmarried,Black,White,Female,Female,0,3674,0,1741,18,34,United-States,United-States,<=50K,<=50K
56,51,Self-emp-inc,Private,131916,116080,HS-grad,Assoc-voc,9,10,Widowed,Married-civ-spouse,Exec-managerial,Craft-repair,Not-in-family,Husband,White,White,Female,Male,0,3674,0,1741,50,43,United-States,United-States,<=50K,<=50K
18,23,Private,Private,54440,235521,Some-college,Assoc-voc,10,10,Never-married,Never-married,Other-service,Prof-specialty,Own-child,Not-in-family,White,White,Male,Male,0,3674,0,1741,20,34,United-States,United-States,<=50K,<=50K
39,23,Private,Private,280215,35603,HS-grad,Some-college,9,10,Divorced,Married-civ-spouse,Handlers-cleaners,Exec-managerial,Own-child,Wife,Black,Other,Male,Female,0,3674,0,1741,40,34,United-States,United-States,<=50K,<=50K
21,23,Private,Private,214399,204817,Some-college,Some-college,10,10,Never-married,Divorced,Other-service,Other-service,Own-child,Husband,White,White,Female,Female,0,3674,1721,1741,24,20,United-States,?,<=50K,<=50K
22,51,Private,Private,54164,35603,HS-grad,Prof-school,9,14,Never-married,Married-civ-spouse,Other-service,Prof-specialty,Not-in-family,Wife,White,White,Male,Female,14084,3674,0,1741,60,43,United-States,United-States,>50K,>50K
38,51,Private,Private,219446,235521,9th,Bachelors,5,14,Married-spouse-absent,Married-spouse-absent,Exec-managerial,Exec-managerial,Not-in-family,Not-in-family,White,White,Male,Male,0,3674,0,1741,54,55,Mexico,United-States,<=50K,>50K
21,51,Private,Private,110677,116080,Some-college,HS-grad,10,6,Never-married,Divorced,Adm-clerical,Exec-managerial,Own-child,Not-in-family,White,White,Female,Male,0,3674,0,1741,40,43,United-States,United-States,<=50K,<=50K
63,36,Private,Private,145985,235521,HS-grad,Some-college,9,10,Married-civ-spouse,Married-civ-spouse,Craft-repair,Tech-support,Husband,Husband,White,White,Male,Male,0,3674,0,1741,40,34,United-States,United-States,<=50K,>50K
34,36,Local-gov,Private,382078,204817,Bachelors,HS-grad,13,2,Married-civ-spouse,Married-civ-spouse,Exec-managerial,Machine-op-inspct,Husband,Husband,White,White,Male,Male,3103,3674,0,1741,50,34,United-States,United-States,>50K,<=50K
