group,Education,Years,Warnings,Bonus
BF,Highschool,>6,high,no
BM,Masters,<3,high,yes
BF,Bachelors,>6,low,no
WM,Masters,<3,low,no
WM,Bachelors,3-6,low,no
WM,Masters,>6,low,no
BF,Bachelors,<3,low,no
BM,Bachelors,3-6,medium,yes
BF,Masters,<3,low,no
WF,Bachelors,3-6,medium,yes
WM,Bachelors,>6,high,no
WF,Bachelors,3-6,high,no
BF,Highschool,3-6,high,yes
WF,Bachelors,3-6,low,no
BF,Masters,<3,low,yes
BM,Bachelors,>6,medium,yes
BM,Bachelors,>6,medium,no
WM,Masters,3-6,low,no
BF,Masters,3-6,low,no
WF,Masters,>6,medium,yes
WF,Bachelors,<3,low,no
BM,Bachelors,>6,medium,no
BM,Highschool,>6,low,no
BF,Bachelors,3-6,low,no
BM,Highschool,>6,high,no
BM,Bachelors,3-6,high,yes
WF,Bachelors,>6,high,no
WM,Bachelors,3-6,medium,no
WF,Masters,3-6,low,no
BM,Bachelors,>6,medium,no
WF,Masters,3-6,low,no
WF,Masters,3-6,high,yes
WM,Highschool,<3,low,no
BM,Highschool,<3,high,yes
WF,Masters,>6,medium,no
WF,Bachelors,<3,high,no
BF,Masters,<3,low,no
WF,Highschool,<3,low,no
WF,Bachelors,>6,high,no
WF,Highschool,3-6,high,no
WF,Highschool,3-6,medium,yes
BM,Bachelors,3-6,low,no
WM,Masters,<3,low,no
BM,Highschool,<3,high,no
BM,Masters,<3,low,yes
BF,Bachelors,<3,high,yes
WM,Highschool,>6,high,no
BM,Bachelors,3-6,high,no
BF,Masters,>6,low,no
WF,Masters,3-6,high,yes
BM,Bachelors,>6,low,no
WM,Highschool,<3,high,yes
WM,Highschool,<3,low,no
WM,Masters,>6,low,no
WF,Bachelors,>6,medium,no
BF,Highschool,<3,high,no
WM,Highschool,<3,medium,yes
BM,Highschool,<3,high,no
BM,Bachelors,>6,low,no
BF,Masters,<3,high,no
BM,Masters,3-6,high,no
BM,Bachelors,3-6,low,no
BM,Highschool,3-6,high,no
WF,Highschool,>6,high,no
WM,Masters,3-6,high,yes
WF,Bachelors,>6,high,no
BM,Highschool,>6,medium,no
BF,Highschool,<3,medium,no
WM,Masters,>6,medium,no
WM,Highschool,<3,low,yes
BM,Bachelors,3-6,low,no
WM,Bachelors,<3,medium,no
BF,Highschool,3-6,low,no
WF,Masters,<3,low,yes
WF,Masters,<3,medium,yes
WM,Bachelors,<3,high,no
BM,Bachelors,3-6,low,yes
BF,Highschool,>6,low,no
WM,Masters,>6,medium,no
WF,Highschool,<3,medium,no
BF,Masters,>6,high,yes
BM,Highschool,3-6,low,yes
BF,Highschool,3-6,medium,no
BF,Masters,3-6,high,no
BM,Masters,>6,high,yes
BM,Bachelors,<3,low,yes
BF,Masters,>6,high,no
WF,Masters,3-6,low,no
BF,Bachelors,<3,medium,no
BF,Highschool,>6,low,no
BM,Bachelors,<3,medium,no
BM,Masters,>6,high,no
BF,Bachelors,<3,medium,yes
