sex,sex_norace,age,age_norace,age_cat,age_cat_norace,race,race_norace,juv_fel_count,juv_fel_count_norace,juv_misd_count,juv_misd_count_norace,juv_other_count,juv_other_count_norace,priors_count,priors_count_norace,c_charge_degree,c_charge_degree_norace,c_charge_desc,c_charge_desc_norace,decile_score,decile_score_norace,score_text,score_text_norace
Male,Male,69,67,Greater than 45,Greater than 45,Other,African-American,0,1,0,0,0,1,0,1,F,F,Aggravated Assault w/Firearm,arrest case no charge,1,1,Low,High
Male,Male,34,32,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,0,1,F,F,Felony Battery w/Prior Convict,Agg Battery Grt/Bod/Harm,3,3,Low,Low
Male,Male,24,26,Less than 25,Less than 25,African-American,African-American,0,1,0,0,1,1,4,1,F,F,Possession of Cocaine,Possession of Cocaine,4,4,Medium,Low
Male,Male,41,37,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,14,8,F,F,Possession Burglary Tools,Possession Burglary Tools,6,6,High,Medium
Male,Male,43,42,25 - 45,25 - 45,Other,African-American,0,1,0,0,0,1,3,4,F,F,arrest case no charge,arrest case no charge,4,4,Low,Low
Female,Female,39,37,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,0,1,M,M,Battery,Battery,1,1,Low,Low
Male,Male,27,26,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,0,1,F,F,"Poss 3,4 MDMA (Ecstasy)",Grand Theft in the 3rd Degree,4,4,Low,Low
Male,Male,23,20,Less than 25,Less than 25,African-American,African-American,0,1,0,0,0,1,3,1,M,M,Battery,Battery,6,6,Medium,Medium
Male,Male,41,37,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,1,0,1,F,F,"Poss3,4 Methylenedioxymethcath",Battery,4,4,Low,Low
Male,Male,31,32,25 - 45,Greater than 45,African-American,African-American,0,1,0,0,0,1,7,1,F,F,Felony Driving While Lic Suspd,Battery,3,3,Medium,Low
Male,Male,37,37,25 - 45,25 - 45,Hispanic,African-American,0,1,0,0,0,1,0,1,M,F,Battery,Battery,1,1,Low,Low
Male,Male,31,26,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,6,4,F,F,Driving While License Revoked,Driving While License Revoked,5,4,Medium,High
Male,Male,31,26,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,5,1,F,F,Possession Of Heroin,"Poss3,4 Methylenedioxymethcath",3,3,Medium,Low
Male,Male,64,58,Greater than 45,Greater than 45,African-American,African-American,0,1,0,0,0,1,13,4,F,F,arrest case no charge,arrest case no charge,6,6,Medium,Low
Male,Male,21,20,Less than 25,Less than 25,African-American,African-American,0,1,0,0,0,1,1,1,F,F,Battery on Law Enforc Officer,Battery,9,9,Medium,Medium
Male,Male,27,26,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,1,0,1,M,M,Possession Of Methamphetamine,Tamper With Witness/Victim/CI,2,1,Low,Low
