Position	Oral	Written	Race	Combine	Class
d	c	d	d	c	d
					class
Captain	89.52	91	W	87.2	1
Captain	78.57	91	W	85.6	1
Captain	79.17	86	W	84.2	1
Captain	87.62	75	W	78.124	1
Captain	73.75	83	W	78.1	1
Captain	77.5	82	H	79.676	1
Captain	73.75	81	W	76.916	1
Captain	70.48	84	H	78.4	1
Captain	73.33	80	W	76.6	1
Captain	82.38	71	W	76.1	1
Captain	87.5	69	W	75.724	1
Captain	78.57	73	W	75.724	1
Captain	80.0	74	H	76.02	1
Captain	73.33	76	W	73.6	1
Captain	73.81	73	W	72.268	1
Captain	82.38	70	B	75.068	1
Captain	71.67	73	W	71.932	1
Captain	69.17	75	W	71.828	1
Captain	68.57	74	B	71.828	1
Captain	79.17	64	W	70.38	1
Captain	56.25	80	W	70.38	1
Captain	70.95	70	B	70.38	1
Captain	60.83	74	W	69.192	0
Captain	76.67	64	W	69.132	0
Captain	70.48	68	W	68.2	0
Captain	70.48	68	W	68.2	0
Captain	58.57	75	W	68.068	0
Captain	62.38	75	H	69.632	0
Captain	56.67	74	W	65.856	0
Captain	52.38	79	B	67.232	0
Captain	67.62	65	H	65.856	0
Captain	55.24	68	W	62.428	0
Captain	60.0	65	H	62.428	0
Captain	48.57	69	W	60.648	0
Captain	67.62	58	B	60.8	0
Captain	58.33	61	H	59.456	0
Captain	70.48	53	B	59.3	0
Captain	44.58	67	H	57.344	0
Captain	53.75	58	W	55.8	0
Captain	60.0	56	B	56.324	0
Captain	54.76	50	B	54.432	0
Lieutenant	88.75	89	W	85.6	1
Lieutenant	85.0	86	W	84.4	1
Lieutenant	74.17	89	W	84.4	1
Lieutenant	84.29	83	W	82.5	1
Lieutenant	78.57	86	W	81.932	1
Lieutenant	71.67	89	W	80.876	1
Lieutenant	79.17	83	W	79.676	1
Lieutenant	71.67	87	W	79.676	1
Lieutenant	62.5	91	W	79.432	1
Lieutenant	67.14	89	W	78.4	1
Lieutenant	68.33	83	W	76.9	1
Lieutenant	71.67	80	W	76.4	1
Lieutenant	58.57	87	W	75.968	1
Captain	76.19	76	B	76.9	1
Lieutenant	61.25	86	B	76.448	1
Lieutenant	80.42	73	B	75.968	1
Lieutenant	73.33	76	W	73.732	1
Lieutenant	62.38	81	W	73.332	1
Lieutenant	85.0	66	W	72.232	1
Lieutenant	65.83	80	B	74.332	1
Lieutenant	76.19	69	W	71.352	1
Lieutenant	70.83	74	B	72.732	1
Lieutenant	65.83	75	W	71.268	1
Lieutenant	92.08	60	B	72.232	1
Lieutenant	70.95	71	W	70.732	1
Lieutenant	71.67	70	W	70.7	1
Lieutenant	55.83	82	H	71.352	1
Lieutenant	69.58	72	H	71.268	1
Lieutenant	63.75	73	W	69.952	1
Lieutenant	57.92	77	W	69.952	1
Lieutenant	54.76	82	W	70.868	1
Lieutenant	74.17	66	W	69.632	1
Lieutenant	71.67	68	W	69.22	1
Lieutenant	70.83	69	W	69.22	1
Lieutenant	63.33	72	W	69.1	0
Lieutenant	71.67	68	H	69.22	0
Lieutenant	71.67	66	W	67.332	0
Lieutenant	58.57	75	W	67.332	0
Lieutenant	51.25	79	W	67.232	0
Lieutenant	63.75	72	H	68.2	0
Lieutenant	51.67	77	W	67.068	0
Lieutenant	70.83	66	W	67.856	0
Lieutenant	63.33	69	W	65.8	0
Lieutenant	78.33	59	W	65.168	0
Lieutenant	57.14	73	W	66.3	0
Lieutenant	55.0	72	W	63.668	0
Lieutenant	66.25	66	B	65.8	0
Lieutenant	50.42	74	W	62.896	0
Lieutenant	58.57	70	H	65.0	0
Lieutenant	69.17	61	B	65.0	0
Lieutenant	52.38	71	H	63.268	0
Lieutenant	70.83	57	W	61.068	0
Lieutenant	51.67	71	H	62.768	0
Lieutenant	55.83	66	W	60.8	0
Lieutenant	56.67	65	B	62.428	0
Lieutenant	56.25	65	B	61.068	0
Lieutenant	44.17	73	H	60.8	0
Lieutenant	52.08	67	H	60.7	0
Lieutenant	55.0	65	B	60.7	0
Lieutenant	50.42	67	W	60.648	0
Lieutenant	49.58	67	W	59.456	0
Lieutenant	58.75	60	W	59.3	0
Lieutenant	49.58	68	H	59.3	0
Lieutenant	60.83	60	B	59.456	0
Lieutenant	57.5	58	W	57.432	0
Lieutenant	51.25	62	W	57.344	0
Lieutenant	44.58	66	W	57.268	0
Lieutenant	45.42	66	W	57.268	0
Lieutenant	45.42	65	W	56.632	0
Lieutenant	55.83	60	B	57.268	0
Lieutenant	53.81	58	W	56.5	0
Lieutenant	58.75	57	B	57.132	0
Lieutenant	42.5	64	H	54.732	0
Lieutenant	52.08	58	W	55.8	0
Lieutenant	50.42	58	H	54.132	0
Lieutenant	52.92	50	B	51.304	0
Lieutenant	45.83	49	B	50.568	0
