Feature_A_(i),Feature_A_(i)-noConstant_Feature,Feature_B_(2i),Feature_B_(2i)-noConstant_Feature,Feature_C_(-i),Feature_C_(-i)-noConstant_Feature,Constant_Feature,Constant_Feature-noConstant_Feature,Random_Feature,Random_Feature-noConstant_Feature,Outcome,Outcome-noConstant_Feature
0,0,0,0,0,0,1,1,0.3581485321045217,0.3581485321045217,A,A
1,1,2,2,-1,-1,1,1,0.8839101610867179,0.8839101610867179,A,A
3,3,6,6,-3,-3,1,1,0.6316865682867979,0.6316865682867979,A,A
5,5,10,10,-5,-5,1,1,0.1179020570763114,0.1179020570763114,A,A
7,7,14,14,-7,-7,1,1,0.7025658670285041,0.7025658670285041,A,A
10,10,20,20,-10,-10,1,1,0.36802664311794664,0.36802664311794664,A,A
11,11,22,22,-11,-11,1,1,0.3360509643974219,0.3360509643974219,A,A
12,12,24,24,-12,-12,1,1,0.7115493583210833,0.7115493583210833,A,A
13,13,26,26,-13,-13,1,1,0.9001961335411152,0.9001961335411152,A,A
14,14,28,28,-14,-14,1,1,0.12983388824365016,0.12983388824365016,A,A
18,18,36,36,-18,-18,1,1,0.5350356937942453,0.5350356937942453,A,A
21,21,42,42,-21,-21,1,1,0.6573315481857762,0.6573315481857762,A,A
22,22,44,44,-22,-22,1,1,0.5982458560217326,0.5982458560217326,A,A
23,23,46,46,-23,-23,1,1,0.45243048498421456,0.45243048498421456,A,A
24,24,48,48,-24,-24,1,1,0.5715065219420598,0.5715065219420598,A,A
26,26,52,52,-26,-26,1,1,0.7883168386108598,0.7883168386108598,A,A
27,27,54,54,-27,-27,1,1,0.06236974384899474,0.06236974384899474,A,A
28,28,56,56,-28,-28,1,1,0.8851762289017996,0.8851762289017996,A,A
31,31,62,62,-31,-31,1,1,0.3837438429114993,0.3837438429114993,A,A
32,32,64,64,-32,-32,1,1,0.08907858337601626,0.08907858337601626,A,A
33,33,66,66,-33,-33,1,1,0.03685874487641183,0.03685874487641183,A,A
35,35,70,70,-35,-35,1,1,0.18909655388762214,0.18909655388762214,A,A
36,36,72,72,-36,-36,1,1,0.9814074756527397,0.9814074756527397,A,A
38,38,76,76,-38,-38,1,1,0.8533625788942175,0.8533625788942175,A,A
39,39,78,78,-39,-39,1,1,0.40683512717298975,0.40683512717298975,A,A
41,41,82,82,-41,-41,1,1,0.42509986469827554,0.42509986469827554,A,A
42,42,84,84,-42,-42,1,1,0.34792892870247305,0.34792892870247305,A,A
44,44,88,88,-44,-44,1,1,0.9054135171710901,0.9054135171710901,A,A
45,45,90,90,-45,-45,1,1,0.702852864781662,0.702852864781662,A,A
46,46,92,92,-46,-46,1,1,0.782790506984652,0.782790506984652,A,A
49,49,98,98,-49,-49,1,1,0.18577998682076147,0.18577998682076147,A,A
51,51,102,102,-51,-51,1,1,0.17336566860538916,0.17336566860538916,A,A
53,53,106,106,-53,-53,1,1,0.5809270792949821,0.5809270792949821,A,A
54,54,108,108,-54,-54,1,1,0.7626275755393541,0.7626275755393541,A,A
55,55,110,110,-55,-55,1,1,0.3305735447074689,0.3305735447074689,A,A
58,58,116,116,-58,-58,1,1,0.10748435250109534,0.10748435250109534,A,A
59,59,118,118,-59,-59,1,1,0.31815206615596414,0.31815206615596414,A,A
60,60,120,120,-60,-60,1,1,0.17615374435243925,0.17615374435243925,A,A
62,62,124,124,-62,-62,1,1,0.41427400112941626,0.41427400112941626,A,A
63,63,126,126,-63,-63,1,1,0.49938782495874,0.49938782495874,A,A
64,64,128,128,-64,-64,1,1,0.5947312267231223,0.5947312267231223,A,A
65,65,130,130,-65,-65,1,1,0.8171358104150716,0.8171358104150716,A,A
67,67,134,134,-67,-67,1,1,0.7695838355598332,0.7695838355598332,A,A
69,69,138,138,-69,-69,1,1,0.06343830372503745,0.06343830372503745,A,A
70,70,140,140,-70,-70,1,1,0.9595882794162985,0.9595882794162985,A,A
73,73,146,146,-73,-73,1,1,0.6168416704429529,0.6168416704429529,A,A
75,75,150,150,-75,-75,1,1,0.24786944985703308,0.24786944985703308,A,A
