Feature A (i)	Feature A (i)-noFeature_B_(2i)	Feature B (2i)	Feature B (2i)-noFeature_B_(2i)	Feature C (-i)	Feature C (-i)-noFeature_B_(2i)	Constant Feature	Constant Feature-noFeature_B_(2i)	Random Feature	Random Feature-noFeature_B_(2i)	Outcome	Outcome-noFeature_B_(2i)
c	c	c	c	c	c	c	c	c	c	d	d
										class	ignore
0	2974	0	9574	0	-2975	1	1	0.3581485321045217	0.33085674641798635	A	A
1	2974	2	9574	-1	-2975	1	1	0.8839101610867179	0.8483288367488273	A	A
3	2974	6	9574	-3	-2975	1	1	0.6316865682867979	0.5970130310756897	A	A
5	2974	10	9574	-5	-2975	1	1	0.1179020570763114	0.11766008071769851	A	A
7	2980	14	9574	-7	-2981	1	1	0.7025658670285041	0.6567225731105883	A	A
10	2980	20	9574	-10	-2981	1	1	0.36802664311794664	0.34394625120281785	A	A
11	2980	22	9574	-11	-2981	1	1	0.3360509643974219	0.30887378737929305	A	A
12	2986	24	9574	-12	-2986	1	1	0.7115493583210833	0.6676345312549455	A	A
13	2986	26	9574	-13	-2986	1	1	0.9001961335411152	0.8844562399641169	A	A
14	2986	28	9574	-14	-2986	1	1	0.12983388824365016	0.11766008071769851	A	A
18	2991	36	9574	-18	-2992	1	1	0.5350356937942453	0.4863973973956013	A	A
21	2991	42	9574	-21	-2992	1	1	0.6573315481857762	0.6185616736968093	A	A
22	2991	44	9574	-22	-2992	1	1	0.5982458560217326	0.5603876811308924	A	A
23	2997	46	9574	-23	-2998	1	1	0.45243048498421456	0.43084017934406293	A	A
24	2997	48	9574	-24	-2998	1	1	0.5715065219420598	0.5287072142744291	A	A
26	2997	52	9574	-26	-2998	1	1	0.7883168386108598	0.7650504588350444	A	A
27	2997	54	9574	-27	-2998	1	1	0.06236974384899474	0.046636926221635844	A	A
28	2997	56	9574	-28	-2998	1	1	0.8851762289017996	0.8659373859054671	A	A
31	3003	62	9574	-31	-3004	1	1	0.3837438429114993	0.36326959483172827	A	A
32	3003	64	9574	-32	-3004	1	1	0.08907858337601626	0.08139052448728146	A	A
33	3003	66	9574	-33	-3004	1	1	0.03685874487641183	0.02540337192260267	A	A
35	3009	70	9574	-35	-3010	1	1	0.18909655388762214	0.17573684250755928	A	A
36	3009	72	9574	-36	-3010	1	1	0.9814074756527397	0.9708335991200716	A	A
38	3009	76	9574	-38	-3010	1	1	0.8533625788942175	0.836604570279811	A	A
39	3009	78	9574	-39	-3010	1	1	0.40683512717298975	0.3994271172644791	A	A
41	3015	82	9574	-41	-3015	1	1	0.42509986469827554	0.41436990175995514	A	A
42	3015	84	9574	-42	-3015	1	1	0.34792892870247305	0.33085674641798635	A	A
44	3015	88	9574	-44	-3015	1	1	0.9054135171710901	0.8844562399641169	A	A
45	3015	90	9574	-45	-3015	1	1	0.702852864781662	0.6567225731105883	A	A
46	3020	92	9574	-46	-3021	1	1	0.782790506984652	0.74048802736636	A	A
49	3020	98	9574	-49	-3021	1	1	0.18577998682076147	0.1556084896784825	A	A
51	3020	102	9574	-51	-3021	1	1	0.17336566860538916	0.1556084896784825	A	A
53	3026	106	9574	-53	-3027	1	1	0.5809270792949821	0.5287072142744291	A	A
54	3026	108	9574	-54	-3027	1	1	0.7626275755393541	0.74048802736636	A	A
55	3026	110	9574	-55	-3027	1	1	0.3305735447074689	0.30887378737929305	A	A
58	3032	116	9574	-58	-3033	1	1	0.10748435250109534	0.08139052448728146	A	A
59	3032	118	9574	-59	-3033	1	1	0.31815206615596414	0.2705870793149804	A	A
60	3032	120	9574	-60	-3033	1	1	0.17615374435243925	0.1556084896784825	A	A
62	3032	124	9574	-62	-3033	1	1	0.41427400112941626	0.3994271172644791	A	A
63	3032	126	9574	-63	-3033	1	1	0.49938782495874	0.4686479736942557	A	A
64	3038	128	9574	-64	-3038	1	1	0.5947312267231223	0.5437811418999469	A	A
65	3038	130	9574	-65	-3038	1	1	0.8171358104150716	0.7752105467541478	A	A
67	3038	134	9574	-67	-3038	1	1	0.7695838355598332	0.74048802736636	A	A
69	3038	138	9574	-69	-3038	1	1	0.06343830372503745	0.046636926221635844	A	A
70	3043	140	9574	-70	-3044	1	1	0.9595882794162985	0.9556519694980462	A	A
73	3043	146	9574	-73	-3044	1	1	0.6168416704429529	0.5738128596868537	A	A
75	3049	150	9574	-75	-3050	1	1	0.24786944985703308	0.20479149534265284	A	A
76	3049	152	9574	-76	-3050	1	1	0.07574345645986724	0.06575410935862658	A	A
77	3049	154	9574	-77	-3050	1	1	0.9576917662311247	0.9556519694980462	A	A
78	3049	156	9574	-78	-3050	1	1	0.3444122032974388	0.30887378737929305	A	A
79	3049	158	9574	-79	-3050	1	1	0.00018798835706279604	0.009431753548861166	A	A
81	3055	162	9574	-81	-3056	1	1	0.08338800327535068	0.06575410935862658	A	A
82	3055	164	9574	-82	-3056	1	1	0.8371076701450203	0.7978402972390728	A	A
86	3055	172	9574	-86	-3056	1	1	0.5928400284910654	0.5437811418999469	A	A
87	3061	174	9574	-87	-3062	1	1	0.31353758449725977	0.2705870793149804	A	A
89	3061	178	9574	-89	-3062	1	1	0.2044281416563637	0.17573684250755928	A	A
90	3061	180	9574	-90	-3062	1	1	0.46052453367336	0.45443658440763757	A	A
91	3061	182	9574	-91	-3062	1	1	0.27655555095419226	0.2200783515824032	A	A
93	3067	186	9574	-93	-3067	1	1	0.2156697601069203	0.18991284810616926	A	A
94	3067	188	9574	-94	-3067	1	1	0.14628113311681623	0.14001508031831478	A	A
95	3067	190	9574	-95	-3067	1	1	0.6364167409499052	0.5970130310756897	A	A
96	3067	192	9574	-96	-3067	1	1	0.2323360157373191	0.18991284810616926	A	A
99	3072	198	9574	-99	-3073	1	1	0.7964356400542186	0.7650504588350444	A	A
100	3072	200	9574	-100	-3073	1	1	0.2875327944914716	0.23139716590926385	A	A
101	3072	202	9574	-101	-3073	1	1	0.49383332900746946	0.4686479736942557	A	A
102	3072	204	9574	-102	-3073	1	1	0.19739142058166181	0.17573684250755928	A	A
103	3072	206	9574	-103	-3073	1	1	0.7548063603256833	0.7248533491587095	A	A
104	3072	208	9574	-104	-3073	1	1	0.3645628592530845	0.33085674641798635	A	A
105	3078	210	9574	-105	-3079	1	1	0.3656840437206773	0.34394625120281785	A	A
106	3078	212	9574	-106	-3079	1	1	0.84754785192232	0.81093086149687	A	A
107	3078	214	9574	-107	-3079	1	1	0.15569631768405867	0.14001508031831478	A	A
109	3078	218	9574	-109	-3079	1	1	0.8776157882608909	0.8483288367488273	A	A
111	3084	222	9574	-111	-3085	1	1	0.6848139489241195	0.6403485791625139	A	A
114	3084	228	9574	-114	-3085	1	1	0.8967573771245423	0.8844562399641169	A	A
115	3084	230	9574	-115	-3085	1	1	0.5144574291580433	0.4863973973956013	A	A
118	3090	236	9574	-118	-3091	1	1	0.9119564155005877	0.897897211542344	A	A
120	3090	240	9574	-120	-3091	1	1	0.7449259240416669	0.7124266951977283	A	A
122	3096	244	9574	-122	-3096	1	1	0.0025256535814799363	0.009431753548861166	A	A
124	3096	248	9574	-124	-3096	1	1	0.4804421953497041	0.45443658440763757	A	A
125	3096	250	9574	-125	-3096	1	1	0.039918173844016636	0.02540337192260267	A	A
126	3096	252	9574	-126	-3096	1	1	0.8019859002940205	0.7752105467541478	A	A
127	3096	254	9574	-127	-3096	1	1	0.7404676807815441	0.7124266951977283	A	A
128	3101	256	9574	-128	-3102	1	1	0.35394898011032017	0.33085674641798635	A	A
132	3101	264	9574	-132	-3102	1	1	0.9985188230254209	0.9867277963524416	A	A
134	3107	268	9574	-134	-3108	1	1	0.08753180441541364	0.08139052448728146	A	A
135	3107	270	9574	-135	-3108	1	1	0.45693399513245136	0.45443658440763757	A	A
136	3107	272	9574	-136	-3108	1	1	0.5420084319709784	0.5057843245177359	A	A
138	3107	276	9574	-138	-3108	1	1	0.7235440909847851	0.6865687000926515	A	A
139	3113	278	9574	-139	-3114	1	1	0.08298791698125008	0.06575410935862658	A	A
140	3113	280	9574	-140	-3114	1	1	0.2098672099761597	0.18991284810616926	A	A
141	3113	282	9574	-141	-3114	1	1	0.9361882248606086	0.9155804834289545	A	A
144	3113	288	9574	-144	-3114	1	1	0.6409335998781611	0.6185616736968093	A	A
145	3119	290	9574	-145	-3120	1	1	0.31936333175165044	0.29312155847436416	A	A
146	3119	292	9574	-146	-3120	1	1	0.6530281546879411	0.6185616736968093	A	A
147	3119	294	9574	-147	-3120	1	1	0.7307944381478196	0.6865687000926515	A	A
148	3119	296	9574	-148	-3120	1	1	0.3234850816431194	0.29312155847436416	A	A
149	3119	298	9574	-149	-3120	1	1	0.5389870398960958	0.4863973973956013	A	A
150	3119	300	9574	-150	-3120	1	1	0.7314529725710204	0.6865687000926515	A	A
152	3125	304	9574	-152	-3125	1	1	0.10907559554219015	0.09584927697217083	A	A
