Feature A (i)	Feature A (i)-noFeature_C_(-i)	Feature B (2i)	Feature B (2i)-noFeature_C_(-i)	Feature C (-i)	Feature C (-i)-noFeature_C_(-i)	Constant Feature	Constant Feature-noFeature_C_(-i)	Random Feature	Random Feature-noFeature_C_(-i)	Outcome	Outcome-noFeature_C_(-i)
c	c	c	c	c	c	c	c	c	c	d	d
										class	ignore
0	2700	0	5400	0	-1212	1	1	0.3581485321045217	0.3328687627974606	A	A
1	2706	2	5412	-1	-1212	1	1	0.8839101610867179	0.8839101610867179	A	A
3	2717	6	5434	-3	-1212	1	1	0.6316865682867979	0.6482322739693153	A	A
5	2729	10	5458	-5	-1212	1	1	0.1179020570763114	0.1179020570763114	A	A
7	2741	14	5482	-7	-1212	1	1	0.7025658670285041	0.7191643211606201	A	A
10	2758	20	5516	-10	-1212	1	1	0.36802664311794664	0.350578695746261	A	A
11	2764	22	5528	-11	-1212	1	1	0.3360509643974219	0.2944125893639117	A	A
12	2769	24	5538	-12	-1212	1	1	0.7115493583210833	0.7741845154294321	A	A
13	2775	26	5550	-13	-1212	1	1	0.9001961335411152	0.9550538593999985	A	A
14	2781	28	5562	-14	-1212	1	1	0.12983388824365016	0.13575200988301828	A	A
18	2804	36	5608	-18	-1212	1	1	0.5350356937942453	0.5200480604633302	A	A
21	2822	42	5644	-21	-1212	1	1	0.6573315481857762	0.6827160525262556	A	A
22	2827	44	5654	-22	-1212	1	1	0.5982458560217326	0.6336483877439453	A	A
23	2833	46	5666	-23	-1212	1	1	0.45243048498421456	0.45243048498421456	A	A
24	2839	48	5678	-24	-1212	1	1	0.5715065219420598	0.5468257337781519	A	A
26	2851	52	5702	-26	-1212	1	1	0.7883168386108598	0.8285385294664941	A	A
27	2856	54	5712	-27	-1212	1	1	0.06236974384899474	0.062353353740606354	A	A
28	2862	56	5724	-28	-1212	1	1	0.8851762289017996	0.9027350063094405	A	A
31	2879	62	5758	-31	-1212	1	1	0.3837438429114993	0.3837438429114993	A	A
32	2885	64	5770	-32	-1212	1	1	0.08907858337601626	0.09631320509214214	A	A
33	2891	66	5782	-33	-1212	1	1	0.03685874487641183	0.040223196869210165	A	A
35	2903	70	5806	-35	-1212	1	1	0.18909655388762214	0.18513987923672703	A	A
36	2908	72	5816	-36	-1212	1	1	0.9814074756527397	0.985744768217679	A	A
38	2920	76	5840	-38	-1212	1	1	0.8533625788942175	0.8710826164665462	A	A
39	2926	78	5852	-39	-1212	1	1	0.40683512717298975	0.3976380625702378	A	A
41	2937	82	5874	-41	-1212	1	1	0.42509986469827554	0.41618841333222234	A	A
42	2943	84	5886	-42	-1212	1	1	0.34792892870247305	0.3154430469533932	A	A
44	2955	88	5910	-44	-1212	1	1	0.9054135171710901	0.9708335991200716	A	A
45	2961	90	5922	-45	-1212	1	1	0.702852864781662	0.7386408776802375	A	A
46	2966	92	5932	-46	-1212	1	1	0.782790506984652	0.8055533991471695	A	A
49	2984	98	5968	-49	-1212	1	1	0.18577998682076147	0.1642650866458556	A	A
51	2995	102	5990	-51	-1212	1	1	0.17336566860538916	0.1520372454774349	A	A
53	3007	106	6014	-53	-1212	1	1	0.5809270792949821	0.582537627789942	A	A
54	3013	108	6026	-54	-1212	1	1	0.7626275755393541	0.7922948059168434	A	A
55	3018	110	6036	-55	-1212	1	1	0.3305735447074689	0.25854697252696457	A	A
58	2700	116	5400	-58	-1212	1	1	0.10748435250109534	0.07522454865778105	A	A
59	2700	118	5400	-59	-1212	1	1	0.31815206615596414	0.2944125893639117	A	A
60	2700	120	5400	-60	-1212	1	1	0.17615374435243925	0.1520372454774349	A	A
62	2700	124	5400	-62	-1212	1	1	0.41427400112941626	0.3976380625702378	A	A
63	2706	126	5412	-63	-1212	1	1	0.49938782495874	0.45243048498421456	A	A
64	2706	128	5412	-64	-1212	1	1	0.5947312267231223	0.5468257337781519	A	A
65	2706	130	5412	-65	-1212	1	1	0.8171358104150716	0.7741845154294321	A	A
67	2706	134	5412	-67	-1212	1	1	0.7695838355598332	0.7386408776802375	A	A
69	2712	138	5424	-69	-1212	1	1	0.06343830372503745	0.040223196869210165	A	A
70	2712	140	5424	-70	-1212	1	1	0.9595882794162985	0.9550538593999985	A	A
73	2712	146	5424	-73	-1212	1	1	0.6168416704429529	0.5687152792565979	A	A
75	2717	150	5434	-75	-1212	1	1	0.24786944985703308	0.20132664405148248	A	A
76	2717	152	5434	-76	-1212	1	1	0.07574345645986724	0.040223196869210165	A	A
77	2717	154	5434	-77	-1212	1	1	0.9576917662311247	0.9550538593999985	A	A
78	2717	156	5434	-78	-1212	1	1	0.3444122032974388	0.3154430469533932	A	A
79	2717	158	5434	-79	-1212	1	1	0.00018798835706279604	0.008592140326145858	A	A
81	2723	162	5446	-81	-1212	1	1	0.08338800327535068	0.062353353740606354	A	A
82	2723	164	5446	-82	-1212	1	1	0.8371076701450203	0.8055533991471695	A	A
86	2729	172	5458	-86	-1212	1	1	0.5928400284910654	0.5364676566761873	A	A
87	2729	174	5458	-87	-1212	1	1	0.31353758449725977	0.27476148850200977	A	A
89	2729	178	5458	-89	-1212	1	1	0.2044281416563637	0.1642650866458556	A	A
90	2729	180	5458	-90	-1212	1	1	0.46052453367336	0.4283262058113855	A	A
91	2729	182	5458	-91	-1212	1	1	0.27655555095419226	0.22041899908405316	A	A
93	2735	186	5470	-93	-1212	1	1	0.2156697601069203	0.1642650866458556	A	A
94	2735	188	5470	-94	-1212	1	1	0.14628113311681623	0.1179020570763114	A	A
95	2735	190	5470	-95	-1212	1	1	0.6364167409499052	0.582537627789942	A	A
96	2735	192	5470	-96	-1212	1	1	0.2323360157373191	0.18513987923672703	A	A
99	2741	198	5482	-99	-1212	1	1	0.7964356400542186	0.7741845154294321	A	A
100	2741	200	5482	-100	-1212	1	1	0.2875327944914716	0.23168224529179748	A	A
101	2741	202	5482	-101	-1212	1	1	0.49383332900746946	0.45243048498421456	A	A
102	2741	204	5482	-102	-1212	1	1	0.19739142058166181	0.1642650866458556	A	A
103	2746	206	5492	-103	-1212	1	1	0.7548063603256833	0.7191643211606201	A	A
104	2746	208	5492	-104	-1212	1	1	0.3645628592530845	0.3328687627974606	A	A
105	2746	210	5492	-105	-1212	1	1	0.3656840437206773	0.3328687627974606	A	A
106	2746	212	5492	-106	-1212	1	1	0.84754785192232	0.8285385294664941	A	A
107	2746	214	5492	-107	-1212	1	1	0.15569631768405867	0.1179020570763114	A	A
109	2752	218	5504	-109	-1212	1	1	0.8776157882608909	0.8457692599892734	A	A
111	2752	222	5504	-111	-1212	1	1	0.6848139489241195	0.6336483877439453	A	A
114	2752	228	5504	-114	-1212	1	1	0.8967573771245423	0.8710826164665462	A	A
115	2758	230	5516	-115	-1212	1	1	0.5144574291580433	0.47641504446250105	A	A
118	2758	236	5516	-118	-1212	1	1	0.9119564155005877	0.8839101610867179	A	A
120	2758	240	5516	-120	-1212	1	1	0.7449259240416669	0.7025024851846564	A	A
122	2764	244	5528	-122	-1212	1	1	0.0025256535814799363	0.008592140326145858	A	A
124	2764	248	5528	-124	-1212	1	1	0.4804421953497041	0.45243048498421456	A	A
125	2764	250	5528	-125	-1212	1	1	0.039918173844016636	0.024809866852586904	A	A
126	2769	252	5538	-126	-1212	1	1	0.8019859002940205	0.7741845154294321	A	A
127	2769	254	5538	-127	-1212	1	1	0.7404676807815441	0.6827160525262556	A	A
128	2769	256	5538	-128	-1212	1	1	0.35394898011032017	0.3328687627974606	A	A
132	2775	264	5550	-132	-1212	1	1	0.9985188230254209	0.985744768217679	A	A
134	2775	268	5550	-134	-1212	1	1	0.08753180441541364	0.062353353740606354	A	A
135	2775	270	5550	-135	-1212	1	1	0.45693399513245136	0.4283262058113855	A	A
136	2775	272	5550	-136	-1212	1	1	0.5420084319709784	0.4824381759363401	A	A
138	2781	276	5562	-138	-1212	1	1	0.7235440909847851	0.6482322739693153	A	A
139	2781	278	5562	-139	-1212	1	1	0.08298791698125008	0.062353353740606354	A	A
140	2781	280	5562	-140	-1212	1	1	0.2098672099761597	0.1642650866458556	A	A
141	2781	282	5562	-141	-1212	1	1	0.9361882248606086	0.9027350063094405	A	A
144	2787	288	5574	-144	-1212	1	1	0.6409335998781611	0.582537627789942	A	A
145	2787	290	5574	-145	-1212	1	1	0.31936333175165044	0.2944125893639117	A	A
146	2787	292	5574	-146	-1212	1	1	0.6530281546879411	0.5979874343679255	A	A
147	2787	294	5574	-147	-1212	1	1	0.7307944381478196	0.6618908494241688	A	A
148	2787	296	5574	-148	-1212	1	1	0.3234850816431194	0.2944125893639117	A	A
149	2787	298	5574	-149	-1212	1	1	0.5389870398960958	0.4824381759363401	A	A
150	2793	300	5586	-150	-1212	1	1	0.7314529725710204	0.6618908494241688	A	A
152	2793	304	5586	-152	-1212	1	1	0.10907559554219015	0.07522454865778105	A	A
