Feature A (i)	Feature A (i)-noRandom_Feature	Feature B (2i)	Feature B (2i)-noRandom_Feature	Feature C (-i)	Feature C (-i)-noRandom_Feature	Constant Feature	Constant Feature-noRandom_Feature	Random Feature	Random Feature-noRandom_Feature	Outcome	Outcome-noRandom_Feature
c	c	c	c	c	c	c	c	c	c	d	d
										class	ignore
0	29	0	58	0	-51	1	1	0.3581485321045217	0.40683512717298975	A	A
1	29	2	58	-1	-51	1	1	0.8839101610867179	0.40683512717298975	A	A
3	29	6	58	-3	-51	1	1	0.6316865682867979	0.40683512717298975	A	A
5	29	10	58	-5	-51	1	1	0.1179020570763114	0.40683512717298975	A	A
7	29	14	58	-7	-51	1	1	0.7025658670285041	0.40683512717298975	A	A
10	29	20	58	-10	-51	1	1	0.36802664311794664	0.40683512717298975	A	A
11	29	22	58	-11	-51	1	1	0.3360509643974219	0.40683512717298975	A	A
12	29	24	58	-12	-51	1	1	0.7115493583210833	0.40683512717298975	A	A
13	29	26	58	-13	-51	1	1	0.9001961335411152	0.40683512717298975	A	A
14	29	28	58	-14	-51	1	1	0.12983388824365016	0.40683512717298975	A	A
18	29	36	58	-18	-51	1	1	0.5350356937942453	0.40683512717298975	A	A
21	29	42	58	-21	-51	1	1	0.6573315481857762	0.40683512717298975	A	A
22	29	44	58	-22	-51	1	1	0.5982458560217326	0.40683512717298975	A	A
23	29	46	58	-23	-51	1	1	0.45243048498421456	0.40683512717298975	A	A
24	29	48	58	-24	-51	1	1	0.5715065219420598	0.40683512717298975	A	A
26	29	52	58	-26	-51	1	1	0.7883168386108598	0.40683512717298975	A	A
27	29	54	58	-27	-51	1	1	0.06236974384899474	0.40683512717298975	A	A
28	29	56	58	-28	-51	1	1	0.8851762289017996	0.40683512717298975	A	A
31	29	62	58	-31	-51	1	1	0.3837438429114993	0.40683512717298975	A	A
32	29	64	58	-32	-51	1	1	0.08907858337601626	0.40683512717298975	A	A
33	29	66	58	-33	-51	1	1	0.03685874487641183	0.40683512717298975	A	A
35	29	70	58	-35	-51	1	1	0.18909655388762214	0.40683512717298975	A	A
36	29	72	58	-36	-51	1	1	0.9814074756527397	0.40683512717298975	A	A
38	29	76	58	-38	-51	1	1	0.8533625788942175	0.40683512717298975	A	A
39	29	78	58	-39	-51	1	1	0.40683512717298975	0.40683512717298975	A	A
41	29	82	58	-41	-51	1	1	0.42509986469827554	0.40683512717298975	A	A
42	107	84	214	-42	-125	1	1	0.34792892870247305	0.40683512717298975	A	A
44	107	88	214	-44	-125	1	1	0.9054135171710901	0.40683512717298975	A	A
45	107	90	214	-45	-125	1	1	0.702852864781662	0.40683512717298975	A	A
46	29	92	58	-46	-51	1	1	0.782790506984652	0.40683512717298975	A	A
49	29	98	58	-49	-51	1	1	0.18577998682076147	0.40683512717298975	A	A
51	29	102	58	-51	-51	1	1	0.17336566860538916	0.40683512717298975	A	A
53	107	106	214	-53	-125	1	1	0.5809270792949821	0.40683512717298975	A	A
54	29	108	58	-54	-51	1	1	0.7626275755393541	0.40683512717298975	A	A
55	107	110	214	-55	-125	1	1	0.3305735447074689	0.40683512717298975	A	A
58	29	116	58	-58	-51	1	1	0.10748435250109534	0.40683512717298975	A	A
59	29	118	58	-59	-51	1	1	0.31815206615596414	0.40683512717298975	A	A
60	29	120	58	-60	-51	1	1	0.17615374435243925	0.40683512717298975	A	A
62	29	124	58	-62	-51	1	1	0.41427400112941626	0.40683512717298975	A	A
63	29	126	58	-63	-51	1	1	0.49938782495874	0.40683512717298975	A	A
64	107	128	214	-64	-125	1	1	0.5947312267231223	0.40683512717298975	A	A
65	107	130	214	-65	-125	1	1	0.8171358104150716	0.40683512717298975	A	A
67	107	134	214	-67	-125	1	1	0.7695838355598332	0.40683512717298975	A	A
69	107	138	214	-69	-125	1	1	0.06343830372503745	0.40683512717298975	A	A
70	29	140	58	-70	-51	1	1	0.9595882794162985	0.40683512717298975	A	A
73	29	146	58	-73	-51	1	1	0.6168416704429529	0.40683512717298975	A	A
75	29	150	58	-75	-51	1	1	0.24786944985703308	0.40683512717298975	A	A
76	107	152	214	-76	-125	1	1	0.07574345645986724	0.40683512717298975	A	A
77	29	154	58	-77	-51	1	1	0.9576917662311247	0.40683512717298975	A	A
78	107	156	214	-78	-125	1	1	0.3444122032974388	0.40683512717298975	A	A
79	29	158	58	-79	-51	1	1	0.00018798835706279604	0.40683512717298975	A	A
81	107	162	214	-81	-125	1	1	0.08338800327535068	0.40683512717298975	A	A
82	29	164	58	-82	-51	1	1	0.8371076701450203	0.40683512717298975	A	A
86	172	172	344	-86	-180	1	1	0.5928400284910654	0.40683512717298975	A	A
87	107	174	214	-87	-125	1	1	0.31353758449725977	0.40683512717298975	A	A
89	107	178	214	-89	-125	1	1	0.2044281416563637	0.40683512717298975	A	A
90	107	180	214	-90	-125	1	1	0.46052453367336	0.40683512717298975	A	A
91	107	182	214	-91	-125	1	1	0.27655555095419226	0.40683512717298975	A	A
93	107	186	214	-93	-125	1	1	0.2156697601069203	0.40683512717298975	A	A
94	107	188	214	-94	-125	1	1	0.14628113311681623	0.40683512717298975	A	A
95	107	190	214	-95	-125	1	1	0.6364167409499052	0.40683512717298975	A	A
96	29	192	58	-96	-51	1	1	0.2323360157373191	0.40683512717298975	A	A
99	107	198	214	-99	-125	1	1	0.7964356400542186	0.40683512717298975	A	A
100	107	200	214	-100	-125	1	1	0.2875327944914716	0.40683512717298975	A	A
101	29	202	58	-101	-51	1	1	0.49383332900746946	0.40683512717298975	A	A
102	107	204	214	-102	-125	1	1	0.19739142058166181	0.40683512717298975	A	A
103	29	206	58	-103	-51	1	1	0.7548063603256833	0.40683512717298975	A	A
104	172	208	344	-104	-180	1	1	0.3645628592530845	0.40683512717298975	A	A
105	172	210	344	-105	-180	1	1	0.3656840437206773	0.40683512717298975	A	A
106	29	212	58	-106	-51	1	1	0.84754785192232	0.40683512717298975	A	A
107	107	214	214	-107	-125	1	1	0.15569631768405867	0.40683512717298975	A	A
109	107	218	214	-109	-125	1	1	0.8776157882608909	0.40683512717298975	A	A
111	107	222	214	-111	-125	1	1	0.6848139489241195	0.40683512717298975	A	A
114	107	228	214	-114	-125	1	1	0.8967573771245423	0.40683512717298975	A	A
115	107	230	214	-115	-125	1	1	0.5144574291580433	0.40683512717298975	A	A
118	172	236	344	-118	-180	1	1	0.9119564155005877	0.40683512717298975	A	A
120	29	240	58	-120	-51	1	1	0.7449259240416669	0.40683512717298975	A	A
122	107	244	214	-122	-125	1	1	0.0025256535814799363	0.40683512717298975	A	A
124	107	248	214	-124	-125	1	1	0.4804421953497041	0.40683512717298975	A	A
125	107	250	214	-125	-125	1	1	0.039918173844016636	0.40683512717298975	A	A
126	172	252	344	-126	-180	1	1	0.8019859002940205	0.40683512717298975	A	A
127	29	254	58	-127	-51	1	1	0.7404676807815441	0.40683512717298975	A	A
128	172	256	344	-128	-180	1	1	0.35394898011032017	0.40683512717298975	A	A
132	107	264	214	-132	-125	1	1	0.9985188230254209	0.40683512717298975	A	A
134	172	268	344	-134	-180	1	1	0.08753180441541364	0.40683512717298975	A	A
135	107	270	214	-135	-125	1	1	0.45693399513245136	0.40683512717298975	A	A
136	107	272	214	-136	-125	1	1	0.5420084319709784	0.40683512717298975	A	A
138	107	276	214	-138	-125	1	1	0.7235440909847851	0.40683512717298975	A	A
139	172	278	344	-139	-180	1	1	0.08298791698125008	0.40683512717298975	A	A
140	172	280	344	-140	-180	1	1	0.2098672099761597	0.40683512717298975	A	A
141	107	282	214	-141	-125	1	1	0.9361882248606086	0.40683512717298975	A	A
144	107	288	214	-144	-125	1	1	0.6409335998781611	0.40683512717298975	A	A
145	172	290	344	-145	-180	1	1	0.31936333175165044	0.40683512717298975	A	A
146	172	292	344	-146	-180	1	1	0.6530281546879411	0.40683512717298975	A	A
147	107	294	214	-147	-125	1	1	0.7307944381478196	0.40683512717298975	A	A
148	172	296	344	-148	-180	1	1	0.3234850816431194	0.40683512717298975	A	A
149	107	298	214	-149	-125	1	1	0.5389870398960958	0.40683512717298975	A	A
150	107	300	214	-150	-125	1	1	0.7314529725710204	0.40683512717298975	A	A
152	172	304	344	-152	-180	1	1	0.10907559554219015	0.40683512717298975	A	A
154	172	308	344	-154	-180	1	1	0.328939054410314	0.40683512717298975	A	A
156	107	312	214	-156	-125	1	1	0.41848078614115325	0.40683512717298975	A	A
157	107	314	214	-157	-125	1	1	0.9756041135596359	0.40683512717298975	A	A
158	242	316	484	-158	-259	1	1	0.35344865233845213	0.40683512717298975	A	A
160	172	320	344	-160	-180	1	1	0.5547361732143491	0.40683512717298975	A	A
161	172	322	344	-161	-180	1	1	0.0891336921094471	0.40683512717298975	A	A
162	107	324	214	-162	-125	1	1	0.4086551213893691	0.40683512717298975	A	A
163	29	326	58	-163	-51	1	1	0.25029279515328706	0.40683512717298975	A	A
