Feature A (i)	Feature B (2i)	Feature C (-i)	Constant Feature	Random Feature	Outcome
c	c	c	c	c	d
					class
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
29	58	-51	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
107	214	-125	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
547	1094	-567	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
172	344	-180	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
547	1094	-567	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
616	1232	-634	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
547	1094	-567	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
547	1094	-567	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
616	1232	-634	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
616	1232	-634	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
616	1232	-634	1	0.40683512717298975	A
547	1094	-567	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
242	484	-259	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
616	1232	-634	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
547	1094	-567	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
689	1378	-693	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
408	816	-419	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
616	1232	-634	1	0.40683512717298975	A
547	1094	-567	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
339	678	-346	1	0.40683512717298975	A
547	1094	-567	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
474	948	-479	1	0.40683512717298975	A
547	1094	-567	1	0.40683512717298975	A
547	1094	-567	1	0.40683512717298975	A
547	1094	-567	1	0.40683512717298975	A
