Feature_A,Feature_A_noConstant_Feature,Feature_B,Feature_B_noConstant_Feature,Feature_C,Feature_C_noConstant_Feature,Constant_Feature,Constant_Feature_noConstant_Feature,Random_Feature,Random_Feature_noConstant_Feature,Outcome,Outcome_noConstant_Feature
0,0,0,0,0,0,1,1,0.8584197312548187,0.8584197312548187,A,A
1,1,2,2,-1,-1,1,1,0.24006776149525044,0.24006776149525044,A,A
3,3,6,6,-3,-3,1,1,0.9396419070587533,0.9396419070587533,A,A
4,4,8,8,-4,-4,1,1,0.8190402978548764,0.8190402978548764,A,A
5,5,10,10,-5,-5,1,1,0.682846585911639,0.682846585911639,A,A
7,7,14,14,-7,-7,1,1,0.5569416478755536,0.5569416478755536,A,A
12,12,24,24,-12,-12,1,1,0.8250468918177406,0.8250468918177406,A,A
13,13,26,26,-13,-13,1,1,0.7961145111554733,0.7961145111554733,A,A
14,14,28,28,-14,-14,1,1,0.9727461347770211,0.9727461347770211,A,A
15,15,30,30,-15,-15,1,1,0.413682158920175,0.413682158920175,A,A
17,17,34,34,-17,-17,1,1,0.9757867715381555,0.9757867715381555,A,A
18,18,36,36,-18,-18,1,1,0.27972464150451015,0.27972464150451015,A,A
19,19,38,38,-19,-19,1,1,0.8065387529238092,0.8065387529238092,A,A
20,20,40,40,-20,-20,1,1,0.18905489815793008,0.18905489815793008,A,A
22,22,44,44,-22,-22,1,1,0.6546459312095698,0.6546459312095698,A,A
23,23,46,46,-23,-23,1,1,0.8394903335245972,0.8394903335245972,A,A
25,25,50,50,-25,-25,1,1,0.22957294461208477,0.22957294461208477,A,A
27,27,54,54,-27,-27,1,1,0.29019675111760546,0.29019675111760546,A,A
29,29,58,58,-29,-29,1,1,0.010374797132496671,0.010374797132496671,A,A
30,30,60,60,-30,-30,1,1,0.9120387408412262,0.9120387408412262,A,A
31,31,62,62,-31,-31,1,1,0.5282046165470313,0.5282046165470313,A,A
32,32,64,64,-32,-32,1,1,0.6268906547622488,0.6268906547622488,A,A
35,35,70,70,-35,-35,1,1,0.6665495446208227,0.6665495446208227,A,A
36,36,72,72,-36,-36,1,1,0.9049470454501904,0.9049470454501904,A,A
37,37,74,74,-37,-37,1,1,0.593025293800794,0.593025293800794,A,A
38,38,76,76,-38,-38,1,1,0.14081802342449568,0.14081802342449568,A,A
40,40,80,80,-40,-40,1,1,0.7633391570681018,0.7633391570681018,A,A
43,43,86,86,-43,-43,1,1,0.1765843091108359,0.1765843091108359,A,A
44,44,88,88,-44,-44,1,1,0.9276172498653956,0.9276172498653956,A,A
45,45,90,90,-45,-45,1,1,0.35769381517060206,0.35769381517060206,A,A
46,46,92,92,-46,-46,1,1,0.6768847936208375,0.6768847936208375,A,A
48,48,96,96,-48,-48,1,1,0.7926647259552622,0.7926647259552622,A,A
49,49,98,98,-49,-49,1,1,0.9941565088227086,0.9941565088227086,A,A
50,50,100,100,-50,-50,1,1,0.6582735393690897,0.6582735393690897,A,A
51,51,102,102,-51,-51,1,1,0.7979764794071831,0.7979764794071831,A,A
52,52,104,104,-52,-52,1,1,0.04932747465665621,0.04932747465665621,A,A
55,55,110,110,-55,-55,1,1,0.8082706223799971,0.8082706223799971,A,A
57,57,114,114,-57,-57,1,1,0.8437172555800978,0.8437172555800978,A,A
58,58,116,116,-58,-58,1,1,0.7731887282973331,0.7731887282973331,A,A
59,59,118,118,-59,-59,1,1,0.1922013525006877,0.1922013525006877,A,A
61,61,122,122,-61,-61,1,1,0.9111914815612009,0.9111914815612009,A,A
62,62,124,124,-62,-62,1,1,0.7356858346465912,0.7356858346465912,A,A
63,63,126,126,-63,-63,1,1,0.7749792254996709,0.7749792254996709,A,A
65,65,130,130,-65,-65,1,1,0.6279372977279938,0.6279372977279938,A,A
66,66,132,132,-66,-66,1,1,0.2262012796239642,0.2262012796239642,A,A
67,67,134,134,-67,-67,1,1,0.5918031042905182,0.5918031042905182,A,A
68,68,136,136,-68,-68,1,1,0.3107603016599202,0.3107603016599202,A,A
70,70,140,140,-70,-70,1,1,0.26469848172474686,0.26469848172474686,A,A
71,71,142,142,-71,-71,1,1,0.2647715416083063,0.2647715416083063,A,A
72,72,144,144,-72,-72,1,1,0.34604451882790954,0.34604451882790954,A,A
73,73,146,146,-73,-73,1,1,0.4469421194219628,0.4469421194219628,A,A
75,75,150,150,-75,-75,1,1,0.8223765071954363,0.8223765071954363,A,A
76,76,152,152,-76,-76,1,1,0.9778847195304893,0.9778847195304893,A,A
79,79,158,158,-79,-79,1,1,0.6979710284609668,0.6979710284609668,A,A
80,80,160,160,-80,-80,1,1,0.9415013366407667,0.9415013366407667,A,A
82,82,164,164,-82,-82,1,1,0.9416287092838972,0.9416287092838972,A,A
86,86,172,172,-86,-86,1,1,0.2869783825158275,0.2869783825158275,A,A
87,87,174,174,-87,-87,1,1,0.5018925915442932,0.5018925915442932,A,A
