Feature_A,Feature_A_noConstant_Feature,Feature_B,Feature_B_noConstant_Feature,Feature_C,Feature_C_noConstant_Feature,Constant_Feature,Constant_Feature_noConstant_Feature,Random_Feature,Random_Feature_noConstant_Feature,Outcome,Outcome_noConstant_Feature
0,0,0,0,0,0,1,1,0.023588646199457997,0.023588646199457997,A,A
1,1,2,2,-1,-1,1,1,0.1188290740425384,0.1188290740425384,A,A
3,3,6,6,-3,-3,1,1,0.9282151160017603,0.9282151160017603,A,A
5,5,10,10,-5,-5,1,1,0.6917351353691099,0.6917351353691099,A,A
7,7,14,14,-7,-7,1,1,0.5865523546689887,0.5865523546689887,A,A
11,11,22,22,-11,-11,1,1,0.2948030406674309,0.2948030406674309,A,A
14,14,28,28,-14,-14,1,1,0.31425936316737735,0.31425936316737735,A,A
15,15,30,30,-15,-15,1,1,0.8619404354888547,0.8619404354888547,A,A
16,16,32,32,-16,-16,1,1,0.5394089632575426,0.5394089632575426,A,A
17,17,34,34,-17,-17,1,1,0.36262925917898947,0.36262925917898947,A,A
19,19,38,38,-19,-19,1,1,0.7472229759586198,0.7472229759586198,A,A
23,23,46,46,-23,-23,1,1,0.7214944236050458,0.7214944236050458,A,A
24,24,48,48,-24,-24,1,1,0.5172140322695878,0.5172140322695878,A,A
25,25,50,50,-25,-25,1,1,0.2619581241469122,0.2619581241469122,A,A
26,26,52,52,-26,-26,1,1,0.09831137583241667,0.09831137583241667,A,A
28,28,56,56,-28,-28,1,1,0.6729927894249287,0.6729927894249287,A,A
29,29,58,58,-29,-29,1,1,0.8390233702677157,0.8390233702677157,A,A
32,32,64,64,-32,-32,1,1,0.9281453068302792,0.9281453068302792,A,A
33,33,66,66,-33,-33,1,1,0.6165596526831678,0.6165596526831678,A,A
34,34,68,68,-34,-34,1,1,0.7552436858398257,0.7552436858398257,A,A
36,36,72,72,-36,-36,1,1,0.42612731150419625,0.42612731150419625,A,A
38,38,76,76,-38,-38,1,1,0.04202256948128591,0.04202256948128591,A,A
39,39,78,78,-39,-39,1,1,0.0627114213368084,0.0627114213368084,A,A
40,40,80,80,-40,-40,1,1,0.33555884917832757,0.33555884917832757,A,A
44,44,88,88,-44,-44,1,1,0.904874412160271,0.904874412160271,A,A
47,47,94,94,-47,-47,1,1,0.2305366671079544,0.2305366671079544,A,A
49,49,98,98,-49,-49,1,1,0.9811859405281693,0.9811859405281693,A,A
51,51,102,102,-51,-51,1,1,0.781546714666819,0.781546714666819,A,A
53,53,106,106,-53,-53,1,1,0.6126882731315999,0.6126882731315999,A,A
55,55,110,110,-55,-55,1,1,0.19801557000832803,0.19801557000832803,A,A
57,57,114,114,-57,-57,1,1,0.8716112659590262,0.8716112659590262,A,A
58,58,116,116,-58,-58,1,1,0.6990714441542448,0.6990714441542448,A,A
59,59,118,118,-59,-59,1,1,0.6660756885796641,0.6660756885796641,A,A
62,62,124,124,-62,-62,1,1,0.45349228145258125,0.45349228145258125,A,A
64,64,128,128,-64,-64,1,1,0.9339019752854141,0.9339019752854141,A,A
65,65,130,130,-65,-65,1,1,0.8196716673036895,0.8196716673036895,A,A
67,67,134,134,-67,-67,1,1,0.4721768561275196,0.4721768561275196,A,A
69,69,138,138,-69,-69,1,1,0.6148166275211174,0.6148166275211174,A,A
70,70,140,140,-70,-70,1,1,0.26851316588012253,0.26851316588012253,A,A
72,72,144,144,-72,-72,1,1,0.6989201841749049,0.6989201841749049,A,A
73,73,146,146,-73,-73,1,1,0.9124335052312337,0.9124335052312337,A,A
74,74,148,148,-74,-74,1,1,0.9287774865147025,0.9287774865147025,A,A
75,75,150,150,-75,-75,1,1,0.1085223985747511,0.1085223985747511,A,A
76,76,152,152,-76,-76,1,1,0.07992246840953654,0.07992246840953654,A,A
77,77,154,154,-77,-77,1,1,0.3177613223079766,0.3177613223079766,A,A
78,78,156,156,-78,-78,1,1,0.7158194744388905,0.7158194744388905,A,A
80,80,160,160,-80,-80,1,1,0.0892138953251973,0.0892138953251973,A,A
83,83,166,166,-83,-83,1,1,0.5230344821103822,0.5230344821103822,A,A
84,84,168,168,-84,-84,1,1,0.6049105647855177,0.6049105647855177,A,A
85,85,170,170,-85,-85,1,1,0.7662235109427884,0.7662235109427884,A,A
86,86,172,172,-86,-86,1,1,0.265396702489769,0.265396702489769,A,A
87,87,174,174,-87,-87,1,1,0.496620333685441,0.496620333685441,A,A
88,88,176,176,-88,-88,1,1,0.6652796127508342,0.6652796127508342,A,A
89,89,178,178,-89,-89,1,1,0.7563219408390943,0.7563219408390943,A,A
90,90,180,180,-90,-90,1,1,0.9350021751713612,0.9350021751713612,A,A
91,91,182,182,-91,-91,1,1,0.6907762785685028,0.6907762785685028,A,A
93,93,186,186,-93,-93,1,1,0.12578338243392762,0.12578338243392762,A,A
95,95,190,190,-95,-95,1,1,0.1196576277544038,0.1196576277544038,A,A
97,97,194,194,-97,-97,1,1,0.6836739991217567,0.6836739991217567,A,A
98,98,196,196,-98,-98,1,1,0.787067200994671,0.787067200994671,A,A
99,99,198,198,-99,-99,1,1,0.0697790930161255,0.0697790930161255,A,A
100,100,200,200,-100,-100,1,1,0.9704987321934507,0.9704987321934507,A,A
101,101,202,202,-101,-101,1,1,0.568308296658921,0.568308296658921,A,A
103,103,206,206,-103,-103,1,1,0.1342167688071716,0.1342167688071716,A,A
104,104,208,208,-104,-104,1,1,0.5203322358106707,0.5203322358106707,A,A
105,105,210,210,-105,-105,1,1,0.12604351974039207,0.12604351974039207,A,A
107,107,214,214,-107,-107,1,1,0.1787072135860368,0.1787072135860368,A,A
109,109,218,218,-109,-109,1,1,0.2691068211597738,0.2691068211597738,A,A
110,110,220,220,-110,-110,1,1,0.002171776965759209,0.002171776965759209,A,A
111,111,222,222,-111,-111,1,1,0.18699089416717707,0.18699089416717707,A,A
