Feature_A,Feature_A_noFeature_A,Feature_B,Feature_B_noFeature_A,Feature_C,Feature_C_noFeature_A,Constant_Feature,Constant_Feature_noFeature_A,Random_Feature,Random_Feature_noFeature_A,Outcome,Outcome_noFeature_A
0,4769,0,5342,0,-3053,1,1,0.023588646199457997,0.014927674388902079,A,B
1,4769,2,5346,-1,-3055,1,1,0.1188290740425384,0.1511052467882985,A,B
3,4769,6,5346,-3,-3055,1,1,0.9282151160017603,0.927636691036431,A,B
5,4769,10,5350,-5,-3057,1,1,0.6917351353691099,0.7084096773612025,A,B
7,4769,14,5358,-7,-3062,1,1,0.5865523546689887,0.5850625834023614,A,B
11,4769,22,5358,-11,-3062,1,1,0.2948030406674309,0.29005724881410777,A,B
14,4769,28,5364,-14,-3064,1,1,0.31425936316737735,0.3206211616683612,A,B
15,4769,30,5376,-15,-3066,1,1,0.8619404354888547,0.8482181233587572,A,B
16,4769,32,5376,-16,-3066,1,1,0.5394089632575426,0.5363614037302173,A,B
17,4769,34,5378,-17,-3068,1,1,0.36262925917898947,0.3947884433232508,A,B
19,4769,38,5384,-19,-3071,1,1,0.7472229759586198,0.7553192102423594,A,B
23,4769,46,5386,-23,-3073,1,1,0.7214944236050458,0.7472742435857463,A,B
24,4769,48,5386,-24,-3073,1,1,0.5172140322695878,0.5172140322695878,A,B
25,4769,50,5390,-25,-3075,1,1,0.2619581241469122,0.2604983046074889,A,B
26,4769,52,5392,-26,-3076,1,1,0.09831137583241667,0.1274918551046238,A,B
28,4769,56,5392,-28,-3076,1,1,0.6729927894249287,0.6802208630759197,A,B
29,4769,58,5394,-29,-3077,1,1,0.8390233702677157,0.8195547680451946,A,B
32,4769,64,5398,-32,-3079,1,1,0.9281453068302792,0.9239755549355453,A,B
33,4769,66,5398,-33,-3079,1,1,0.6165596526831678,0.6194276180445482,A,B
34,4769,68,5400,-34,-3080,1,1,0.7552436858398257,0.7639860250737197,A,B
36,4769,72,5404,-36,-3083,1,1,0.42612731150419625,0.43821040098362085,A,B
38,4769,76,5410,-38,-3084,1,1,0.04202256948128591,0.03685484993142085,A,B
39,4769,78,5410,-39,-3084,1,1,0.0627114213368084,0.07124125383624991,A,B
