Feature_A,Feature_A_noFeature_B,Feature_B,Feature_B_noFeature_B,Feature_C,Feature_C_noFeature_B,Constant_Feature,Constant_Feature_noFeature_B,Random_Feature,Random_Feature_noFeature_B,Outcome,Outcome_noFeature_B
0,2647,0,7186,0,-3024,1,1,0.8584197312548187,0.7853034397481469,A,B
1,2649,2,7186,-1,-3026,1,1,0.24006776149525044,0.20265350932199155,A,B
3,2650,6,7186,-3,-3027,1,1,0.9396419070587533,0.895174528343068,A,B
4,2651,8,7186,-4,-3031,1,1,0.8190402978548764,0.7278656981602999,A,B
5,2651,10,7186,-5,-3031,1,1,0.682846585911639,0.603780334896824,A,B
7,2654,14,7186,-7,-3034,1,1,0.5569416478755536,0.496388161710013,A,B
12,2655,24,7186,-12,-3035,1,1,0.8250468918177406,0.7314275959059792,A,B
13,2656,26,7186,-13,-3036,1,1,0.7961145111554733,0.6960780877628314,A,B
14,2657,28,7186,-14,-3037,1,1,0.9727461347770211,0.9344296313744197,A,B
15,2658,30,7186,-15,-3038,1,1,0.413682158920175,0.36950387902757187,A,B
17,2660,34,7186,-17,-3041,1,1,0.9757867715381555,0.9565332113809033,A,B
18,2660,36,7186,-18,-3041,1,1,0.27972464150451015,0.23305207746531797,A,B
19,2661,38,7186,-19,-3042,1,1,0.8065387529238092,0.7088931693387862,A,B
20,2663,40,7186,-20,-3043,1,1,0.18905489815793008,0.13044808427072108,A,B
22,2665,44,7186,-22,-3045,1,1,0.6546459312095698,0.5467786561476256,A,B
23,2668,46,7186,-23,-3046,1,1,0.8394903335245972,0.7567067748547494,A,B
25,2671,50,7186,-25,-3048,1,1,0.22957294461208477,0.18924644668693769,A,B
27,2674,54,7186,-27,-3051,1,1,0.29019675111760546,0.24338030796974208,A,B
29,2674,58,7186,-29,-3051,1,1,0.010374797132496671,0.006257781920116279,A,B
30,2675,60,7186,-30,-3054,1,1,0.9120387408412262,0.8487261501021438,A,B
31,2678,62,7186,-31,-3057,1,1,0.5282046165470313,0.4763824019729904,A,B
32,2679,64,7186,-32,-3059,1,1,0.6268906547622488,0.5196410988602942,A,B
35,2681,70,7186,-35,-3061,1,1,0.6665495446208227,0.5740224522143414,A,B
36,2682,72,7186,-36,-3062,1,1,0.9049470454501904,0.842728536346872,A,B
37,2683,74,7186,-37,-3064,1,1,0.593025293800794,0.5106209368685756,A,B
38,2683,76,7186,-38,-3064,1,1,0.14081802342449568,0.09309896950611685,A,B
40,2684,80,7186,-40,-3065,1,1,0.7633391570681018,0.6698489290101762,A,B
43,2685,86,7186,-43,-3071,1,1,0.1765843091108359,0.12359978595468157,A,B
44,2686,88,7186,-44,-3073,1,1,0.9276172498653956,0.8689264429483963,A,B
45,2687,90,7186,-45,-3074,1,1,0.35769381517060206,0.33881678092197554,A,B
46,2691,92,7186,-46,-3075,1,1,0.6768847936208375,0.5880531791016704,A,B
48,2692,96,7186,-48,-3076,1,1,0.7926647259552622,0.6960780877628314,A,B
49,2692,98,7186,-49,-3076,1,1,0.9941565088227086,0.9974133472091609,A,B
50,2693,100,7186,-50,-3077,1,1,0.6582735393690897,0.5503595556507457,A,B
51,2694,102,7186,-51,-3078,1,1,0.7979764794071831,0.6996783931044354,A,B
52,2696,104,7186,-52,-3083,1,1,0.04932747465665621,0.03494432943250436,A,B
55,2697,110,7186,-55,-3084,1,1,0.8082706223799971,0.7274907487570267,A,B
57,2698,114,7186,-57,-3087,1,1,0.8437172555800978,0.7576289496214702,A,B
58,2701,116,7186,-58,-3089,1,1,0.7731887282973331,0.6698489290101762,A,B
59,2701,118,7186,-59,-3089,1,1,0.1922013525006877,0.14007110398887046,A,B
61,2703,122,7186,-61,-3090,1,1,0.9111914815612009,0.842728536346872,A,B
62,2704,124,7186,-62,-3091,1,1,0.7356858346465912,0.6398126996551287,A,B
63,2705,126,7186,-63,-3094,1,1,0.7749792254996709,0.6808061043682289,A,B
65,2706,130,7186,-65,-3095,1,1,0.6279372977279938,0.5232666085548304,A,B
66,2708,132,7186,-66,-3096,1,1,0.2262012796239642,0.1836618488347247,A,B
67,2709,134,7186,-67,-3097,1,1,0.5918031042905182,0.5101714442624968,A,B
68,2709,136,7186,-68,-3097,1,1,0.3107603016599202,0.2603790319177123,A,B
70,2711,140,7186,-70,-3100,1,1,0.26469848172474686,0.20700641306891354,A,B
71,2712,142,7186,-71,-3101,1,1,0.2647715416083063,0.21069721651764817,A,B
72,2713,144,7186,-72,-3103,1,1,0.34604451882790954,0.31581250837759134,A,B
73,2714,146,7186,-73,-3104,1,1,0.4469421194219628,0.41405679118103156,A,B
