Feature_A,Feature_A_noFeature_B,Feature_B,Feature_B_noFeature_B,Feature_C,Feature_C_noFeature_B,Constant_Feature,Constant_Feature_noFeature_B,Random_Feature,Random_Feature_noFeature_B,Outcome,Outcome_noFeature_B
0,2671,0,9538,0,-3053,1,1,0.023588646199457997,0.014927674388902079,A,B
1,2673,2,9538,-1,-3055,1,1,0.1188290740425384,0.1511052467882985,A,B
3,2673,6,9538,-3,-3055,1,1,0.9282151160017603,0.927636691036431,A,B
5,2675,10,9538,-5,-3057,1,1,0.6917351353691099,0.7084096773612025,A,B
7,2679,14,9538,-7,-3062,1,1,0.5865523546689887,0.5850625834023614,A,B
11,2679,22,9538,-11,-3062,1,1,0.2948030406674309,0.29005724881410777,A,B
14,2682,28,9538,-14,-3064,1,1,0.31425936316737735,0.3206211616683612,A,B
15,2688,30,9538,-15,-3066,1,1,0.8619404354888547,0.8482181233587572,A,B
16,2688,32,9538,-16,-3066,1,1,0.5394089632575426,0.5363614037302173,A,B
17,2689,34,9538,-17,-3068,1,1,0.36262925917898947,0.3947884433232508,A,B
19,2692,38,9538,-19,-3071,1,1,0.7472229759586198,0.7553192102423594,A,B
23,2693,46,9538,-23,-3073,1,1,0.7214944236050458,0.7472742435857463,A,B
24,2693,48,9538,-24,-3073,1,1,0.5172140322695878,0.5172140322695878,A,B
25,2695,50,9538,-25,-3075,1,1,0.2619581241469122,0.2604983046074889,A,B
26,2696,52,9538,-26,-3076,1,1,0.09831137583241667,0.1274918551046238,A,B
28,2696,56,9538,-28,-3076,1,1,0.6729927894249287,0.6802208630759197,A,B
29,2697,58,9538,-29,-3077,1,1,0.8390233702677157,0.8195547680451946,A,B
32,2699,64,9538,-32,-3079,1,1,0.9281453068302792,0.9239755549355453,A,B
33,2699,66,9538,-33,-3079,1,1,0.6165596526831678,0.6194276180445482,A,B
34,2700,68,9538,-34,-3080,1,1,0.7552436858398257,0.7639860250737197,A,B
36,2702,72,9538,-36,-3083,1,1,0.42612731150419625,0.43821040098362085,A,B
38,2705,76,9538,-38,-3084,1,1,0.04202256948128591,0.03685484993142085,A,B
39,2705,78,9538,-39,-3084,1,1,0.0627114213368084,0.07124125383624991,A,B
40,2706,80,9538,-40,-3087,1,1,0.33555884917832757,0.37076041926504044,A,B
44,2709,88,9538,-44,-3090,1,1,0.904874412160271,0.8896766932364099,A,B
47,2709,94,9538,-47,-3090,1,1,0.2305366671079544,0.2305366671079544,A,B
49,2710,98,9538,-49,-3092,1,1,0.9811859405281693,0.9770743664240338,A,B
51,2712,102,9538,-51,-3093,1,1,0.781546714666819,0.7863143964531846,A,B
53,2712,106,9538,-53,-3093,1,1,0.6126882731315999,0.6126882731315999,A,B
55,2714,110,9538,-55,-3095,1,1,0.19801557000832803,0.22165672816496917,A,B
57,2719,114,9538,-57,-3098,1,1,0.8716112659590262,0.8527694037464577,A,B
58,2723,116,9538,-58,-3099,1,1,0.6990714441542448,0.7184314053505323,A,B
59,2723,118,9538,-59,-3099,1,1,0.6660756885796641,0.6652796127508342,A,B
62,2726,124,9538,-62,-3103,1,1,0.45349228145258125,0.4578046602740826,A,B
64,2733,128,9538,-64,-3104,1,1,0.9339019752854141,0.934540665405342,A,B
65,2733,130,9538,-65,-3104,1,1,0.8196716673036895,0.8066293354359845,A,B
67,2734,134,9538,-67,-3106,1,1,0.4721768561275196,0.4737526404175101,A,B
69,2736,138,9538,-69,-3107,1,1,0.6148166275211174,0.6148166275211174,A,B
70,2736,140,9538,-70,-3107,1,1,0.26851316588012253,0.26851316588012253,A,B
72,2737,144,9538,-72,-3110,1,1,0.6989201841749049,0.7147060332966533,A,B
73,2738,146,9538,-73,-3112,1,1,0.9124335052312337,0.9060607157109178,A,B
74,2741,148,9538,-74,-3118,1,1,0.9287774865147025,0.9303705705345104,A,B
75,2741,150,9538,-75,-3118,1,1,0.1085223985747511,0.1312793687711078,A,B
76,2742,152,9538,-76,-3119,1,1,0.07992246840953654,0.08062485441986278,A,B
77,2744,154,9538,-77,-3121,1,1,0.3177613223079766,0.33581158310604886,A,B
78,2744,156,9538,-78,-3121,1,1,0.7158194744388905,0.7281753149833974,A,B
80,2746,160,9538,-80,-3123,1,1,0.0892138953251973,0.1003296744209099,A,B
83,2747,166,9538,-83,-3124,1,1,0.5230344821103822,0.5293669438787622,A,B
84,2747,168,9538,-84,-3124,1,1,0.6049105647855177,0.6049105647855177,A,B
85,2750,170,9538,-85,-3126,1,1,0.7662235109427884,0.7863143964531846,A,B
86,2751,172,9538,-86,-3127,1,1,0.265396702489769,0.26377244133366806,A,B
87,2753,174,9538,-87,-3130,1,1,0.496620333685441,0.4871715175426282,A,B
88,2753,176,9538,-88,-3130,1,1,0.6652796127508342,0.6652796127508342,A,B
89,2754,178,9538,-89,-3132,1,1,0.7563219408390943,0.7715522176376897,A,B
90,2759,180,9538,-90,-3135,1,1,0.9350021751713612,0.9396005944948667,A,B
91,2759,182,9538,-91,-3135,1,1,0.6907762785685028,0.7084096773612025,A,B
93,2761,186,9538,-93,-3138,1,1,0.12578338243392762,0.15342328920203419,A,B
95,2762,190,9538,-95,-3140,1,1,0.1196576277544038,0.15342328920203419,A,B
97,2762,194,9538,-97,-3140,1,1,0.6836739991217567,0.6925362445160747,A,B
98,2764,196,9538,-98,-3141,1,1,0.787067200994671,0.7983384974668297,A,B
99,2765,198,9538,-99,-3144,1,1,0.0697790930161255,0.07124125383624991,A,B
100,2767,200,9538,-100,-3145,1,1,0.9704987321934507,0.9624734981550711,A,B
101,2767,202,9538,-101,-3145,1,1,0.568308296658921,0.5639798964492758,A,B
103,2769,206,9538,-103,-3146,1,1,0.1342167688071716,0.1658796473669636,A,B
104,2772,208,9538,-104,-3150,1,1,0.5203322358106707,0.5244064236368436,A,B
105,2772,210,9538,-105,-3150,1,1,0.12604351974039207,0.15711928674634346,A,B
107,2774,214,9538,-107,-3151,1,1,0.1787072135860368,0.18843633151403405,A,B
109,2775,218,9538,-109,-3153,1,1,0.2691068211597738,0.2691068211597738,A,B
110,2776,220,9538,-110,-3155,1,1,0.002171776965759209,0.001821949410769741,A,B
111,2776,222,9538,-111,-3155,1,1,0.18699089416717707,0.20420620977082515,A,B
113,2778,226,9538,-113,-3157,1,1,0.6079857373866157,0.6049105647855177,A,B
114,2780,228,9538,-114,-3158,1,1,0.042141323626516125,0.042141323626516125,A,B
115,2780,230,9538,-115,-3158,1,1,0.4238001671468208,0.42787849076828455,A,B
117,2783,234,9538,-117,-3161,1,1,0.7290298189188597,0.7522054182851269,A,B
118,2784,236,9538,-118,-3162,1,1,0.27957556634464376,0.27957556634464376,A,B
119,2784,238,9538,-119,-3162,1,1,0.576504222584609,0.576504222584609,A,B
120,2786,240,9538,-120,-3166,1,1,0.02526476937129729,0.023446746327649093,A,B
123,2788,246,9538,-123,-3167,1,1,0.5183587267563847,0.5172140322695878,A,B
124,2790,248,9538,-124,-3168,1,1,0.19420030134338195,0.20447145482616524,A,B
126,2790,252,9538,-126,-3168,1,1,0.5865329906523271,0.5850625834023614,A,B
127,2792,254,9538,-127,-3171,1,1,0.42557464691226454,0.43821040098362085,A,B
128,2793,256,9538,-128,-3172,1,1,0.10091499834217199,0.12942458033777282,A,B
129,2793,258,9538,-129,-3172,1,1,0.6605086323111727,0.6605086323111727,A,B
130,2794,260,9538,-130,-3177,1,1,0.5094851922950093,0.5110851577909193,A,B
131,2797,262,9538,-131,-3178,1,1,0.327156931827313,0.3467922367848052,A,B
132,2797,264,9538,-132,-3178,1,1,0.12856935689320792,0.16553209266029612,A,B
133,2798,266,9538,-133,-3181,1,1,0.1366838139824369,0.1658796473669636,A,B
136,2800,272,9538,-136,-3182,1,1,0.7163037216556709,0.7349411616590555,A,B
137,2801,274,9538,-137,-3184,1,1,0.6874123878100573,0.7035976698003591,A,B
138,2801,276,9538,-138,-3184,1,1,0.6409730235131522,0.6488593729214684,A,B
139,2802,278,9538,-139,-3187,1,1,0.9643180423470267,0.9597358655455461,A,B
141,2804,282,9538,-141,-3191,1,1,0.1665247701121827,0.18274601207146912,A,B
142,2804,284,9538,-142,-3191,1,1,0.9030137720547777,0.8871531201447668,A,B
143,2805,286,9538,-143,-3192,1,1,0.0703363161827757,0.07581916844292025,A,B
144,2807,288,9538,-144,-3193,1,1,0.4197565262806793,0.423648850762522,A,B
145,2807,290,9538,-145,-3193,1,1,0.5740659105974854,0.5643649797470728,A,B
147,2808,294,9538,-147,-3197,1,1,0.9870125238584078,0.9770743664240338,A,B
148,2810,296,9538,-148,-3198,1,1,0.022360748991243407,0.014927674388902079,A,B
149,2812,298,9538,-149,-3202,1,1,0.43827016084681647,0.45163245954388,A,B
150,2812,300,9538,-150,-3202,1,1,0.16298114442068545,0.1680533837169732,A,B
152,2813,304,9538,-152,-3203,1,1,0.5632926118771908,0.5618584628857307,A,B
154,2817,308,9538,-154,-3205,1,1,0.5348630591682411,0.5363614037302173,A,B
160,2817,320,9538,-160,-3205,1,1,0.08360858219042888,0.08518571984397771,A,B
162,2819,324,9538,-162,-3206,1,1,0.6849094596697933,0.6977139168183455,A,B
163,2823,326,9538,-163,-3208,1,1,0.613608176994569,0.6126882731315999,A,B
165,2823,330,9538,-165,-3208,1,1,0.995698692212092,0.9944740726572984,A,B
167,2824,334,9538,-167,-3209,1,1,0.3155750751133015,0.33461109054482485,A,B
169,2826,338,9538,-169,-3211,1,1,0.8550496687637387,0.8468914914221589,A,B
171,2828,342,9538,-171,-3212,1,1,0.6795527176050346,0.6925362445160747,A,B
172,2828,344,9538,-172,-3212,1,1,0.8783255310893295,0.8713074291322984,A,B
173,2829,346,9538,-173,-3213,1,1,0.28925589685817976,0.28925589685817976,A,B
174,2834,348,9538,-174,-3215,1,1,0.1090599521234924,0.1378281844067265,A,B
175,2834,350,9538,-175,-3215,1,1,0.9631806765517967,0.9534435387121504,A,B
176,2836,352,9538,-176,-3216,1,1,0.9325130658100549,0.934540665405342,A,B
179,2837,358,9538,-179,-3218,1,1,0.32690739746301467,0.33581158310604886,A,B
180,2837,360,9538,-180,-3218,1,1,0.09035409316557286,0.11161245723735569,A,B
181,2842,362,9538,-181,-3219,1,1,0.29616614392801033,0.29655900821439407,A,B
182,2843,364,9538,-182,-3224,1,1,0.15952526396464106,0.1680533837169732,A,B
184,2846,368,9538,-184,-3225,1,1,0.4966686227162417,0.494833775220371,A,B
185,2846,370,9538,-185,-3225,1,1,0.6108523749465351,0.6108523749465351,A,B
187,2847,374,9538,-187,-3227,1,1,0.7833350325966877,0.7966462126278536,A,B
188,2848,376,9538,-188,-3228,1,1,0.49007703866439556,0.48573108297627376,A,B
192,2848,384,9538,-192,-3228,1,1,0.7202026704961484,0.7434981974992501,A,B
193,2850,386,9538,-193,-3232,1,1,0.8451883470213619,0.8317358872592439,A,B
194,2852,388,9538,-194,-3235,1,1,0.44728987361273154,0.45163245954388,A,B
196,2852,392,9538,-196,-3235,1,1,0.32940702326524707,0.3622844436920112,A,B
197,2854,394,9538,-197,-3236,1,1,0.037045502930102,0.02890641259804505,A,B
198,2855,396,9538,-198,-3238,1,1,0.35724654342042717,0.3839774973189355,A,B
199,2856,398,9538,-199,-3239,1,1,0.1485261406685977,0.16791369286963842,A,B
200,2856,400,9538,-200,-3239,1,1,0.8674230285707516,0.8527694037464577,A,B
201,2860,402,9538,-201,-3242,1,1,0.7036281261485189,0.7239643516932773,A,B
205,2862,410,9538,-205,-3243,1,1,0.540834462534557,0.540834462534557,A,B
208,2862,416,9538,-208,-3243,1,1,0.3979404096920458,0.4148394984028383,A,B
209,2867,418,9538,-209,-3245,1,1,0.9184920145432297,0.9060607157109178,A,B
210,2868,420,9538,-210,-3246,1,1,0.3008194497113249,0.3025127166182384,A,B
211,2868,422,9538,-211,-3246,1,1,0.309082519377045,0.31288722673486835,A,B
214,2869,428,9538,-214,-3248,1,1,0.17611576702503973,0.18274601207146912,A,B
215,2871,430,9538,-215,-3249,1,1,0.2723810276710532,0.2723810276710532,A,B
216,2872,432,9538,-216,-3252,1,1,0.42830812748434965,0.4409054793599425,A,B
217,2872,434,9538,-217,-3252,1,1,0.08031946104702192,0.08167606683765005,A,B
218,2875,436,9538,-218,-3253,1,1,0.0030408206773757662,0.0038644681598412056,A,B
220,2876,440,9538,-220,-3256,1,1,0.5931048400909187,0.5934539532909999,A,B
222,2876,444,9538,-222,-3256,1,1,0.6769628562199955,0.6830623773615659,A,B
224,2878,448,9538,-224,-3257,1,1,0.7976282032831209,0.7983384974668297,A,B
225,2882,450,9538,-225,-3258,1,1,0.05001455554763812,0.042141323626516125,A,B
227,2882,454,9538,-227,-3258,1,1,0.5750338224165021,0.5742903008873838,A,B
228,2883,456,9538,-228,-3263,1,1,0.30573238752856824,0.3070671375220516,A,B
230,2886,460,9538,-230,-3264,1,1,0.6381978046846547,0.6447461750811035,A,B
231,2887,462,9538,-231,-3266,1,1,0.5659133390492883,0.5618584628857307,A,B
232,2887,464,9538,-232,-3266,1,1,0.42363238629069444,0.42595429888758674,A,B
234,2890,468,9538,-234,-3267,1,1,0.8204342239764609,0.8114537583882862,A,B
236,2894,472,9538,-236,-3269,1,1,0.00991617709061643,0.010785107547286787,A,B
237,2894,474,9538,-237,-3269,1,1,0.6576150259677965,0.6540519974115205,A,B
238,2896,476,9538,-238,-3270,1,1,0.05765378439408464,0.05450756459755113,A,B
