Feature_A	Feature_B	Feature_C	Constant_Feature	Random_Feature	Outcome
c	c	c	c	c	d
					class
0	0	0	1	0.8584197312548187	A
1	2	-1	1	0.24006776149525044	A
3	6	-3	1	0.9396419070587533	A
4	8	-4	1	0.8190402978548764	A
5	10	-5	1	0.682846585911639	A
7	14	-7	1	0.5569416478755536	A
12	24	-12	1	0.8250468918177406	A
13	26	-13	1	0.7961145111554733	A
14	28	-14	1	0.9727461347770211	A
15	30	-15	1	0.413682158920175	A
17	34	-17	1	0.9757867715381555	A
18	36	-18	1	0.27972464150451015	A
19	38	-19	1	0.8065387529238092	A
20	40	-20	1	0.18905489815793008	A
22	44	-22	1	0.6546459312095698	A
23	46	-23	1	0.8394903335245972	A
25	50	-25	1	0.22957294461208477	A
27	54	-27	1	0.29019675111760546	A
29	58	-29	1	0.010374797132496671	A
30	60	-30	1	0.9120387408412262	A
31	62	-31	1	0.5282046165470313	A
32	64	-32	1	0.6268906547622488	A
35	70	-35	1	0.6665495446208227	A
36	72	-36	1	0.9049470454501904	A
37	74	-37	1	0.593025293800794	A
38	76	-38	1	0.14081802342449568	A
40	80	-40	1	0.7633391570681018	A
43	86	-43	1	0.1765843091108359	A
44	88	-44	1	0.9276172498653956	A
45	90	-45	1	0.35769381517060206	A
46	92	-46	1	0.6768847936208375	A
48	96	-48	1	0.7926647259552622	A
49	98	-49	1	0.9941565088227086	A
50	100	-50	1	0.6582735393690897	A
51	102	-51	1	0.7979764794071831	A
52	104	-52	1	0.04932747465665621	A
55	110	-55	1	0.8082706223799971	A
57	114	-57	1	0.8437172555800978	A
58	116	-58	1	0.7731887282973331	A
59	118	-59	1	0.1922013525006877	A
61	122	-61	1	0.9111914815612009	A
62	124	-62	1	0.7356858346465912	A
63	126	-63	1	0.7749792254996709	A
65	130	-65	1	0.6279372977279938	A
66	132	-66	1	0.2262012796239642	A
67	134	-67	1	0.5918031042905182	A
68	136	-68	1	0.3107603016599202	A
70	140	-70	1	0.26469848172474686	A
71	142	-71	1	0.2647715416083063	A
72	144	-72	1	0.34604451882790954	A
73	146	-73	1	0.4469421194219628	A
75	150	-75	1	0.8223765071954363	A
76	152	-76	1	0.9778847195304893	A
79	158	-79	1	0.6979710284609668	A
80	160	-80	1	0.9415013366407667	A
82	164	-82	1	0.9416287092838972	A
86	172	-86	1	0.2869783825158275	A
87	174	-87	1	0.5018925915442932	A
88	176	-88	1	0.3964050051575225	A
90	180	-90	1	0.013242854884556787	A
94	188	-94	1	0.5265207302972543	A
95	190	-95	1	0.6609598084835947	A
96	192	-96	1	0.016605572806591473	A
98	196	-98	1	0.6449088448282904	A
100	200	-100	1	0.8481797477563088	A
102	204	-102	1	0.6294291194169255	A
104	208	-104	1	0.890615547547888	A
105	210	-105	1	0.9377880255675932	A
107	214	-107	1	0.032301915976467255	A
108	216	-108	1	0.1336018230712146	A
110	220	-110	1	0.9747691571635393	A
111	222	-111	1	0.8788620581272234	A
113	226	-113	1	0.1660973237006036	A
114	228	-114	1	0.9685172769880667	A
115	230	-115	1	0.005803567415175737	A
118	236	-118	1	0.919675485326568	A
119	238	-119	1	0.3022123335446081	A
121	242	-121	1	0.6624771296158547	A
122	244	-122	1	0.1630163259669717	A
123	246	-123	1	0.6936277997545401	A
125	250	-125	1	0.6729941847771092	A
126	252	-126	1	0.9137568750850233	A
127	254	-127	1	0.6992500139805657	A
128	256	-128	1	0.2513299512628794	A
131	262	-131	1	0.993616189601595	A
132	264	-132	1	0.1449232097167631	A
133	266	-133	1	0.830310397250974	A
134	268	-134	1	0.5059311051154343	A
135	270	-135	1	0.07475916651300107	A
136	272	-136	1	0.6619000512814831	A
137	274	-137	1	0.8255291585248388	A
138	276	-138	1	0.34836967710432487	A
139	278	-139	1	0.2238781934844798	A
141	282	-141	1	0.9260887356988164	A
142	284	-142	1	0.4300843539924808	A
145	290	-145	1	0.7593844800894715	A
148	296	-148	1	0.6408924187538013	A
150	300	-150	1	0.3206402036563394	A
153	306	-153	1	0.43226080718756266	A
154	308	-154	1	0.3423969802462632	A
155	310	-155	1	0.9581686060339867	A
157	314	-157	1	0.30038742895901427	A
158	316	-158	1	0.16611121221848002	A
159	318	-159	1	0.3924735001343085	A
160	320	-160	1	0.3366220477910521	A
163	326	-163	1	0.4343468557278035	A
164	328	-164	1	0.03250973551936864	A
166	332	-166	1	0.864254434003911	A
167	334	-167	1	0.8477610646574206	A
168	336	-168	1	0.3365759291558055	A
172	344	-172	1	0.6958387718907777	A
174	348	-174	1	0.25967427381791874	A
175	350	-175	1	0.9306626213861238	A
177	354	-177	1	0.20158773383147066	A
178	356	-178	1	0.778504826639425	A
179	358	-179	1	0.45940875706108997	A
182	364	-182	1	0.9582036701646632	A
184	368	-184	1	0.28431149617241036	A
185	370	-185	1	0.619103787742888	A
186	372	-186	1	0.18300226213116733	A
187	374	-187	1	0.19656924298007727	A
188	376	-188	1	0.482859276501562	A
189	378	-189	1	0.752197833869833	A
191	382	-191	1	0.5774173821942246	A
192	384	-192	1	0.695600677858953	A
193	386	-193	1	0.4072908096548714	A
194	388	-194	1	0.4603405098046056	A
195	390	-195	1	0.2207904605523502	A
197	394	-197	1	0.8756430222488443	A
198	396	-198	1	0.6383263705231901	A
199	398	-199	1	0.42750439349394964	A
200	400	-200	1	0.6395758359226562	A
201	402	-201	1	0.32902515698151547	A
202	404	-202	1	0.10967161772790934	A
203	406	-203	1	0.848263938368888	A
204	408	-204	1	0.8707961557427062	A
205	410	-205	1	0.8075161442895978	A
206	412	-206	1	0.10331685536768154	A
207	414	-207	1	0.13662829211192562	A
208	416	-208	1	0.6710595818725489	A
209	418	-209	1	0.9379532276060546	A
210	420	-210	1	0.31465097564484	A
211	422	-211	1	0.19127882187623002	A
213	426	-213	1	0.2353166551912238	A
214	428	-214	1	0.8979116153771846	A
216	432	-216	1	0.41634460234777093	A
218	436	-218	1	0.28420085977021914	A
220	440	-220	1	0.78847094618404	A
221	442	-221	1	0.6333794973258765	A
222	444	-222	1	0.7278025637223228	A
223	446	-223	1	0.5258727495131906	A
225	450	-225	1	0.5375510503105579	A
226	452	-226	1	0.5203339512986007	A
227	454	-227	1	0.9814497206788246	A
228	456	-228	1	0.7111955913616334	A
229	458	-229	1	0.9830327780548488	A
230	460	-230	1	0.07909178455675892	A
231	462	-231	1	0.6881169132413819	A
232	464	-232	1	0.1942948206963211	A
234	468	-234	1	0.48821546533748117	A
236	472	-236	1	0.5280955631705702	A
237	474	-237	1	0.9683964774256589	A
239	478	-239	1	0.27024363368102944	A
241	482	-241	1	0.5023693300652647	A
242	484	-242	1	0.9923271937418937	A
243	486	-243	1	0.2040942866043638	A
245	490	-245	1	0.09555874794737329	A
246	492	-246	1	0.42973678255641257	A
247	494	-247	1	0.2203314415358042	A
248	496	-248	1	0.2993777788079327	A
251	502	-251	1	0.8544220979784193	A
252	504	-252	1	0.9902236741399505	A
253	506	-253	1	0.951031243541488	A
254	508	-254	1	0.6168584396942333	A
255	510	-255	1	0.39072377504366995	A
257	514	-257	1	0.8182631141715697	A
258	516	-258	1	0.22105577494690054	A
259	518	-259	1	0.9041387347960842	A
260	520	-260	1	0.016832631765954176	A
262	524	-262	1	0.4373829646657933	A
263	526	-263	1	0.840587185151296	A
264	528	-264	1	0.9733661681909265	A
265	530	-265	1	0.48915470486135737	A
266	532	-266	1	0.14666082172914485	A
267	534	-267	1	0.3786259951854999	A
269	538	-269	1	0.2872545534412503	A
270	540	-270	1	0.1969919498853112	A
271	542	-271	1	0.0611116822181873	A
272	544	-272	1	0.07116520177500085	A
273	546	-273	1	0.8894404859027737	A
275	550	-275	1	0.15492830250445333	A
276	552	-276	1	0.28202809091643	A
277	554	-277	1	0.743405894168948	A
278	556	-278	1	0.6968866342281724	A
280	560	-280	1	0.43658451642870155	A
281	562	-281	1	0.17724808034114725	A
282	564	-282	1	0.39910127098051573	A
283	566	-283	1	0.44796293089353034	A
285	570	-285	1	0.7917550186712031	A
288	576	-288	1	0.9263273665642974	A
289	578	-289	1	0.3551343350256999	A
291	582	-291	1	0.7874792577862675	A
293	586	-293	1	0.8643509182458047	A
294	588	-294	1	0.8568967259859687	A
296	592	-296	1	0.26698707517429443	A
298	596	-298	1	0.9354181202766216	A
301	602	-301	1	0.9832847700644504	A
303	606	-303	1	0.5593507314904669	A
304	608	-304	1	0.3363914851801755	A
305	610	-305	1	0.8515792183726508	A
306	612	-306	1	0.45833798387878977	A
309	618	-309	1	0.677880656611292	A
310	620	-310	1	0.899578737197081	A
311	622	-311	1	0.679167721090575	A
312	624	-312	1	0.940133268950241	A
313	626	-313	1	0.1211475054646769	A
315	630	-315	1	0.2237084225436926	A
316	632	-316	1	0.9809355323556075	A
317	634	-317	1	0.5683275716412851	A
320	640	-320	1	0.5563588680844908	A
321	642	-321	1	0.9877449375181594	A
325	650	-325	1	0.05394972748495708	A
327	654	-327	1	0.08198475287238816	A
330	660	-330	1	0.9852833002731272	A
331	662	-331	1	0.4848131647785855	A
333	666	-333	1	0.061295597213174124	A
334	668	-334	1	0.48599443681417975	A
337	674	-337	1	0.6645873913006277	A
339	678	-339	1	0.7291844427581446	A
340	680	-340	1	0.43704554479646995	A
341	682	-341	1	0.7510836080053545	A
342	684	-342	1	0.9491344445479667	A
343	686	-343	1	0.5586347988452169	A
346	692	-346	1	0.5399727455752528	A
347	694	-347	1	0.5600469818718613	A
348	696	-348	1	0.4207699985126908	A
349	698	-349	1	0.9166097003627928	A
350	700	-350	1	0.15841969283820956	A
351	702	-351	1	0.32931975219140197	A
353	706	-353	1	0.6737430456250508	A
354	708	-354	1	0.6403438230179299	A
357	714	-357	1	0.7995747025357891	A
358	716	-358	1	0.6130065854330331	A
361	722	-361	1	0.9545201918375659	A
362	724	-362	1	0.5269260804876169	A
364	728	-364	1	0.3285346631607843	A
368	736	-368	1	0.4343831235532878	A
369	738	-369	1	0.9348276728506484	A
370	740	-370	1	0.3646150917861434	A
371	742	-371	1	0.04740890455370805	A
372	744	-372	1	0.18579347166037097	A
375	750	-375	1	0.8809803997140537	A
376	752	-376	1	0.8860823199132729	A
377	754	-377	1	0.38119512312923864	A
380	760	-380	1	0.9887534805950582	A
381	762	-381	1	0.08691222380306052	A
383	766	-383	1	0.23895448054943957	A
384	768	-384	1	0.664635249853333	A
386	772	-386	1	0.7480710227115144	A
387	774	-387	1	0.6873420752700101	A
388	776	-388	1	0.6900878773376263	A
391	782	-391	1	0.7148126487482395	A
392	784	-392	1	0.6584630047503183	A
395	790	-395	1	0.1999296653466266	A
399	798	-399	1	0.5274126933684928	A
400	800	-400	1	0.919447310620988	A
404	808	-404	1	0.41984171405874515	A
405	810	-405	1	0.8202207944758639	A
408	816	-408	1	0.4837880909958876	A
410	820	-410	1	0.7128847621951816	A
412	824	-412	1	0.4609068561838797	A
413	826	-413	1	0.2789570789240142	A
414	828	-414	1	0.5069626451506042	A
415	830	-415	1	0.5838326606979451	A
417	834	-417	1	0.657392157352364	A
419	838	-419	1	0.8208066268243477	A
420	840	-420	1	0.3021544733772453	A
421	842	-421	1	0.6892253411194373	A
422	844	-422	1	0.7755804589476156	A
423	846	-423	1	0.3221879376180756	A
425	850	-425	1	0.7499062591574287	A
426	852	-426	1	0.4421136872005065	A
428	856	-428	1	0.3024993212043757	A
430	860	-430	1	0.9785300126548877	A
432	864	-432	1	0.24046503113835416	A
433	866	-433	1	0.15580573267615971	A
436	872	-436	1	0.18625724081500672	A
437	874	-437	1	0.13044808427072108	A
438	876	-438	1	0.6361481280182822	A
439	878	-439	1	0.5479244003947619	A
440	880	-440	1	0.03530237480699361	A
441	882	-441	1	0.5722667640488317	A
442	884	-442	1	0.43073008479683683	A
444	888	-444	1	0.22042921811664873	A
445	890	-445	1	0.8032338262453735	A
446	892	-446	1	0.5055763690878322	A
449	898	-449	1	0.019229533572785118	A
451	902	-451	1	0.06345785428919504	A
452	904	-452	1	0.16782737511933665	A
454	908	-454	1	0.41296319588444375	A
456	912	-456	1	0.3316355648509518	A
457	914	-457	1	0.35699671284116796	A
458	916	-458	1	0.2044455109558413	A
459	918	-459	1	0.26400804436480707	A
462	924	-462	1	0.09507447487118437	A
464	928	-464	1	0.018639547573875204	A
465	930	-465	1	0.052600982803591934	A
466	932	-466	1	0.06540749652947409	A
468	936	-468	1	0.9848275120949911	A
470	940	-470	1	0.0796305858718952	A
472	944	-472	1	0.21817584126312994	A
473	946	-473	1	0.07761103670316949	A
475	950	-475	1	0.13909919586999575	A
476	952	-476	1	0.6922375986859581	A
477	954	-477	1	0.5873219863783451	A
478	956	-478	1	0.28947802439383186	A
480	960	-480	1	0.27652370984842933	A
483	966	-483	1	0.5149487709633138	A
484	968	-484	1	0.5418701533943049	A
485	970	-485	1	0.5450814076647976	A
486	972	-486	1	0.6234000378671074	A
487	974	-487	1	0.05649298966350569	A
488	976	-488	1	0.0010018138205364346	A
489	978	-489	1	0.10524611973657372	A
491	982	-491	1	0.29208971686041174	A
493	986	-493	1	0.9230638472487681	A
494	988	-494	1	0.3007034200033164	A
496	992	-496	1	0.16255174099718217	A
497	994	-497	1	0.21265299722184716	A
498	996	-498	1	0.04604196041469133	A
502	1004	-502	1	0.1406605569283632	A
503	1006	-503	1	0.3863157519863333	A
