Feature_A	Feature_B	Feature_C	Constant_Feature	Random_Feature	Outcome
c	c	c	c	c	d
					class
0	0	0	1	0.023588646199457997	A
1	2	-1	1	0.1188290740425384	A
3	6	-3	1	0.9282151160017603	A
5	10	-5	1	0.6917351353691099	A
7	14	-7	1	0.5865523546689887	A
11	22	-11	1	0.2948030406674309	A
14	28	-14	1	0.31425936316737735	A
15	30	-15	1	0.8619404354888547	A
16	32	-16	1	0.5394089632575426	A
17	34	-17	1	0.36262925917898947	A
19	38	-19	1	0.7472229759586198	A
23	46	-23	1	0.7214944236050458	A
24	48	-24	1	0.5172140322695878	A
25	50	-25	1	0.2619581241469122	A
26	52	-26	1	0.09831137583241667	A
28	56	-28	1	0.6729927894249287	A
29	58	-29	1	0.8390233702677157	A
32	64	-32	1	0.9281453068302792	A
33	66	-33	1	0.6165596526831678	A
34	68	-34	1	0.7552436858398257	A
36	72	-36	1	0.42612731150419625	A
38	76	-38	1	0.04202256948128591	A
39	78	-39	1	0.0627114213368084	A
40	80	-40	1	0.33555884917832757	A
44	88	-44	1	0.904874412160271	A
47	94	-47	1	0.2305366671079544	A
49	98	-49	1	0.9811859405281693	A
51	102	-51	1	0.781546714666819	A
53	106	-53	1	0.6126882731315999	A
55	110	-55	1	0.19801557000832803	A
57	114	-57	1	0.8716112659590262	A
58	116	-58	1	0.6990714441542448	A
59	118	-59	1	0.6660756885796641	A
62	124	-62	1	0.45349228145258125	A
64	128	-64	1	0.9339019752854141	A
65	130	-65	1	0.8196716673036895	A
67	134	-67	1	0.4721768561275196	A
69	138	-69	1	0.6148166275211174	A
70	140	-70	1	0.26851316588012253	A
72	144	-72	1	0.6989201841749049	A
73	146	-73	1	0.9124335052312337	A
74	148	-74	1	0.9287774865147025	A
75	150	-75	1	0.1085223985747511	A
76	152	-76	1	0.07992246840953654	A
77	154	-77	1	0.3177613223079766	A
78	156	-78	1	0.7158194744388905	A
80	160	-80	1	0.0892138953251973	A
83	166	-83	1	0.5230344821103822	A
84	168	-84	1	0.6049105647855177	A
85	170	-85	1	0.7662235109427884	A
86	172	-86	1	0.265396702489769	A
87	174	-87	1	0.496620333685441	A
88	176	-88	1	0.6652796127508342	A
89	178	-89	1	0.7563219408390943	A
90	180	-90	1	0.9350021751713612	A
91	182	-91	1	0.6907762785685028	A
93	186	-93	1	0.12578338243392762	A
95	190	-95	1	0.1196576277544038	A
97	194	-97	1	0.6836739991217567	A
98	196	-98	1	0.787067200994671	A
99	198	-99	1	0.0697790930161255	A
100	200	-100	1	0.9704987321934507	A
101	202	-101	1	0.568308296658921	A
103	206	-103	1	0.1342167688071716	A
104	208	-104	1	0.5203322358106707	A
105	210	-105	1	0.12604351974039207	A
107	214	-107	1	0.1787072135860368	A
109	218	-109	1	0.2691068211597738	A
110	220	-110	1	0.002171776965759209	A
111	222	-111	1	0.18699089416717707	A
113	226	-113	1	0.6079857373866157	A
114	228	-114	1	0.042141323626516125	A
115	230	-115	1	0.4238001671468208	A
117	234	-117	1	0.7290298189188597	A
118	236	-118	1	0.27957556634464376	A
119	238	-119	1	0.576504222584609	A
120	240	-120	1	0.02526476937129729	A
123	246	-123	1	0.5183587267563847	A
124	248	-124	1	0.19420030134338195	A
126	252	-126	1	0.5865329906523271	A
127	254	-127	1	0.42557464691226454	A
128	256	-128	1	0.10091499834217199	A
129	258	-129	1	0.6605086323111727	A
130	260	-130	1	0.5094851922950093	A
131	262	-131	1	0.327156931827313	A
132	264	-132	1	0.12856935689320792	A
133	266	-133	1	0.1366838139824369	A
136	272	-136	1	0.7163037216556709	A
137	274	-137	1	0.6874123878100573	A
138	276	-138	1	0.6409730235131522	A
139	278	-139	1	0.9643180423470267	A
141	282	-141	1	0.1665247701121827	A
142	284	-142	1	0.9030137720547777	A
143	286	-143	1	0.0703363161827757	A
144	288	-144	1	0.4197565262806793	A
145	290	-145	1	0.5740659105974854	A
147	294	-147	1	0.9870125238584078	A
148	296	-148	1	0.022360748991243407	A
149	298	-149	1	0.43827016084681647	A
150	300	-150	1	0.16298114442068545	A
152	304	-152	1	0.5632926118771908	A
154	308	-154	1	0.5348630591682411	A
160	320	-160	1	0.08360858219042888	A
162	324	-162	1	0.6849094596697933	A
163	326	-163	1	0.613608176994569	A
165	330	-165	1	0.995698692212092	A
167	334	-167	1	0.3155750751133015	A
169	338	-169	1	0.8550496687637387	A
171	342	-171	1	0.6795527176050346	A
172	344	-172	1	0.8783255310893295	A
173	346	-173	1	0.28925589685817976	A
174	348	-174	1	0.1090599521234924	A
175	350	-175	1	0.9631806765517967	A
176	352	-176	1	0.9325130658100549	A
179	358	-179	1	0.32690739746301467	A
180	360	-180	1	0.09035409316557286	A
181	362	-181	1	0.29616614392801033	A
182	364	-182	1	0.15952526396464106	A
184	368	-184	1	0.4966686227162417	A
185	370	-185	1	0.6108523749465351	A
187	374	-187	1	0.7833350325966877	A
188	376	-188	1	0.49007703866439556	A
192	384	-192	1	0.7202026704961484	A
193	386	-193	1	0.8451883470213619	A
194	388	-194	1	0.44728987361273154	A
196	392	-196	1	0.32940702326524707	A
197	394	-197	1	0.037045502930102	A
198	396	-198	1	0.35724654342042717	A
199	398	-199	1	0.1485261406685977	A
200	400	-200	1	0.8674230285707516	A
201	402	-201	1	0.7036281261485189	A
205	410	-205	1	0.540834462534557	A
208	416	-208	1	0.3979404096920458	A
209	418	-209	1	0.9184920145432297	A
210	420	-210	1	0.3008194497113249	A
211	422	-211	1	0.309082519377045	A
214	428	-214	1	0.17611576702503973	A
215	430	-215	1	0.2723810276710532	A
216	432	-216	1	0.42830812748434965	A
217	434	-217	1	0.08031946104702192	A
218	436	-218	1	0.0030408206773757662	A
220	440	-220	1	0.5931048400909187	A
222	444	-222	1	0.6769628562199955	A
224	448	-224	1	0.7976282032831209	A
225	450	-225	1	0.05001455554763812	A
227	454	-227	1	0.5750338224165021	A
228	456	-228	1	0.30573238752856824	A
230	460	-230	1	0.6381978046846547	A
231	462	-231	1	0.5659133390492883	A
232	464	-232	1	0.42363238629069444	A
234	468	-234	1	0.8204342239764609	A
236	472	-236	1	0.00991617709061643	A
237	474	-237	1	0.6576150259677965	A
238	476	-238	1	0.05765378439408464	A
239	478	-239	1	0.9711269078625028	A
240	480	-240	1	0.5089551691875212	A
242	484	-242	1	0.33700327710120903	A
243	486	-243	1	0.005038634283475951	A
244	488	-244	1	0.5414862413857782	A
245	490	-245	1	0.30882284514135494	A
248	496	-248	1	0.21085955694432024	A
251	502	-251	1	0.47584175381012384	A
253	506	-253	1	0.24083679547789394	A
254	508	-254	1	0.6712862547608752	A
255	510	-255	1	0.7652497429462864	A
256	512	-256	1	0.8525372969233118	A
257	514	-257	1	0.7011184079009996	A
258	516	-258	1	0.3564727991632094	A
259	518	-259	1	0.081202145384341	A
261	522	-261	1	0.48279965143654047	A
264	528	-264	1	0.8493739597253898	A
265	530	-265	1	0.3275151794051292	A
266	532	-266	1	0.3138868785018196	A
270	540	-270	1	0.8429390820194244	A
272	544	-272	1	0.875594750228626	A
274	548	-274	1	0.3624582939917167	A
275	550	-275	1	0.6369152371498763	A
276	552	-276	1	0.8771017954463624	A
277	554	-277	1	0.9925642064905364	A
278	556	-278	1	0.9881268590884522	A
279	558	-279	1	0.3341702181352614	A
284	568	-284	1	0.5753923219747862	A
285	570	-285	1	0.21391326494733143	A
286	572	-286	1	0.2831580734983373	A
287	574	-287	1	0.9623512045252148	A
290	580	-290	1	0.0870175323967809	A
291	582	-291	1	0.27098224920265324	A
292	584	-292	1	0.6147408709676349	A
293	586	-293	1	0.2604983046074889	A
294	588	-294	1	0.5339369261069321	A
295	590	-295	1	0.25413723861324644	A
297	594	-297	1	0.9908953618203862	A
298	596	-298	1	0.6418916978832145	A
299	598	-299	1	0.6278734811917449	A
300	600	-300	1	0.21373980925782232	A
301	602	-301	1	0.9219972574667378	A
302	604	-302	1	0.09218590346476363	A
303	606	-303	1	0.038608454938565795	A
304	608	-304	1	0.506128863163508	A
305	610	-305	1	0.9800516331269955	A
306	612	-306	1	0.09194760954612846	A
309	618	-309	1	0.9609316868416599	A
310	620	-310	1	0.5337843550186968	A
312	624	-312	1	0.7978511104064193	A
313	626	-313	1	0.9274519207278953	A
314	628	-314	1	0.7652292050289865	A
315	630	-315	1	0.9045348905642515	A
317	634	-317	1	0.5706021284316248	A
318	636	-318	1	0.18656056276474098	A
319	638	-319	1	0.8785941295651573	A
320	640	-320	1	0.7208389255758687	A
321	642	-321	1	0.8992775549231041	A
322	644	-322	1	0.08650454670403318	A
324	648	-324	1	0.24055981485762024	A
325	650	-325	1	0.060166791682989995	A
327	654	-327	1	0.29005724881410777	A
329	658	-329	1	0.8720207961564451	A
330	660	-330	1	0.39662090313585807	A
331	662	-331	1	0.3825366961863146	A
332	664	-332	1	0.907746497501214	A
333	666	-333	1	0.9729333096554914	A
334	668	-334	1	0.16469229964190457	A
335	670	-335	1	0.1101939591908071	A
337	674	-337	1	0.5741999114922793	A
338	676	-338	1	0.053354170044430216	A
340	680	-340	1	0.05076993205839975	A
341	682	-341	1	0.8975236053190654	A
342	684	-342	1	0.7405272494332596	A
345	690	-345	1	0.4708611622020543	A
346	692	-346	1	0.7064100547721253	A
347	694	-347	1	0.10185397216272551	A
349	698	-349	1	0.619953193988682	A
352	704	-352	1	0.9430183542696174	A
354	708	-354	1	0.04032934246595932	A
355	710	-355	1	0.46600555879568495	A
356	712	-356	1	0.35283097471221436	A
357	714	-357	1	0.3964636571703387	A
358	716	-358	1	0.578914645904586	A
359	718	-359	1	0.6269670224111284	A
360	720	-360	1	0.24885971870933776	A
361	722	-361	1	0.8244540673131523	A
362	724	-362	1	0.7658745458229812	A
364	728	-364	1	0.9451208779028456	A
365	730	-365	1	0.5057113325314054	A
366	732	-366	1	0.40831246042735436	A
371	742	-371	1	0.8387874785589179	A
372	744	-372	1	0.3657196642069439	A
374	748	-374	1	0.49081502673691324	A
375	750	-375	1	0.1820333366525364	A
376	752	-376	1	0.6691501012450989	A
377	754	-377	1	0.35130405636741435	A
379	758	-379	1	0.20441503770884195	A
380	760	-380	1	0.3472541052413166	A
381	762	-381	1	0.45639983428165687	A
383	766	-383	1	0.019389091116614243	A
384	768	-384	1	0.7782824979799993	A
385	770	-385	1	0.3206211616683612	A
389	778	-389	1	0.6861096738575249	A
390	780	-390	1	0.19437703600311151	A
392	784	-392	1	0.5802103594474728	A
394	788	-394	1	0.26623340326602296	A
395	790	-395	1	0.5475302287689332	A
397	794	-397	1	0.7996835282163028	A
398	796	-398	1	0.6794451910881156	A
399	798	-399	1	0.6383902374989666	A
400	800	-400	1	0.6466525165640833	A
401	802	-401	1	0.6896508377244611	A
404	808	-404	1	0.9575592493249176	A
405	810	-405	1	0.8221224019726963	A
406	812	-406	1	0.8607463993422443	A
407	814	-407	1	0.20420620977082515	A
408	816	-408	1	0.5426781270551726	A
409	818	-409	1	0.19000094850911997	A
411	822	-411	1	0.47407993571624696	A
412	824	-412	1	0.5479473030267517	A
413	826	-413	1	0.1179565482015249	A
414	828	-414	1	0.6816076192823697	A
415	830	-415	1	0.1510335944550495	A
416	832	-416	1	0.19134176523410384	A
417	834	-417	1	0.015830959287115864	A
418	836	-418	1	0.5160840645388153	A
419	838	-419	1	0.8935105878976581	A
420	840	-420	1	0.8926467181724509	A
421	842	-421	1	0.6095579242053977	A
422	844	-422	1	0.1357753233811827	A
423	846	-423	1	0.3568304947103562	A
425	850	-425	1	0.4573711429136279	A
427	854	-427	1	0.8023384327783769	A
428	856	-428	1	0.7422407194359771	A
429	858	-429	1	0.9039271533462222	A
431	862	-431	1	0.0285777127426331	A
432	864	-432	1	0.11554725729231019	A
433	866	-433	1	0.6607665885438345	A
435	870	-435	1	0.07885615119372491	A
436	872	-436	1	0.19355937662313982	A
439	878	-439	1	0.8139748261891445	A
442	884	-442	1	0.7468416734915838	A
443	886	-443	1	0.011213826211185829	A
444	888	-444	1	0.8771421069175928	A
445	890	-445	1	0.16553209266029612	A
448	896	-448	1	0.8545712826453361	A
449	898	-449	1	0.9919360708819087	A
450	900	-450	1	0.613484289687388	A
452	904	-452	1	0.2645931543956688	A
454	908	-454	1	0.6221425257384188	A
455	910	-455	1	0.524057339417817	A
457	914	-457	1	0.4435696729536609	A
458	916	-458	1	0.9385814186942678	A
459	918	-459	1	0.2558792874563377	A
460	920	-460	1	0.6193920700848753	A
462	924	-462	1	0.8982475272058454	A
465	930	-465	1	0.028105596965441237	A
466	932	-466	1	0.6482595918863554	A
469	938	-469	1	0.071758304749728	A
470	940	-470	1	0.7328422963608654	A
472	944	-472	1	0.27669086109609176	A
473	946	-473	1	0.10539986396913215	A
475	950	-475	1	0.6847068281943581	A
476	952	-476	1	0.8124559134059888	A
478	956	-478	1	0.9511484217042864	A
479	958	-479	1	0.960533741064849	A
480	960	-480	1	0.9720570592245786	A
481	962	-481	1	0.241020076185557	A
486	972	-486	1	0.22350250236830127	A
488	976	-488	1	0.855907253780605	A
489	978	-489	1	0.9828784247860829	A
490	980	-490	1	0.4524421438870657	A
491	982	-491	1	0.19987897527249054	A
492	984	-492	1	0.9798901122181655	A
493	986	-493	1	0.24272755280271407	A
495	990	-495	1	0.18593211111710395	A
496	992	-496	1	0.5489579297183476	A
