Race	Gender	Education	Years	Warnings	Bonus
d	d	d	d	d	d
					class
B	F	Bachelors	6	6	yes
B	M	Bachelors	3	2	no
B	F	Bachelors	6	3	no
W	M	Bachelors	3	5	no
B	F	Bachelors	2	5	no
B	F	Highschool	5	5	no
B	M	Masters	6	6	no
B	M	Highschool	3	0	yes
W	F	Highschool	2	4	no
W	F	Bachelors	1	0	no
W	F	Masters	6	5	no
B	M	Bachelors	2	4	yes
W	F	Masters	5	3	yes
W	M	Bachelors	1	4	yes
B	F	Masters	5	3	no
B	M	Highschool	1	1	no
W	F	Highschool	1	0	yes
W	F	Highschool	4	2	yes
B	M	Bachelors	2	6	no
B	F	Bachelors	5	1	no
B	F	Masters	6	2	no
B	M	Masters	6	3	yes
W	M	Bachelors	3	3	no
B	F	Masters	4	0	no
B	M	Highschool	5	2	no
W	F	Masters	4	3	yes
W	M	Masters	3	5	no
B	F	Bachelors	6	1	no
W	F	Highschool	5	2	no
B	M	Highschool	2	5	no
W	M	Masters	2	2	no
B	F	Bachelors	3	5	no
W	M	Highschool	5	4	no
B	F	Bachelors	1	3	no
B	M	Bachelors	4	1	yes
W	F	Masters	2	2	no
W	F	Bachelors	3	0	no
B	F	Bachelors	3	1	no
W	F	Highschool	3	5	no
B	F	Highschool	3	2	no
W	M	Bachelors	2	5	no
W	F	Bachelors	1	0	yes
W	F	Highschool	2	0	no
B	M	Highschool	3	0	no
W	F	Highschool	6	2	no
W	F	Bachelors	1	2	yes
B	F	Highschool	2	4	yes
W	F	Masters	1	6	yes
B	F	Bachelors	5	0	yes
B	F	Bachelors	4	1	no
B	F	Masters	3	1	no
W	M	Bachelors	5	4	no
B	M	Masters	4	0	no
W	F	Bachelors	3	4	no
B	M	Bachelors	5	2	no
B	M	Masters	6	3	no
B	M	Highschool	6	0	yes
B	M	Bachelors	2	5	no
W	F	Highschool	3	5	no
W	M	Bachelors	1	0	no
B	F	Bachelors	3	3	no
W	F	Masters	4	1	yes
W	F	Bachelors	3	2	no
B	F	Highschool	1	2	no
W	M	Masters	6	6	no
B	M	Bachelors	4	4	yes
B	M	Highschool	3	6	no
W	F	Highschool	6	2	no
B	M	Bachelors	4	0	yes
B	F	Highschool	6	0	no
B	M	Highschool	1	4	no
W	F	Bachelors	5	5	no
W	M	Highschool	2	0	no
B	M	Bachelors	6	6	no
B	M	Highschool	5	5	yes
W	F	Bachelors	2	2	no
W	F	Masters	6	2	no
B	M	Masters	1	1	no
W	M	Bachelors	3	5	no
B	M	Bachelors	5	2	no
W	F	Bachelors	1	0	no
B	F	Bachelors	6	2	no
W	F	Highschool	1	0	no
W	F	Masters	5	4	no
B	F	Highschool	3	3	yes
W	F	Highschool	4	6	no
B	F	Highschool	3	6	no
B	M	Masters	2	1	no
W	F	Masters	5	1	yes
B	M	Masters	4	1	no
W	F	Highschool	3	3	no
B	M	Bachelors	2	3	yes
B	M	Bachelors	6	4	no
B	M	Highschool	1	6	no
W	F	Bachelors	5	6	no
W	F	Bachelors	2	4	no
W	F	Masters	4	1	no
B	M	Masters	1	0	no
W	M	Masters	5	6	no
W	F	Bachelors	4	4	no
B	F	Masters	3	1	no
B	M	Highschool	6	1	yes
W	M	Highschool	5	0	yes
B	F	Bachelors	1	3	no
W	F	Bachelors	6	2	no
B	F	Bachelors	1	0	no
W	M	Bachelors	1	5	yes
B	F	Bachelors	4	3	no
W	F	Highschool	1	4	no
B	F	Highschool	6	6	no
B	F	Masters	2	0	no
B	F	Masters	4	5	no
W	F	Bachelors	4	3	no
B	M	Masters	5	1	yes
B	F	Masters	4	3	no
B	M	Highschool	3	1	no
B	M	Bachelors	1	4	no
B	F	Bachelors	2	2	no
W	F	Bachelors	6	0	no
B	F	Masters	2	3	no
W	F	Highschool	3	6	no
B	M	Bachelors	4	6	no
W	M	Highschool	2	1	no
W	M	Highschool	6	3	no
W	M	Highschool	5	3	no
W	F	Highschool	1	5	no
W	F	Masters	5	1	yes
W	M	Highschool	5	3	no
W	F	Bachelors	6	2	no
B	M	Bachelors	2	4	yes
B	M	Highschool	2	2	no
W	F	Masters	4	3	yes
W	F	Masters	2	6	no
B	F	Highschool	2	6	no
B	M	Bachelors	4	0	no
B	M	Masters	4	2	yes
B	M	Bachelors	5	2	no
B	F	Highschool	4	4	yes
W	F	Masters	5	6	no
B	M	Masters	6	5	no
W	M	Masters	4	0	yes
B	M	Highschool	4	0	yes
W	F	Masters	3	5	yes
B	M	Masters	6	2	yes
B	M	Bachelors	3	4	no
W	M	Masters	6	2	yes
B	F	Masters	2	3	no
W	M	Masters	2	0	no
B	M	Highschool	4	0	no
B	M	Bachelors	6	0	yes
B	M	Highschool	1	6	yes
B	M	Highschool	4	3	no
B	F	Highschool	3	4	no
