Label,Rules,Quality,Score
0,IF Gender==F AND Race==B AND Education==Highschool THEN Bonus=no ,0.845971563981,0.0
0,IF Gender==F AND Race==B AND Education==Highschool THEN Bonus==no,0.8459715639810427,0.0
0,IF Gender==F AND Race==B AND Education_noGender==Highschool THEN Bonus==no,0.8434579439252337,0.0
0,IF Gender==F AND Education==Highschool AND Race_noGender==B THEN Bonus==no,0.808641975308642,0.0
0,IF Gender==F AND Race_noGender==B AND Education_noGender==Highschool THEN Bonus==no,0.8,0.0
0,IF Race==B AND Gender_noGender==F AND Education_noGender==Highschool THEN Bonus==no,0.7922987164527421,0.0
0,IF Gender==F AND Race==B AND Education_noGender==Masters THEN Bonus==no,0.7905882352941176,0.0
0,IF Gender==F AND Education==Highschool AND Race_noGender==W THEN Bonus==no,0.7862407862407862,0.0
0,IF Gender==F AND Race==B AND Education_noGender==Bachelors THEN Bonus==no,0.7816711590296496,0.0
0,IF Race==B AND Education==Highschool AND Gender_noGender==F THEN Bonus==no,0.7814645308924485,0.0
0,IF Gender==F AND Race_noGender==B AND Education_noGender==Masters THEN Bonus==no,0.7797356828193832,0.0
0,IF Gender_noGender==F AND Race_noGender==B AND Education_noGender==Highschool THEN Bonus==no,0.7715565509518477,0.0
0,IF Education==Highschool AND Gender_noGender==F AND Race_noGender==W THEN Bonus==no,0.7630272952853598,0.0
0,IF Gender==F AND Race_noGender==W AND Education_noGender==Highschool THEN Bonus==no,0.7628635346756152,0.0
0,IF Gender==F AND Race_noGender==B AND Education_noGender==Bachelors THEN Bonus==no,0.7619047619047619,0.0
0,IF Education==Highschool AND Gender_noGender==F AND Race_noGender==B THEN Bonus==no,0.7597765363128491,0.0
0,IF Race==B AND Gender_noGender==F AND Education_noGender==Masters THEN Bonus==no,0.7545454545454545,0.0
0,IF Gender_noGender==F AND Race_noGender==W AND Education_noGender==Masters THEN Bonus==no,0.7506142506142506,0.0
0,IF Race==B AND Gender_noGender==F AND Education_noGender==Bachelors THEN Bonus==no,0.747279322853688,0.0
0,IF Gender==F AND Race_noGender==W AND Education_noGender==Masters THEN Bonus==no,0.746268656716418,0.0
0,IF Gender==F AND Race_noGender==W AND Education_noGender==Bachelors THEN Bonus==no,0.7437810945273632,0.0
0,IF Gender_noGender==F AND Race_noGender==B AND Education_noGender==Masters THEN Bonus==no,0.7429906542056075,0.0
0,IF Gender_noGender==F AND Race_noGender==W AND Education_noGender==Highschool THEN Bonus==no,0.7427184466019418,0.0
0,IF Gender_noGender==F AND Race_noGender==B AND Education_noGender==Bachelors THEN Bonus==no,0.7349397590361446,0.0
0,IF Gender_noGender==F AND Race_noGender==W AND Education_noGender==Bachelors THEN Bonus==no,0.7333333333333333,0.0
1,IF Warnings==medium AND Education==Bachelors AND Gender==F THEN Bonus=no ,0.821678321678,0.0
1,IF Warnings==medium AND Education==Bachelors AND Gender==F THEN Bonus==no,0.8216783216783217,0.0
1,IF Gender==F AND Warnings_noGender==low AND Education_noGender==Highschool THEN Bonus==no,0.8025889967637541,0.0
1,IF Gender==F AND Warnings_noGender==medium AND Education_noGender==Highschool THEN Bonus==no,0.7986798679867987,0.0
1,IF Warnings==medium AND Education==Bachelors AND Gender_noGender==F THEN Bonus==no,0.7908256880733945,0.0
1,IF Gender==F AND Warnings_noGender==low AND Education_noGender==Bachelors THEN Bonus==no,0.7821011673151751,0.0
1,IF Education==Bachelors AND Gender==F AND Warnings_noGender==high THEN Bonus==no,0.7805755395683454,0.0
1,IF Warnings==medium AND Gender==F AND Education_noGender==Masters THEN Bonus==no,0.7797202797202797,0.0
1,IF Gender==F AND Warnings_noGender==medium AND Education_noGender==Masters THEN Bonus==no,0.7785467128027682,0.0
1,IF Warnings==medium AND Gender==F AND Education_noGender==Highschool THEN Bonus==no,0.7704918032786885,0.0
1,IF Warnings_noGender==low AND Education_noGender==Highschool AND Gender_noGender==F THEN Bonus==no,0.7668393782383419,0.0
1,IF Warnings_noGender==medium AND Education_noGender==Masters AND Gender_noGender==F THEN Bonus==no,0.7638640429338104,0.0
1,IF Warnings==medium AND Education_noGender==Masters AND Gender_noGender==F THEN Bonus==no,0.7637362637362637,0.0
1,IF Warnings_noGender==medium AND Education_noGender==Highschool AND Gender_noGender==F THEN Bonus==no,0.7625,0.0
1,IF Gender==F AND Warnings_noGender==high AND Education_noGender==Bachelors THEN Bonus==no,0.7617328519855595,0.0
1,IF Warnings==medium AND Education_noGender==Highschool AND Gender_noGender==F THEN Bonus==no,0.7583774250440917,0.0
