Label,Rules,Quality,Score
0,IF Education==Masters AND Warnings!=medium AND Gender!=F AND Race==B AND Years==3-6 THEN Bonus=yes ,0.916666666667,0.24739999999999984
1,IF Education==Masters AND Years==>6 AND Warnings==low AND Race!=B THEN Bonus=yes ,0.911111111111,0.1873999999999999
2,IF Education==Masters AND Race!=B AND Years!=3-6 AND Warnings==low AND Gender==F THEN Bonus=yes ,0.863636363636,0.24739999999999984
3,IF Education==Masters AND Warnings!=medium AND Gender!=F AND Race==B THEN Bonus=yes ,0.84375,0.24419999999999986
4,IF Education==Masters AND Warnings==high AND Years==>6 AND Gender!=F THEN Bonus=yes ,0.833333333333,0.20719999999999983
5,IF Education==Masters AND Years==3-6 AND Gender!=F AND Race!=B AND Warnings==medium THEN Bonus=yes ,0.838709677419,0.24739999999999984
6,IF Education==Masters AND Warnings==low AND Race==B AND Years==3-6 THEN Bonus=yes ,0.824561403509,0.1873999999999999
7,IF Education==Masters AND Warnings==high AND Gender==F AND Race!=B AND Years==3-6 THEN Bonus=yes ,0.822222222222,0.24739999999999984
8,IF Education==Masters AND Warnings==high AND Years!=3-6 AND Gender==F THEN Bonus=yes ,0.813186813187,0.20719999999999983
9,IF Education==Highschool AND Warnings==medium AND Years==3-6 AND Race!=B AND Gender!=F THEN Bonus=no ,0.925925925926,0.24739999999999984
10,IF Education==Masters AND Gender!=F AND Warnings==low AND Years!=<3 THEN Bonus=yes ,0.804347826087,0.20719999999999983
11,IF Education==Masters AND Years==<3 AND Warnings==medium AND Gender==F THEN Bonus=yes ,0.785714285714,0.20719999999999983
12,IF Education==Masters AND Race!=B AND Years!=3-6 AND Warnings!=high THEN Bonus=yes ,0.782352941176,0.1873999999999999
13,IF Education==Masters AND Years==>6 AND Warnings==low THEN Bonus=yes ,0.777777777778,0.1471999999999999
14,IF Education==Highschool AND Warnings==medium AND Years==3-6 AND Race!=B THEN Bonus=no ,0.774193548387,0.1873999999999999
15,IF Education==Masters AND Warnings!=low AND Race!=B AND Years!=<3 THEN Bonus=yes ,0.765957446809,0.1873999999999999
16,IF Education==Highschool AND Years==>6 AND Warnings==low AND Gender!=F AND Race!=B THEN Bonus=no ,0.777777777778,0.24739999999999984
17,IF Education==Highschool AND Race==B AND Warnings==low AND Years==<3 AND Gender!=F THEN Bonus=no ,0.761061946903,0.24739999999999984
18,IF Education==Highschool AND Warnings==medium AND Race==B AND Years==>6 THEN Bonus=no ,0.75,0.1873999999999999
19,IF Education==Highschool AND Years==3-6 AND Warnings==high AND Race==B AND Gender!=F THEN Bonus=no ,0.747967479675,0.24739999999999984
20,IF Education==Highschool AND Years==>6 AND Warnings==low AND Gender!=F THEN Bonus=no ,0.741379310345,0.20719999999999983
21,IF Education==Highschool AND Warnings==medium AND Years!=>6 AND Gender!=F AND Race!=B THEN Bonus=no ,0.740740740741,0.24739999999999984
22,IF Education==Highschool AND Warnings==medium AND Years==3-6 AND Gender!=F THEN Bonus=no ,0.722772277228,0.20719999999999983
23,IF Education==Masters AND Gender==F AND Warnings==medium AND Years==3-6 THEN Bonus=yes ,0.722222222222,0.20719999999999983
24,IF Education==Highschool AND Warnings==medium AND Race==B AND Gender!=F THEN Bonus=no ,0.717171717172,0.24419999999999986
25,IF Education==Masters AND Gender==F AND Warnings!=low THEN Bonus=yes ,0.71568627451,0.20399999999999985
