Label,Rules,Quality,Score
0,IF education_num<=9.0 AND marital_status!=Married-civ-spouse AND capital_gain<=7430.0 AND capital_loss<=2444.0 AND education!=11th THEN income_per_year=<=50K ,0.999863481229,0.9866715803697559
1,IF capital_loss<=1876.0 AND age<=25.0 AND capital_gain<=5178.0 AND relationship!=Wife AND native_country!=Poland THEN income_per_year=<=50K ,0.999747283295,0.7096615686997112
2,IF capital_gain<=7298.0 AND marital_status==Never-married AND education==Bachelors THEN income_per_year=<=50K ,0.999137931034,0.6036484245439467
3,IF age<=63.0 AND capital_gain>=7298.0 AND hours_per_week>=33.0 AND occupation!=Craft-repair THEN income_per_year=>50K ,0.999107142857,0.5882931023892881
4,IF marital_status==Divorced AND education_num<=10.0 AND capital_gain<=7896.0 AND relationship!=Other-relative THEN income_per_year=<=50K ,0.999104744852,0.6536453534795158
5,IF education_num<=14.0 AND marital_status==Never-married AND capital_gain<=7896.0 AND age<=37.0 AND fnlwgt>=119793.0 THEN income_per_year=<=50K ,0.998969072165,0.7805417357656161
6,IF capital_gain<=4386.0 AND occupation==Transport-moving AND capital_loss<=1848.0 AND native_country!=Nicaragua AND fnlwgt>=78634.0 THEN income_per_year=<=50K ,0.998756218905,0.7141453227688715
7,IF capital_loss<=1825.0 AND occupation==Other-service AND education!=Bachelors AND marital_status==Married-civ-spouse THEN income_per_year=<=50K ,0.99837398374,0.5387261224740494
8,IF capital_loss>=1825.0 AND capital_loss<=1980.0 AND marital_status==Married-civ-spouse THEN income_per_year=>50K ,0.998296422487,0.4367053620784963
9,IF capital_loss<=2179.0 AND occupation==Machine-op-inspct AND capital_gain<=2885.0 AND education!=Doctorate AND education!=HS-grad THEN income_per_year=<=50K ,0.997881355932,0.9676924021865977
10,IF capital_gain<=7298.0 AND marital_status!=Married-civ-spouse AND occupation==Adm-clerical AND marital_status!=Married-AF-spouse THEN income_per_year=<=50K ,0.99793814433,0.5483078434985564
11,IF capital_loss<=1816.0 AND occupation==Handlers-cleaners AND capital_gain<=4386.0 AND education!=Bachelors THEN income_per_year=<=50K ,0.997549019608,0.7580001228425771
12,IF capital_loss<=2179.0 AND marital_status==Divorced AND hours_per_week<=44.0 AND capital_gain<=7896.0 AND education!=Some-college THEN income_per_year=<=50K ,0.998449612403,0.8982863460475399
13,IF capital_gain<=2829.0 AND occupation==Machine-op-inspct AND education!=Assoc-voc AND education!=Doctorate AND education!=5th-6th THEN income_per_year=<=50K ,0.997722095672,1.0027025366992197
13,IF capital_gain<=2829 AND occupation==Machine-op-inspct AND education!=Assoc-acdm AND education!=Assoc-acdm AND occupation_nomarital_status==Machine-op-inspct THEN income_per_year==<=50K,0.9877845641310383,0.7930102573551991
13,IF capital_gain<=2829 AND occupation==Machine-op-inspct AND education!=Assoc-acdm AND capital_gain_nomarital_status<=1506 AND occupation_nomarital_status==Machine-op-inspct THEN income_per_year==<=50K,0.9877777777777778,0.5833179780111786
13,IF capital_gain<=2829 AND occupation==Machine-op-inspct AND education!=Assoc-acdm AND occupation_nomarital_status==Machine-op-inspct AND education_nomarital_status!=Assoc-acdm THEN income_per_year==<=50K,0.9877709838799333,0.5833179780111786
13,IF capital_gain<=2829 AND occupation==Machine-op-inspct AND occupation_nomarital_status==Machine-op-inspct AND education_nomarital_status!=Assoc-acdm AND education_nomarital_status!=Assoc-acdm THEN income_per_year==<=50K,0.9877709838799333,0.373625698667158
13,IF capital_gain<=2829 AND occupation==Machine-op-inspct AND capital_gain_nomarital_status<=1506 AND occupation_nomarital_status==Machine-op-inspct AND education_nomarital_status!=Assoc-acdm THEN income_per_year==<=50K,0.9877641824249166,0.373625698667158
13,IF capital_gain<=2829 AND occupation==Machine-op-inspct AND education!=Assoc-acdm AND education!=Assoc-acdm AND education!=Assoc-acdm THEN income_per_year==<=50K,0.987726787620064,1.0027025366992197
13,IF capital_gain<=2829 AND occupation==Machine-op-inspct AND education!=Assoc-acdm AND education!=Assoc-acdm AND capital_gain_nomarital_status<=1506 THEN income_per_year==<=50K,0.987720234917245,0.7930102573551991
13,IF capital_gain<=2829 AND occupation==Machine-op-inspct AND education!=Assoc-acdm AND education!=Assoc-acdm AND education_nomarital_status!=Assoc-acdm THEN income_per_year==<=50K,0.9877136752136753,0.7930102573551991
13,IF capital_gain<=2829 AND occupation==Machine-op-inspct AND education_nomarital_status!=Assoc-acdm AND education_nomarital_status!=Assoc-acdm AND education_nomarital_status!=Assoc-acdm THEN income_per_year==<=50K,0.9877136752136753,0.373625698667158
13,IF capital_gain<=2829 AND occupation==Machine-op-inspct AND education!=Assoc-acdm AND capital_gain_nomarital_status<=1506 AND education_nomarital_status!=Assoc-acdm THEN income_per_year==<=50K,0.9877071084981294,0.5833179780111786
13,IF capital_gain<=2829 AND occupation==Machine-op-inspct AND capital_gain_nomarital_status<=1506 AND education_nomarital_status!=Assoc-acdm AND education_nomarital_status!=Assoc-acdm THEN income_per_year==<=50K,0.9877071084981294,0.373625698667158
