Label,Rules,Quality,Score
0,IF priors_count<=2.0 AND age>=47.0 AND age>=54.0 AND priors_count<=1.0 AND sex!=Female THEN score_text=Low ,0.987577639752,0.7925170068027213
1,IF age>=36.0 AND race==Other AND priors_count<=6.0 AND c_charge_desc!=Possession of Cocaine AND c_charge_desc!=Burglary Unoccupied Dwelling THEN score_text=Low ,0.973333333333,0.5908649173955299
2,IF race==Hispanic AND sex==Female AND c_charge_desc!=Burglary Unoccupied Dwelling AND age>=23.0 THEN score_text=Low ,0.961538461538,0.46695821185617126
3,IF c_charge_desc==Driving Under The Influence AND priors_count<=2.0 AND age>=26.0 THEN score_text=Low ,0.948275862069,0.45821185617104
4,IF age_cat==Greater than 45 AND c_charge_degree!=F AND priors_count<=4.0 AND age>=51.0 AND race!=African-American THEN score_text=Low ,0.957746478873,0.47376093294460664
5,IF priors_count<=2.0 AND age>=37.0 AND c_charge_desc==Battery AND race==Caucasian AND age>=41.0 THEN score_text=Low ,0.953488372093,0.8362487852283773
6,IF priors_count<=2.0 AND race==Other AND age_cat==25 - 45 AND c_charge_desc!=Possession of Cocaine AND c_charge_desc!=Crim Use of Personal ID Info THEN score_text=Low ,0.918032786885,0.2939747327502432
7,IF priors_count<=2.0 AND age>=37.0 AND race==Hispanic AND c_charge_desc!=Grand Theft in the 3rd Degree AND c_charge_desc!=Operating W/O Valid License THEN score_text=Low ,0.913043478261,0.5908649173955299
8,IF priors_count<=2.0 AND age_cat==Greater than 45 AND c_charge_desc!=Grand Theft in the 3rd Degree AND c_charge_desc!=Dealing in Stolen Property AND age>=53.0 THEN score_text=Low ,0.909090909091,0.5485908649173957
9,IF c_charge_degree==F AND priors_count>=14.0 AND age<=39.0 AND race==African-American AND priors_count>=16.0 THEN score_text=High ,0.888888888889,0.525267249757046
10,IF sex!=Female AND priors_count<=1.0 AND age>=38.0 AND age>=49.0 AND c_charge_desc!=Possession of Cocaine THEN score_text=Low ,0.898305084746,0.7925170068027213
11,IF age>=33.0 AND race!=African-American AND c_charge_degree!=F AND sex!=Female AND age<=35.0 THEN score_text=Low ,0.88,0.7176870748299322
12,IF priors_count<=2.0 AND age>=36.0 AND race==Caucasian AND c_charge_degree!=F AND age>=39.0 THEN score_text=Low ,0.866666666667,0.7706511175898934
