sex,sex_norace,age,age_norace,age_cat,age_cat_norace,race,race_norace,juv_fel_count,juv_fel_count_norace,juv_misd_count,juv_misd_count_norace,juv_other_count,juv_other_count_norace,priors_count,priors_count_norace,c_charge_degree,c_charge_degree_norace,c_charge_desc,c_charge_desc_norace,decile_score,decile_score_norace,score_text,score_text_norace
Male,Male,69,67,Greater than 45,Greater than 45,Other,African-American,0,1,0,0,0,0,0,0,F,F,Aggravated Assault w/Firearm,Battery,1,1,Low,Low
Male,Male,24,21,Less than 25,Less than 25,African-American,African-American,0,1,0,0,1,0,4,0,F,F,Possession of Cocaine,Possession of Cocaine,4,3,Low,Low
Male,Male,44,45,25 - 45,25 - 45,Other,African-American,0,1,0,0,0,0,0,0,M,M,Battery,Battery,1,1,Low,Low
Male,Male,43,45,25 - 45,25 - 45,Other,African-American,0,1,0,0,0,0,3,3,F,F,arrest case no charge,arrest case no charge,4,3,Low,Low
Female,Female,39,34,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,0,0,M,M,Battery,Battery,1,1,Low,Low
Male,Male,27,27,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,0,0,F,F,"Poss 3,4 MDMA (Ecstasy)","Poss3,4 Methylenedioxymethcath",4,3,Low,Low
Male,Male,23,21,Less than 25,Less than 25,African-American,African-American,0,1,0,0,0,0,3,0,M,M,Battery,Battery,6,5,Medium,Low
Female,Male,37,34,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,0,0,M,M,Battery,Battery,1,1,Low,Low
Female,Female,47,39,Greater than 45,Greater than 45,Caucasian,African-American,0,1,0,0,0,0,1,0,F,F,arrest case no charge,arrest case no charge,1,1,Low,Low
Male,Male,31,27,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,7,3,F,F,Felony Driving While Lic Suspd,Driving While License Revoked,3,3,Low,Low
Male,Male,37,34,25 - 45,25 - 45,Hispanic,African-American,0,1,0,0,0,0,0,0,M,M,Battery,Battery,1,1,Low,Low
Male,Male,25,27,25 - 45,25 - 45,African-American,African-American,0,1,0,0,0,0,3,0,F,F,Grand Theft in the 3rd Degree,Grand Theft in the 3rd Degree,10,9,High,Low
Male,Male,31,27,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,6,3,F,F,Driving While License Revoked,Driving While License Revoked,5,5,Medium,Medium
Male,Male,31,27,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,5,3,F,F,Possession Of Heroin,Battery,3,3,Low,Low
Male,Male,64,57,Greater than 45,Greater than 45,African-American,African-American,0,1,0,0,0,0,13,5,F,F,arrest case no charge,arrest case no charge,6,5,Medium,Low
Male,Male,21,21,Less than 25,Less than 25,African-American,African-American,0,1,0,0,0,0,1,0,F,F,Battery on Law Enforc Officer,Battery on Law Enforc Officer,9,9,High,Low
Male,Male,27,27,25 - 45,25 - 45,Caucasian,African-American,0,1,0,0,0,0,0,0,M,M,Possession Of Methamphetamine,Battery,2,1,Low,Low
Female,Male,21,21,Less than 25,Less than 25,Caucasian,African-American,0,1,0,0,0,0,0,0,F,F,Introduce Contraband Into Jail,Possession of Cocaine,4,3,Low,Low
Male,Male,24,21,Less than 25,Less than 25,Hispanic,African-American,0,1,0,0,0,0,1,0,F,F,Lewd/Lasc Battery Pers 12+/<16,arrest case no charge,4,3,Low,Low
